stage,topology_seed,dynamics_seed,arm,detected_index,event_time_ms,primary_eligible,primary_exclusion_reasons,prolonged,n_unique_contacts,n_finite_centroids,multiple_local_bursts_contact_fraction,median_mass_outside_detection,mode,support_state,distance_mode0,distance_mode1,in_primary_window,window_start_ms,window_end_ms,qualifying_start_ms,qualifying_end_ms,centroid_SCL9_ms,centroid_ICL11_ms,centroid_SCL8_ms,centroid_ICL10_ms,centroid_SCL7_ms,centroid_ICL9_ms,centroid_ICL8_ms,centroid_SCL6_ms,centroid_ICL7_ms,centroid_ICL6_ms,centroid_ICL5_ms,centroid_ICL4_ms,centroid_ICL3_ms,centroid_ICL2_ms,centroid_ICL1_ms,route_upper_SCL_n,route_upper_SCL_ms,route_right_ICL_n,route_right_ICL_ms,route_middle_ICL_n,route_middle_ICL_ms,route_left_ICL_n,route_left_ICL_ms,route_middle_before_both_ICL_ends,route_right_before_upper_and_left,route_upper_and_left_before_right
screen,2511,820102,B1,17,7499.0,False,overlapping_window,False,11,11,0.0,0.05690544626652437,1,1,0.6167214320116299,0.434419282579818,False,7374.0,7624.0,7464.0,7534.0,7461.0869140625,,7453.107421875,,,7486.173828125,7489.71826171875,,7495.20458984375,7500.53955078125,7507.59912109375,7515.298828125,7499.74658203125,7505.3701171875,7511.40625,2,7457.09716796875,2,7508.38818359375,4,7497.8720703125,1,7486.173828125,False,False,True
screen,2511,820102,B1,18,7724.0,False,overlapping_window,False,11,11,0.0,0.027476608194652467,1,1,0.4696137187733621,0.3739554511228832,False,7598.0,7848.0,7686.0,7762.0,7721.10888671875,,7717.14013671875,,7711.19580078125,7714.50830078125,7719.8916015625,7702.6220703125,7726.22802734375,7730.80419921875,,,7727.009765625,7734.23583984375,7740.3681640625,4,7714.16796875,2,7737.302001953125,3,7726.22802734375,1,7714.50830078125,False,False,True
screen,2511,820102,B1,19,8009.0,True,,False,9,9,0.0,0.03875153789483275,0,1,0.36862635261753174,0.4063918582422069,False,7884.0,8134.0,7980.0,8038.0,,7996.91357421875,,8000.80859375,,8008.39208984375,8015.7021484375,,8023.86865234375,8031.42236328125,,,7997.16064453125,8004.169921875,8010.36767578125,0,,2,8007.268798828125,3,8023.86865234375,3,8000.80859375,False,,
screen,2511,820102,B1,20,8950.0,True,,False,13,13,0.0,0.055990488831427064,0,1,0.3523379382028649,0.5037198839582896,False,8824.0,9074.0,8910.0,8990.0,8953.1279296875,8954.82421875,8944.05078125,8953.4052734375,8937.5029296875,8956.66796875,8959.0107421875,8927.3515625,8969.5068359375,8975.4609375,,,8934.640625,8940.9072265625,8946.5,4,8940.77685546875,2,8943.70361328125,3,8969.5068359375,3,8954.82421875,False,False,False
screen,2511,820102,B1,21,9410.0,True,,False,9,9,0.0,0.1952166987296073,0,1,0.3216457160351297,0.45990330335930285,False,9284.0,9534.0,9386.0,9434.0,,9428.841796875,,9423.6259765625,,9417.060546875,9404.6806640625,,,,9390.8115234375,9393.8056640625,9399.873046875,9406.4677734375,9412.6728515625,0,,2,9409.5703125,2,9397.74609375,3,9423.6259765625,True,,
screen,2511,820102,B1,22,11169.0,True,,False,11,11,0.0,0.03506674228131644,1,0,0.5889459489961574,0.5628846837141458,False,11044.0,11294.0,11138.0,11200.0,11208.9140625,,11197.5166015625,11134.6748046875,,11139.953125,11147.1279296875,,11153.814453125,11159.029296875,11165.4013671875,11171.2802734375,11179.294921875,,11177.5751953125,2,11203.21533203125,1,11177.5751953125,4,11156.421875,2,11137.31396484375,False,False,False
screen,2511,820102,B1,23,11440.0,True,,False,9,9,0.0,0.034493007283652385,1,0,0.531326741680208,0.5046238123119683,False,11314.0,11564.0,11420.0,11460.0,11429.1923828125,,11420.1103515625,,11415.298828125,11449.603515625,11455.97265625,11409.056640625,11461.6103515625,11463.400390625,11466.4375,,,,,4,11417.70458984375,0,,4,11462.50537109375,1,11449.603515625,,,
screen,2511,820102,B1,24,11723.0,False,overlapping_window,False,9,9,0.0,0.03960743279471016,1,1,0.4027367729909591,0.23277348590742442,False,11598.0,11848.0,11698.0,11748.0,,,,,,,11709.7509765625,11707.5849609375,11715.1455078125,11719.4443359375,11723.96484375,11729.7236328125,11735.5341796875,11741.2197265625,11746.0478515625,1,11707.5849609375,2,11743.6337890625,4,11717.294921875,0,,,,
screen,2511,820102,B1,25,11955.0,False,overlapping_window,False,10,10,0.0,0.02102918823007016,1,1,0.514896736020591,0.3401431306468874,False,11830.0,12080.0,11926.0,11984.0,,,,,,11927.3369140625,11933.2548828125,11969.0263671875,11939.5712890625,11945.208984375,11951.224609375,11957.515625,11965.703125,11972.6826171875,11978.8994140625,1,11969.0263671875,2,11975.791015625,4,11942.39013671875,1,11927.3369140625,False,False,True
screen,2511,820102,B1,26,13180.0,True,,False,11,11,0.0,0.04734604006971736,1,1,0.4177355389609567,0.30909175734544336,True,13054.0,13304.0,13144.0,13216.0,13188.3671875,,13179.0810546875,,13174.146484375,,13159.8017578125,,13166.6259765625,13170.9541015625,13176.78125,13182.4619140625,13187.6982421875,13192.236328125,13189.662109375,3,13179.0810546875,2,13190.94921875,4,13168.7900390625,0,,,,
