q,phase,dt_ms,offset_from_low_fold_mv,additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.8425,0.0,0.125,-0.005,0.19465034582030377,bounded_CCO,True,False,6.4969190982821704e-06,0.002430869497749961,1.4416618734022953e-06,C,7,1591.3005466878496,4.6776367911600895e-08,144.3922221660614,7.923366759504989,False,0,0,"[1587.710742471742, 3179.0113976574225, 4770.311813718876, 6361.612490975015, 7952.912943352878, 9544.213496697183, 11135.514131038564]",C,8,1591.3005821755678,5.1839964669945584e-08,94.7313904762268,5.024436904612869,False,0,0,"[6.627739429106025, 1594.5690932850657, 3185.8697698413985, 4777.170202392244, 6368.470783344549, 7959.771356083985, 9551.071842275813, 11142.372529871252]",O_unresolved,0,,,10.771483182907104,1.0465660365182208,False,0,0,[]
0.8425,0.0,0.125,0.0,0.19965034582030378,LLL,False,False,,,1.0785988633493782e-09,L,0,,,141.59487187862396,2.860518290425192,False,0,0,[],L,1,,,92.35576540231705,1.9974843264295312,False,0,0,[6.628508710331682],L,0,,,9.586493484675884,0.8577353906810299,False,0,0,[]
0.8425,0.0,0.125,0.005,0.20465034582030378,LLL,False,False,,,3.4212601887320364e-18,L,0,,,141.56019687652588,2.526690252125263,False,0,0,[],L,1,,,92.32387691736221,1.8373079365119338,False,0,0,[6.629278475796272],L,0,,,9.576194919645786,0.8508726023137569,False,0,0,[]
0.8425,0.0,0.125,0.025,0.22465034582030377,LLL,False,False,,,3.469446951953614e-18,L,0,,,141.42511785030365,2.1443585865199566,False,0,0,[],L,1,,,92.19617396593094,1.6432554693892598,False,0,0,[6.632362389557837],L,0,,,9.535044431686401,0.8427845896221697,False,0,0,[]
0.8425,0.25,0.125,-0.005,0.19465034582030377,bounded_CCO,True,False,6.474832021084915e-06,0.0024310769008590288,1.4416619977852645e-06,C,7,1591.3005465617969,4.678602262806865e-08,144.3922221660614,7.923366777164798,False,0,0,"[1587.7107801738478, 3179.0114350742647, 4770.3118513288755, 6361.612528780625, 7952.912980871342, 9544.213534410086, 11135.514168466016]",C,8,1591.3005822022785,5.184962062662036e-08,94.7313904762268,5.024436949227124,False,0,0,"[6.627738559425052, 1594.569130916733, 3185.8698076241667, 4777.170239953499, 6368.4708210555955, 7959.771393575452, 9551.071879915788, 11142.37256766243]",O_unresolved,0,,,10.771481320261955,1.046566033148915,False,0,0,[]
0.8425,0.25,0.125,0.0,0.19965034582030378,LLL,False,False,,,1.0785988715025785e-09,L,0,,,141.59490168094635,2.86051828996046,False,0,0,[],L,1,,,92.35580265522003,1.9974843264295312,False,0,0,[6.628507839672861],L,0,,,9.586512111127377,0.8577353906810299,False,0,0,[]
0.8425,0.25,0.125,0.005,0.20465034582030378,LLL,False,False,,,3.4212601887320364e-18,L,0,,,141.56022667884827,2.526690252125263,False,0,0,[],L,1,,,92.3239141702652,1.8373079365119338,False,0,0,[6.629277604158579],L,0,,,9.576212614774704,0.8508726023137569,False,0,0,[]
0.8425,0.25,0.125,0.025,0.22465034582030377,LLL,False,False,,,3.469446951953614e-18,L,0,,,141.42516255378723,2.1443585865199566,False,0,0,[],L,1,,,92.19621121883392,1.6432554693892598,False,0,0,[6.632361513994325],L,0,,,9.535063058137894,0.8427845896221697,False,0,0,[]
0.8425,0.5,0.125,-0.005,0.19465034582030377,bounded_CCO,True,False,6.354090405195023e-06,0.0024317001169400923,1.4416626777322487e-06,C,7,1591.3005458723953,4.684650431127105e-08,144.39216256141663,7.92336700360538,False,0,0,"[1587.710986280504, 3179.0116396213757, 4770.312056931912, 6361.612735452933, 7952.913185973402, 9544.213740574862, 11135.514373070118]",C,8,1591.3005823479996,5.190647839069875e-08,94.7313904762268,5.024437027650619,False,0,0,"[6.627733623335087, 1594.5693366377232, 3185.870014171131, 4777.170445289459, 6368.4710272103575, 7959.771598529314, 9551.072085681284, 11142.372774254356]",O_unresolved,0,,,10.771475732326508,1.046566038144782,False,0,0,[]
0.8425,0.5,0.125,0.0,0.19965034582030378,LLL,False,False,,,1.0785989114012184e-09,L,0,,,141.59508049488068,2.86051828996046,False,0,0,[],L,1,,,92.35598891973495,1.9974843259647994,False,0,0,[6.6285028981636565],L,0,,,9.586610831320286,0.8577353906810299,False,0,0,[]
0.8425,0.5,0.125,0.005,0.20465034582030378,LLL,False,False,,,3.469446951953614e-18,L,0,,,141.5603905916214,2.526690252125263,False,0,0,[],L,1,,,92.32410043478012,1.8373079365119338,False,0,0,[6.629272657224438],L,0,,,9.576311334967613,0.8508726023137569,False,0,0,[]
0.8425,0.5,0.125,0.025,0.22465034582030377,LLL,False,False,,,3.469446951953614e-18,L,0,,,141.42534136772156,2.1443585865199566,False,0,0,[],L,1,,,92.19639748334885,1.6432554693892598,False,0,0,[6.632356545303334],L,0,,,9.535160847008228,0.8427845896221697,False,0,0,[]
0.8425,0.75,0.125,-0.005,0.19465034582030377,bounded_CCO,True,False,6.17751521248709e-06,0.0024328418441762574,1.4416636721031536e-06,C,7,1591.300544864178,4.6958069471188866e-08,144.39210295677185,7.923367291158195,False,0,0,"[1587.7112877029829, 3179.0119387630734, 4770.312357617905, 6361.613037702809, 7952.913485926817, 9544.214042082545, 11135.514672295343]",C,8,1591.3005825611533,5.200191783428556e-08,94.7313904762268,5.024437165792154,False,0,0,"[6.627726245286846, 1594.569637494362, 3185.8703162358356, 4777.1707455830365, 6368.471328701535, 7959.771898264161, 9551.07238660322, 11142.373076384994]",O_unresolved,0,,,10.771466419100761,1.0465660425597345,False,0,0,[]
0.8425,0.75,0.125,0.0,0.19965034582030378,LLL,False,False,,,1.078598967606259e-09,L,0,,,141.59533381462097,2.86051828996046,False,0,0,[],L,1,,,92.35626459121704,1.9974843259647994,False,0,0,[6.628495512125731],L,0,,,9.586755186319351,0.8577353906810299,False,0,0,[]
0.8425,0.75,0.125,0.005,0.20465034582030378,LLL,False,False,,,3.4212601887320364e-18,L,0,,,141.5606439113617,2.526690252125263,False,0,0,[],L,1,,,92.3243761062622,1.8373079365119338,False,0,0,[6.6292652631884454],L,0,,,9.576455689966679,0.8508726023137569,False,0,0,[]
0.8425,0.75,0.125,0.025,0.22465034582030377,LLL,False,False,,,3.469446951953614e-18,L,0,,,141.42559468746185,2.1443585865199566,False,0,0,[],L,1,,,92.19667315483093,1.6432554693892598,False,0,0,[6.632349119191025],L,0,,,9.535305202007294,0.8427845896221697,False,0,0,[]
