q,phase,dt_ms,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,max_additive_mv,final_additive_mv,low_fold_additive_mv,max_abs_fixed_q_error,first_support_failure_ms,first_nonfinite_ms
0.8375,0.75,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,145.63880860805511,1.4885413693264127,False,0,0,[],L,1,,,95.1373279094696,1.270330511033535,False,0,0,[6.467620707950289],L,0,,,9.950944222509861,0.8279693429358304,False,0,0,[],0.37455313205719,0.37455313205719,0.2719962310675765,2.384185793236071e-08,,
0.84,0.0,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,144.10725235939026,1.3747185003012419,False,0,0,[],L,1,,,94.2377969622612,1.2015847023576498,False,0,0,[6.517750553480697],L,0,,,9.934743866324425,0.8253162377513945,False,0,0,[],0.3718643665313721,0.3718643665313721,0.23597865821629854,2.622604367008563e-08,,
0.84,0.25,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,144.10728216171265,1.37471838388592,False,0,0,[],L,1,,,94.23781931400299,1.201584585942328,False,0,0,[6.517749789107834],L,0,,,9.934759698808193,0.8253162377513945,False,0,0,[],0.3718644142150879,0.3718644142150879,0.23597865821629854,2.622604367008563e-08,,
0.84,0.5,0.0625,LLL,False,False,,,6.8907071406856506e-18,L,0,,,144.107386469841,1.374717801809311,False,0,0,[],L,1,,,94.23793852329254,1.2015842366963625,False,0,0,[6.517746675414866],L,0,,,9.934824891388416,0.8253162377513945,False,0,0,[],0.37186455726623535,0.37186455726623535,0.23597865821629854,2.622604367008563e-08,,
0.84,0.75,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,144.10725235939026,1.3747185003012419,False,0,0,[],L,1,,,94.2378044128418,1.201584585942328,False,0,0,[6.517750355419522],L,0,,,9.934747591614723,0.8253162377513945,False,0,0,[],0.37186439037323,0.37186439037323,0.23597865821629854,2.622604367008563e-08,,
0.8425,0.0,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,142.34977960586548,1.2828989420086145,False,0,0,[],L,1,,,93.16332638263702,1.1440659873187542,False,0,0,[6.578639398208995],L,0,,,9.80099756270647,0.8231237297877669,False,0,0,[],0.3687824964523316,0.3687824964523316,0.19965034582030378,2.8610229518832853e-08,,
0.8425,0.25,0.0625,LLL,False,False,,,6.8907071406856506e-18,L,0,,,142.34986901283264,1.282898592762649,False,0,0,[],L,1,,,93.16341578960419,1.1440657544881105,False,0,0,[6.578636918641747],L,0,,,9.801046922802925,0.8231237297877669,False,0,0,[],0.368782639503479,0.368782639503479,0.19965034582030378,2.8610229518832853e-08,,
0.8425,0.5,0.0625,LLL,False,False,,,6.8907071406856506e-18,L,0,,,142.34979450702667,1.2828988255932927,False,0,0,[],L,1,,,93.16334873437881,1.1440658709034324,False,0,0,[6.578638694377812],L,0,,,9.801010601222515,0.8231237297877669,False,0,0,[],0.3687825441360474,0.3687825441360474,0.19965034582030378,2.8610229518832853e-08,,
0.8425,0.75,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,142.34977960586548,1.2828989420086145,False,0,0,[],L,1,,,93.16333383321762,1.1440659873187542,False,0,0,[6.578639257209551],L,0,,,9.801000356674194,0.8231237297877669,False,0,0,[],0.36878252029418945,0.36878252029418945,0.19965034582030378,2.8610229518832853e-08,,
0.845,0.0,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,140.55655896663666,1.206560293212533,False,0,0,[],L,1,,,91.87252074480057,1.094699720852077,False,0,0,[6.6534812288892935],L,0,,,9.5240268856287,0.8212615502998233,False,0,0,[],0.3651994466781616,0.3651994466781616,0.16299625213297825,2.8610229518832853e-08,,
0.845,0.25,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,140.55655896663666,1.206560293212533,False,0,0,[],L,1,,,91.87252074480057,1.094699720852077,False,0,0,[6.653481339244132],L,0,,,9.524024091660976,0.8212615502998233,False,0,0,[],0.3651994466781616,0.3651994466781616,0.16299625213297825,2.8610229518832853e-08,,
0.845,0.5,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,140.55657386779785,1.206560293212533,False,0,0,[],L,1,,,91.87253564596176,1.094699720852077,False,0,0,[6.653480846803535],L,0,,,9.524034336209297,0.8212615502998233,False,0,0,[],0.36519947052001955,0.36519947052001955,0.16299625213297825,2.8610229518832853e-08,,
0.845,0.75,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,140.55666327476501,1.2065598275512457,False,0,0,[],L,1,,,91.87262505292892,1.0946994880214334,False,0,0,[6.65347830192557],L,0,,,9.524081833660603,0.8212615502998233,False,0,0,[],0.3651995897293091,0.3651995897293091,0.16299625213297825,2.8610229518832853e-08,,
0.85,0.0,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,135.70301234722137,1.0871414560824633,False,0,0,[],L,1,,,88.36442977190018,1.0143665131181479,False,0,0,[6.867530889053142],L,0,,,8.421177044510841,0.8182690944522619,False,0,0,[],0.35577867031097415,0.35577867031097415,0.08864421563031688,2.384185793236071e-08,,
0.85,0.25,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,135.70308685302734,1.0871411068364978,False,0,0,[],L,1,,,88.36451917886734,1.0143662802875042,False,0,0,[6.867528126539635],L,0,,,8.42121709138155,0.8182690944522619,False,0,0,[],0.3557788133621216,0.3557788133621216,0.08864421563031688,2.384185793236071e-08,,
0.85,0.5,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,135.70301234722137,1.0871413396671414,False,0,0,[],L,1,,,88.36443722248077,1.0143665131181479,False,0,0,[6.8675305978451044],L,0,,,8.421181701123714,0.8182690944522619,False,0,0,[],0.35577869415283203,0.35577869415283203,0.08864421563031688,2.384185793236071e-08,,
0.85,0.75,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,135.70305705070496,1.0871412232518196,False,0,0,[],L,1,,,88.36448192596436,1.014366396702826,False,0,0,[6.867529148324434],L,0,,,8.421202190220356,0.8182690944522619,False,0,0,[],0.3557787656784058,0.3557787656784058,0.08864421563031688,2.384185793236071e-08,,
