tau_fast_s,tau_slow_s,q_hold,phase,source_dt_ms,q_reserve,tau_depletion_ms,low_state_entry_ms,q_exit,m_exit,additive_exit_mv,max_abs_q_excursion,fold_margin_at_exit_mv,replay_finite_domain_pass,small_q_excursion_pass,dynamic_fold_margin_pass,active_q_below_entry_fold,effective_tau_recovery_ms,time_to_qsafe_ms,persistence_off_bound_ms,reset_time_ms,reset_horizon_pass,q_at_reset,protected_margin_min_mv,protected_margin_pass,release_after_reset_ms,q_at_additive_release,q_never_decreases_after_reset,post_reset_release_pass,handoff_pass,path_pass
20.0,90.0,0.84,0.75,0.125,0.8389647139672025,307.8246027938453,118.0,0.839851360389079,0.23275098204612732,0.37240157127380374,0.00017564524869218,0.13428145785153306,True,True,True,True,49596.93023481082,68878.66057928592,2629.9184229899865,68878.66057928592,True,0.885,0.13428145785153306,True,35090.885893889164,0.8908352218272032,True,True,True,True
20.0,90.0,0.84,0.0,0.0625,0.8389647139672025,307.8246027938453,118.0,0.8398514292887964,0.23241522908210754,0.3718643665313721,0.0001755988461332736,0.13374524574933744,True,True,True,True,49629.06952789695,68923.23777145757,2629.9184229899865,68923.23777145757,True,0.885,0.13374524574933744,True,35073.56289762875,0.8908320212720524,True,True,True,True
20.0,90.0,0.84,0.25,0.0625,0.8389647139672025,307.8246027938453,118.0,0.8398514292798464,0.23241525888442993,0.3718644142150879,0.00017559885055273838,0.13374529330410945,True,True,True,True,49629.06667327972,68923.23381444275,2629.9184229899865,68923.23381444275,True,0.885,0.13374529330410945,True,35073.564436374065,0.8908320215563077,True,True,True,True
20.0,90.0,0.84,0.5,0.0625,0.8389647139672025,307.8246027938453,118.0,0.8398514292392224,0.2324153482913971,0.37186455726623535,0.00017559886973739225,0.13374543576998643,True,True,True,True,49629.05810942997,68923.22195476585,2629.9184229899865,68923.22195476585,True,0.885,0.13374543576998643,True,35073.56905260884,0.8908320224090622,True,True,True,True
20.0,90.0,0.84,0.75,0.0625,0.8389647139672025,307.8246027938453,118.0,0.8398514292880276,0.23241524398326874,0.37186439037323,0.00017559884626738853,0.13374526958011876,True,True,True,True,49629.068100588294,68923.23578989207,2629.9184229899865,68923.23578989207,True,0.885,0.13374526958011876,True,35073.56366700143,0.8908320214141765,True,True,True,True
20.0,90.0,0.8425,0.0,0.125,0.8415605027325525,278.35361262327285,118.0,0.842349586741204,0.23083098232746124,0.369329571723938,0.0001766628931006986,0.16749352196201717,True,True,True,True,49781.28211641559,67022.89048660806,2629.9184229899865,67022.89048660806,True,0.885,0.16749352196201717,True,34991.48544204335,0.8908168698027829,True,True,True,True
20.0,90.0,0.8425,0.25,0.125,0.8415605027325525,278.35361262327285,118.0,0.8423495867306605,0.23083101212978363,0.36932961940765385,0.0001766628983470575,0.16749356949252267,True,True,True,True,49781.27924426125,67022.88662879537,2629.9184229899865,67022.88662879537,True,0.885,0.16749356949252267,True,34991.486991349426,0.8908168700885801,True,True,True,True
20.0,90.0,0.8425,0.5,0.125,0.8415605027325525,278.35361262327285,118.0,0.8423495866709203,0.23083116114139557,0.36932985782623295,0.00017666292901685754,0.16749380704299732,True,True,True,True,49781.26488349453,67022.8673458029,2629.9184229899865,67022.8673458029,True,0.885,0.16749380704299732,True,34991.494737876856,0.8908168715175782,True,True,True,True
20.0,90.0,0.8425,0.75,0.125,0.8415605027325525,278.35361262327285,118.0,0.8423495865847114,0.23083138465881348,0.3693302154541016,0.00017666297287000088,0.167494163418136,True,True,True,True,49781.24334235998,67022.83841839797,2629.9184229899865,67022.83841839797,True,0.885,0.167494163418136,True,34991.50635765862,0.8908168736610835,True,True,True,True
20.0,90.0,0.8425,0.0,0.0625,0.8415605027325525,278.35361262327285,118.0,0.842349652098002,0.23048906028270721,0.3687824964523316,0.00017661611590302773,0.16694739641128198,True,True,True,True,49814.256171899186,67067.2285411632,2629.9184229899865,67067.2285411632,True,0.885,0.16694739641128198,True,34973.69707427517,0.8908135888911293,True,True,True,True
20.0,90.0,0.8425,0.25,0.0625,0.8415605027325525,278.35361262327285,118.0,0.8423496520691859,0.23048914968967438,0.368782639503479,0.0001766161309191272,0.16694753904369225,True,True,True,True,49814.24754401867,67067.21694994943,2629.9184229899865,67067.21694994943,True,0.885,0.16694753904369225,True,34973.70172908784,0.8908135897495368,True,True,True,True
20.0,90.0,0.8425,0.5,0.0625,0.8415605027325525,278.35361262327285,118.0,0.8423496520909615,0.2304890900850296,0.3687825441360474,0.00017661611936004018,0.16694744399268868,True,True,True,True,49814.25329593868,67067.22467520865,2629.9184229899865,67067.22467520865,True,0.885,0.16694744399268868,True,34973.698625879595,0.8908135891772612,True,True,True,True
20.0,90.0,0.8425,0.75,0.0625,0.8415605027325525,278.35361262327285,118.0,0.8423496520972867,0.2304890751838684,0.36878252029418945,0.00017661611631869523,0.16694742024274534,True,True,True,True,49814.25473391889,67067.22660576216,2629.9184229899865,67067.22660576216,True,0.885,0.16694742024274534,True,34973.697850077406,0.8908135890341994,True,True,True,True
20.0,90.0,0.845,0.0,0.125,0.8441554544311866,247.65779702876864,118.0,0.8448470411650097,0.228600412607193,0.3657606601715088,0.00017845204818933702,0.20052178105131618,True,True,True,True,49997.18226643541,65099.34083318579,2629.9184229899865,65099.34083318579,True,0.885,0.20052178105131618,True,34874.96294378015,0.8907953963690879,True,True,True,True
20.0,90.0,0.845,0.25,0.125,0.8441554544311866,247.65779702876864,118.0,0.8448470411650024,0.228600412607193,0.3657606601715088,0.00017845204820177152,0.20052178105120877,True,True,True,True,49997.18226643541,65099.34083319244,2629.9184229899865,65099.34083319244,True,0.885,0.20052178105120877,True,34874.96294378015,0.8907953963690879,True,True,True,True
20.0,90.0,0.845,0.5,0.125,0.8441554544311866,247.65779702876864,118.0,0.8448470411467501,0.22860047221183777,0.36576075553894044,0.00017845205849509327,0.20052187615103192,True,True,True,True,49997.17647219318,65099.33330528631,2629.9184229899865,65099.33330528631,True,0.885,0.20052187615103192,True,34874.96607262684,0.8907953969451172,True,True,True,True
20.0,90.0,0.845,0.75,0.125,0.8441554544311866,247.65779702876864,118.0,0.8448470411601567,0.2286004275083542,0.3657606840133667,0.00017845205114530582,0.20052180482202103,True,True,True,True,49997.18081787473,65099.338951471924,2629.9184229899865,65099.338951471924,True,0.885,0.20052180482202103,True,34874.963725991896,0.8907953965130998,True,True,True,True
20.0,90.0,0.845,0.0,0.0625,0.8441554544311866,247.65779702876864,118.0,0.8448471020663941,0.228249654173851,0.3651994466781616,0.00017840560880555412,0.19996146047198848,True,True,True,True,50031.30320754095,65143.713106430965,2629.9184229899865,65143.713106430965,True,0.885,0.19996146047198848,True,34856.536320547624,0.8907920045149541,True,True,True,True
20.0,90.0,0.845,0.25,0.0625,0.8441554544311866,247.65779702876864,118.0,0.8448471020682043,0.228249654173851,0.3651994466781616,0.00017840560786497317,0.19996146049852925,True,True,True,True,50031.30320754095,65143.713104788854,2629.9184229899865,65143.713104788854,True,0.885,0.19996146049852925,True,34856.536320547624,0.8907920045149541,True,True,True,True
