candidate,seed,layer,mode,n,SCL_upper_participation,SCL_minus_ICL_lag_median_ms,pair_order_probability_mae
near_upper__EE_out_to_out_scale_1.15,847101,all_detected,TA,0,,,
near_upper__EE_out_to_out_scale_1.15,847101,all_detected,TB,76,0.6578947368421053,-13.703555259309724,
near_upper__EE_out_to_out_scale_1.15,847102,primary,ALL,7,0.5,-38.72047887973895,0.4892816300261894
near_upper__EE_out_to_out_scale_1.15,847102,primary,TA,2,1.0,-43.108527331402,0.2125404726059776
near_upper__EE_out_to_out_scale_1.15,847102,primary,TB,5,0.3,-0.3031022992754515,0.3207605423221132
near_upper__EE_out_to_out_scale_1.15,847102,all_detected,ALL,68,0.625,-26.250026671530804,
near_upper__EE_out_to_out_scale_1.15,847102,all_detected,TA,8,0.875,-43.231243042085225,
near_upper__EE_out_to_out_scale_1.15,847102,all_detected,TB,60,0.5916666666666667,-23.23428837114352,
near_upper__EE_kernel_perp_scale_1.5,847101,primary,ALL,5,1.0,-46.994298770368914,0.4023678486187438
near_upper__EE_kernel_perp_scale_1.5,847101,primary,TA,0,,,
near_upper__EE_kernel_perp_scale_1.5,847101,primary,TB,5,1.0,-46.994298770368914,0.4149629279873826
near_upper__EE_kernel_perp_scale_1.5,847101,all_detected,ALL,76,1.0,-44.90730482933304,
near_upper__EE_kernel_perp_scale_1.5,847101,all_detected,TA,25,1.0,-46.99145333257002,
near_upper__EE_kernel_perp_scale_1.5,847101,all_detected,TB,51,1.0,-41.84506448749198,
near_upper__EE_kernel_perp_scale_1.5,847102,primary,ALL,5,1.0,11.87006422084869,0.4553186886251336
near_upper__EE_kernel_perp_scale_1.5,847102,primary,TA,0,,,
near_upper__EE_kernel_perp_scale_1.5,847102,primary,TB,5,1.0,11.87006422084869,0.2208347321696722
near_upper__EE_kernel_perp_scale_1.5,847102,all_detected,ALL,75,1.0,-26.648446540833906,
near_upper__EE_kernel_perp_scale_1.5,847102,all_detected,TA,9,1.0,-46.21548177042132,
near_upper__EE_kernel_perp_scale_1.5,847102,all_detected,TB,66,1.0,-23.16964638169748,
near_upper__EE_kernel_parallel_scale_1.5,847101,primary,ALL,1,0.0,-69.27560742014066,0.5766296119175873
near_upper__EE_kernel_parallel_scale_1.5,847101,primary,TA,0,,,
near_upper__EE_kernel_parallel_scale_1.5,847101,primary,TB,1,0.0,-69.27560742014066,0.4046372466535209
near_upper__EE_kernel_parallel_scale_1.5,847101,all_detected,ALL,75,0.0,-15.080168864122244,
near_upper__EE_kernel_parallel_scale_1.5,847101,all_detected,TA,0,,,
near_upper__EE_kernel_parallel_scale_1.5,847101,all_detected,TB,75,0.0,-15.080168864122244,
near_upper__EE_kernel_parallel_scale_1.5,847102,primary,ALL,1,0.0,40.9400596862306,0.6642215036104981
near_upper__EE_kernel_parallel_scale_1.5,847102,primary,TA,0,,,
near_upper__EE_kernel_parallel_scale_1.5,847102,primary,TB,1,0.0,40.9400596862306,0.3692662244704112
near_upper__EE_kernel_parallel_scale_1.5,847102,all_detected,ALL,78,0.0,-11.51578465622606,
near_upper__EE_kernel_parallel_scale_1.5,847102,all_detected,TA,0,,,
near_upper__EE_kernel_parallel_scale_1.5,847102,all_detected,TB,78,0.0,-11.51578465622606,
near_upper__EE_angle_offset_deg_-15,847101,primary,ALL,8,0.6875,34.08731662042851,0.5548603852922132
near_upper__EE_angle_offset_deg_-15,847101,primary,TA,0,,,
near_upper__EE_angle_offset_deg_-15,847101,primary,TB,8,0.6875,34.08731662042851,0.2633458989730696
near_upper__EE_angle_offset_deg_-15,847101,all_detected,ALL,65,0.8461538461538463,47.87526155193336,
near_upper__EE_angle_offset_deg_-15,847101,all_detected,TA,0,,,
near_upper__EE_angle_offset_deg_-15,847101,all_detected,TB,65,0.8461538461538463,47.87526155193336,
near_upper__EE_angle_offset_deg_-15,847102,primary,ALL,6,0.8333333333333333,31.87676982303674,0.5767368656386989
near_upper__EE_angle_offset_deg_-15,847102,primary,TA,1,1.0,-22.939742142127216,0.4066538785462638
near_upper__EE_angle_offset_deg_-15,847102,primary,TB,5,0.8,33.887986579345124,0.3628278732039209
near_upper__EE_angle_offset_deg_-15,847102,all_detected,ALL,68,0.8970588235294117,47.25865848713738,
near_upper__EE_angle_offset_deg_-15,847102,all_detected,TA,1,1.0,-22.939742142127216,
