candidate,noise,L,TB_n,TA_n,TB_order,TB_lag,TB_leftreturn,TB_leftreturn_n,TA_part,TA_lag
up3__ellipse4__EE_core_to_out_scale_1.25,847102,8.44661354573699,116,33,0.3894319055082962,35.5831785600094,0.034482758620689655,116,0.7121212121212122,-21.677724725930602
up3__ellipse4__II_same_core_scale_0.75,847102,8.700934363075454,80,20,0.38497979042686675,36.15022592045716,0.05128205128205128,78,0.7,91.99814213768695
up3__circle__core_mean_rate_scale_1.0,847101,,8,3,0.33331539612592603,102.30957773048249,0.3333333333333333,6,1.0,92.35614668952985
up3__circle__EI_same_core_scale_1.25,847101,,0,0,,,,0,,
up3__ellipse9,847102,11.088732190441748,89,11,0.39494649182783576,36.138925749060945,0.022727272727272728,88,0.45454545454545453,-28.195635839139868
up3__circle__EE_core_to_out_scale_1.25,847102,3.963162962521818,77,53,0.3737454729379606,35.44060550434733,0.12987012987012986,77,0.33018867924528306,-15.681420670632633
endpoint__out_angle_m15,847101,4.109866032232316,74,61,0.36662258214461135,36.02689646538647,0.013888888888888888,72,0.45901639344262296,81.68750953572271
up3__ellipse4__depth_A_scale_1.25,847101,5.992822448210548,81,43,0.3653572228316183,36.40384940506374,0.11688311688311688,77,0.7906976744186047,93.84310978024587
up3__circle__depth_A_scale_0.75,847102,10.99171236366324,103,6,0.3750220912438398,36.48787800851642,0.07,100,1.0,92.35980349224337
endpoint__circle,847102,6.337277885619898,78,48,0.37292832012510035,36.2857245945861,0.01282051282051282,78,0.65625,101.10126867000872
endpoint__out_angle_p15,847101,6.575603255570611,80,63,0.36424773199823557,36.549225498758005,0.12987012987012986,77,0.9444444444444444,100.17761522089859
up3__circle__EI_same_core_scale_0.75,847101,3.4198349241110595,87,82,0.3469704365761246,34.90469718451641,0.022988505747126436,87,0.2804878048780488,-19.667652659969463
up3__circle__core_mean_rate_scale_1.0,847102,,6,0,0.3666168303484102,36.144284490290374,0.0,6,,
up3__ellipse4__EI_same_core_scale_1.25,847102,,0,0,,,,0,,
endpoint__out_perp15,847101,10.1685398917015,80,13,0.3892800911350466,35.94083277853133,0.0,80,0.9230769230769231,88.23051204365765
up3__circle__II_same_core_scale_0.75,847102,8.480982803556566,79,13,0.352124017768527,36.74765951640802,0.06944444444444445,72,0.7692307692307692,93.570512678265
endpoint__out_perp20,847102,9.397550899279768,89,17,0.3799425143569407,35.94814034519368,0.02247191011235955,89,0.9411764705882353,-31.45397515266086
