subject,dataset,condition,seed,heldout_event_nll,n_eval_events,top1_next_set_accuracy,stop_brier,stop_accuracy,terminal_stop_probability,nonterminal_stop_probability
epilepsiae_384,epilepsiae,history_1_gru,20260725,1.7219243690451236,4299,0.3225728740062635,0.2690951575495001,0.2944016435541859,0.5814506417123375,0.5235138456336295
epilepsiae_384,epilepsiae,history_2_gru,20260725,1.7450666440090596,4299,0.3159078133783024,0.2357990580524797,0.4418079096045197,0.5598147801338068,0.4705360188029103
epilepsiae_384,epilepsiae,history_3_gru,20260725,1.7295010155593276,4299,0.3125752830643218,0.2238842136502298,0.5689436740284198,0.6228705423161996,0.4479620696013358
epilepsiae_442,epilepsiae,history_1_gru,20260725,2.175887787833196,534,0.1785168195718654,0.3254240663803913,0.1852237252861602,0.6197034035915292,0.5748660616836749
epilepsiae_442,epilepsiae,history_2_gru,20260725,2.144381925184629,534,0.1924694189602446,0.2916503488954661,0.2778355879292404,0.6054098477417328,0.5344872901501198
epilepsiae_442,epilepsiae,history_3_gru,20260725,2.1455563918481606,534,0.1825305810397553,0.2908322916915098,0.3560527228581339,0.6398111750862303,0.5247578066866033
epilepsiae_548,epilepsiae,history_1_gru,20260725,2.0580905441224107,1397,0.2417427307800884,0.3201108200650265,0.2323685961410512,0.6452498628797168,0.5750178544607397
epilepsiae_548,epilepsiae,history_2_gru,20260725,2.019622913239765,1397,0.2372259339418462,0.2760376630818123,0.3485528942115768,0.6224695786917799,0.5206810930192504
epilepsiae_548,epilepsiae,history_3_gru,20260725,2.0166510125100827,1397,0.2226404441516891,0.2599440203483441,0.4636560212907518,0.641676877117259,0.4918225868567405
epilepsiae_583,epilepsiae,history_1_gru,20260725,1.5724460316648277,1566,0.3372664700098328,0.2820630544422726,0.3606217616580311,0.661716770902606,0.545722153245891
epilepsiae_583,epilepsiae,history_2_gru,20260725,1.5399277499504624,1566,0.3185840707964602,0.2372556201398564,0.5311456534254462,0.6551646898998805,0.4819021784860614
epilepsiae_583,epilepsiae,history_3_gru,20260725,1.5271386906866218,1566,0.3211125158027813,0.1847154150806331,0.7154864709268854,0.6449699802051397,0.4007992195557863
epilepsiae_590,epilepsiae,history_1_gru,20260725,2.2708723574966463,997,0.2414361001317523,0.3071441840096147,0.1973280554181098,0.6036782237566596,0.5566727475427155
epilepsiae_590,epilepsiae,history_2_gru,20260725,2.1310328915939407,997,0.3546332894158981,0.2333654202662741,0.3875309252845126,0.5390304251442078,0.4664958987920157
epilepsiae_590,epilepsiae,history_3_gru,20260725,2.126736470665353,997,0.3570487483530962,0.2084603508075224,0.571598218703612,0.530586740537275,0.426717403678907
epilepsiae_620,epilepsiae,history_1_gru,20260725,1.598581968993281,4482,0.3422489986427885,0.2774017226429176,0.2583955492779107,0.583465350155309,0.5284891976214097
epilepsiae_620,epilepsiae,history_2_gru,20260725,1.5847724573732431,4482,0.3519149922208613,0.2380394896033595,0.4102216713268571,0.5898759127693552,0.4750756747191067
epilepsiae_620,epilepsiae,history_3_gru,20260725,1.5639078470012642,4482,0.3552252639941739,0.1985978468400886,0.5392753163644749,0.5863589626857243,0.4129925024163534
epilepsiae_635,epilepsiae,history_1_gru,20260725,1.668066409442898,1023,0.3573397656788422,0.2714236779081433,0.2996923978321371,0.5902835887379051,0.5260534447829615
epilepsiae_635,epilepsiae,history_2_gru,20260725,1.6916193480831905,1023,0.3556168159889731,0.206814495674568,0.4914310824666764,0.5431008825272688,0.4326587308407829
epilepsiae_635,epilepsiae,history_3_gru,20260725,1.687652781969874,1023,0.341144038594073,0.1636795644160384,0.7751574630145013,0.532447409662048,0.3562448131142068
