seed,i,j,angle_deg,aspect_ratio,status,exact_noop,passes,budget_error_max,zero_denominator,edge_ratio_p01,edge_ratio_p50,edge_ratio_p99,effective_source_median_ratio,effective_source_p05_ratio,targets_effective_ratio_below_0p5,topology_unchanged,gaba_unchanged,achieved_angle_deg,achieved_aspect_ratio,weighted_rms_distance_mm,axial_anisotropy
2511,3,6,-37.80538396505847,1.75,OK,False,True,1.546140993013978e-11,False,0.25036541175572985,0.8830411376004572,2.7194200039854883,0.7842630065220393,0.7025586133073496,1,True,True,136.1279157504375,1.6962795711803098,1.6112918564287042,0.48418569880677986
2511,3,7,-37.80538396505847,1.875,OK,False,False,1.5916157281026244e-11,False,0.2471017394531432,0.8814135936857224,2.7371155815026333,0.7810122895306442,0.6986558601550746,1,True,True,137.09553276967875,1.8480531776020483,1.6468069234097846,0.5470297030520559
2511,3,8,-37.80538396505847,2.0,OK,False,False,1.6370904631912708e-11,False,0.23220821863498314,0.8726428870907512,2.826986234407582,0.7664017098176732,0.6805629988031778,1,True,True,137.80746826829517,2.003206728848548,1.6831800674799053,0.60102434593391
2511,3,9,-37.80538396505847,2.125,OK,False,False,1.5006662579253316e-11,False,0.21053450554937356,0.8582575085531938,2.9723272426567187,0.7431359186206729,0.6528352769923436,2,True,True,138.3566300976001,2.161152996149516,1.719890121387973,0.6473025337088658
2511,3,10,-37.80538396505847,2.25,OK,False,False,1.6370904631912708e-11,False,0.18596740723691732,0.8393891165737177,3.1589850072675,0.7140466364185237,0.6189105340589841,9,True,True,138.7950114035355,2.321415307627224,1.7565464740432515,0.6869604484766358
2511,3,11,-37.80538396505847,2.375,OK,False,False,1.546140993013978e-11,False,0.1612706878116191,0.8172524917607369,3.3751181979658837,0.6812970631625432,0.5814858600368037,64,True,True,139.15408202207337,2.4835878463277203,1.7928612449824606,0.7209902621038363
2511,3,12,-37.80538396505847,2.5,OK,False,False,1.5916157281026244e-11,False,0.13802943087566744,0.7926939037398315,3.614127320269344,0.6465057749910239,0.5418217154125179,337,True,True,139.4540933396291,2.647316815602275,1.8286263637932045,0.7502586796299863
2511,3,13,-37.80538396505847,2.625,OK,False,False,1.864464138634503e-11,False,0.1171358183255292,0.7664732541514649,3.8685623411281655,0.6110061889877213,0.5014280516137021,1540,True,True,139.70873323493808,2.8122898901199957,1.8636950355408854,0.7755072689234332
2511,3,14,-37.80538396505847,2.75,OK,False,False,1.3642420526593924e-11,False,0.09885081211308874,0.7392749405489644,4.135209827612342,0.5758682806323144,0.4621976302367884,3848,True,True,139.92763132751963,2.9782293125699284,1.8979669789913893,0.7973626718970971
2511,3,15,-37.80538396505847,2.875,OK,False,False,1.5006662579253316e-11,False,0.08313620502021982,0.7116236492290482,4.408517682483128,0.5420222323615537,0.42346213884657374,7279,True,True,140.11779018194466,3.1448867901216984,1.9313768209899174,0.8163505480329706
2511,3,16,-37.80538396505847,3.0,OK,False,False,1.77351466845721e-11,False,0.06977084774223295,0.6839514824757649,4.685965470162837,0.5095103707233284,0.3872302620827388,13499,True,True,140.28444471140065,3.31203942211692,1.9638850785736275,0.8329101104282608
2511,4,0,-35.30538396505847,1.0,OK,False,False,1.7280399333685637e-11,False,0.05460931379698802,0.6508924927390445,5.05815736000637,0.467366028229525,0.34452329417702166,25366,True,True,67.76208995569496,1.2233847367185386,1.4711025928627195,0.19893304740197007
2511,4,1,-35.30538396505847,1.125,OK,False,False,1.7280399333685637e-11,False,0.09206244720611581,0.7307572041845559,4.243557077895913,0.561942652415676,0.450006338777572,4568,True,True,87.48676454912089,1.107264969241412,1.4785866269292887,0.10154181753670723
2511,4,2,-35.30538396505847,1.25,OK,False,False,1.546140993013978e-11,False,0.1391525066206178,0.7947132930797232,3.604058225897617,0.6485878127510674,0.5472080691671176,428,True,True,120.61580790881018,1.1360883602697345,1.4949156261545076,0.12690320566191968
2511,4,3,-35.30538396505847,1.375,OK,False,False,1.546140993013978e-11,False,0.19192823821255955,0.8435107564178153,3.1189266250242085,0.721293731581904,0.6297468331107023,29,True,True,132.0059400723905,1.2509898332106342,1.5180202492532182,0.22026547581623984
2511,4,4,-35.30538396505847,1.5,OK,False,False,1.6825651982799172e-11,False,0.24359708727800447,0.8781631393637894,2.7677518565846158,0.7767149296291704,0.6946159149196872,2,True,True,136.12628942174297,1.3843738220315926,1.546176749466012,0.3142443837852482
2511,4,5,-35.30538396505847,1.625,OK,False,True,1.546140993013978e-11,False,0.2857397065673981,0.9003406224064532,2.536907136813781,0.8138479012713083,0.740060467271468,1,True,True,138.2041290380594,1.525603910675435,1.5779791233932152,0.3989422511688486
2511,4,6,-35.30538396505847,1.75,OK,False,True,1.5006662579253316e-11,False,0.3110298537096514,0.9117947401498152,2.41501474445722,0.8330373545247178,0.7645516817854646,0,True,True,139.46574840083522,1.6720993636628279,1.6122994969054107,0.47311799011372013
2511,4,7,-35.30538396505847,1.875,OK,False,True,1.546140993013978e-11,False,0.31624852440835843,0.9140955228961325,2.3906546809586806,0.8363820872178174,0.7691198720139633,0,True,True,140.32141666139444,1.8227331083575589,1.6482468581736025,0.5372893840157411
2511,4,8,-35.30538396505847,2.0,OK,False,True,1.6825651982799172e-11,False,0.3036080743535391,0.9087794648803658,2.4484637961239435,0.8267424878411314,0.7569918180720825,0,True,True,140.94496907439586,1.9767989761807228,1.6851276827596169,0.592479966994387
2511,4,9,-35.30538396505847,2.125,OK,False,True,1.7280399333685637e-11,False,0.279100409049361,0.8971692663813637,2.569419655102293,0.8068394425504144,0.7326228082619595,0,True,True,141.42246032781367,2.1337607907704266,1.7224101037490156,0.6398301151411985
2511,4,10,-35.30538396505847,2.25,OK,False,False,1.77351466845721e-11,False,0.24878116375748527,0.88064134827606,2.7374124413157075,0.7795125205027625,0.6991838168591286,0,True,True,141.80142935481462,2.2931722951694704,1.7596924423958036,0.6804417152082193
2511,4,11,-35.30538396505847,2.375,OK,False,False,1.5916157281026244e-11,False,0.21689659924025426,0.8602248976024576,2.940562993887485,0.7470836691967855,0.66064864227741,2,True,True,142.11037188591575,2.454646109598546,1.796676353098438,0.7153141428948401
2511,4,12,-35.30538396505847,2.5,OK,False,False,1.5006662579253316e-11,False,0.18641258516396522,0.8368704625465992,3.169678792343245,0.7116962339717143,0.6189170609433464,13,True,True,142.36748303299427,2.6178393838663787,1.8331444410923792,0.745322952796533
2511,4,13,-35.30538396505847,2.625,OK,False,False,1.3642420526593924e-11,False,0.15879064645701643,0.8116310260418883,3.4161301500957295,0.6749721261869311,0.5758657363689663,92,True,True,142.58498028103529,2.7824458261372533,1.868941965636882,0.7712195255680249
2511,4,14,-35.30538396505847,2.75,OK,False,False,1.546140993013978e-11,False,0.13442848063122542,0.7850927957267766,3.675460847423784,0.6380324394760883,0.5332575167229165,476,True,True,142.77140976642156,2.948190405079277,1.9039621202635009,0.7936405520638528
2511,4,15,-35.30538396505847,2.875,OK,False,False,1.6370904631912708e-11,False,0.11335337645154514,0.7578424160465008,3.9417521483497984,0.6016685387018652,0.491401723787659,2080,True,True,142.93295475606084,3.1148253031304205,1.9381343499833206,0.8131214296871002
2511,4,16,-35.30538396505847,3.0,OK,False,False,1.546140993013978e-11,False,0.09536958787995568,0.7302547976179447,4.214310261695701,0.5666504921970618,0.45083945138003506,4707,True,True,143.0742169090178,3.2821265608471553,1.9714151895658858,0.8301104544899875
2511,5,0,-32.80538396505847,1.0,OK,False,False,1.6370904631912708e-11,False,0.05460931379698812,0.650892492739044,5.05815736000637,0.4673660282295249,0.3445232941770217,25366,True,True,67.76208995569496,1.2233847367185386,1.4711025928627195,0.19893304740197007
2511,5,1,-32.80538396505847,1.125,OK,False,False,1.8189894035458565e-11,False,0.09435620451363208,0.7344731979288799,4.206629195627797,0.5666437434249183,0.4554635291760293,4121,True,True,85.4678413870134,1.0945700595411472,1.478651039101933,0.09011650597374116
2511,5,2,-32.80538396505847,1.25,OK,False,False,1.7280399333685637e-11,False,0.14671152690562417,0.8026430091812893,3.525249263465631,0.6596377796208508,0.561134869208337,287,True,True,124.72795916170594,1.1147958674402074,1.4950519338805786,0.10824553783482142
2511,5,3,-32.80538396505847,1.375,OK,False,False,1.5916157281026244e-11,False,0.2090291705050902,0.8558082543784531,2.99386435394477,0.7402963686785036,0.6535210824756863,9,True,True,136.34967216678996,1.2318955668579847,1.518275614427709,0.205582116328618
2511,5,4,-32.80538396505847,1.5,OK,False,True,1.6370904631912708e-11,False,0.27551146482538574,0.8948294612078395,2.592911754755254,0.8043918682313538,0.7297141578852998,2,True,True,140.07791029509696,1.3655976654612585,1.5466190527330683,0.30188487200917496
2511,5,5,-32.80538396505847,1.625,OK,False,True,1.5916157281026244e-11,False,0.3368722290212006,0.9212307754411406,2.3102654090734207,0.8500976471080255,0.7871632360924546,0,True,True,141.88120811143716,1.506359955605813,1.5786842582558813,0.3882146244965285
2511,5,6,-32.80538396505847,1.75,OK,False,True,1.4551915228366852e-11,False,0.38168423986132277,0.9365523327837366,2.137373172887504,0.877143149303993,0.8229646293966384,0,True,True,142.9532103326531,1.6520979980115387,1.6133429236804857,0.46372470257681736
2511,5,7,-32.80538396505847,1.875,OK,False,True,1.6370904631912708e-11,False,0.4010534343969693,0.9423922817149255,2.069943904197206,0.8871461300358945,0.836671062313419,0,True,True,143.67042469735566,1.801881010845131,1.6496983171874842,0.5290544197590892
2511,5,8,-32.80538396505847,2.0,OK,False,True,1.5006662579253316e-11,False,0.3935552240987991,0.9401974651170912,2.0961841589636476,0.8826238276630967,0.8313222049907191,0,True,True,144.18781183528506,1.955095005449768,1.6870482659002768,0.5852684431577018
