figure,source,candidate,topology,noise,mode,metric,x,value,support_n
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TA,recruitment_span_ms_median,1.0,48.0,82
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847101,TA,recruitment_span_ms_median,1.125,50.0,90
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847101,TA,recruitment_span_ms_median,1.25,50.0,89
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TA,recruitment_span_ms_median,1.0,48.0,69
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847102,TA,recruitment_span_ms_median,1.125,50.0,73
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847102,TA,recruitment_span_ms_median,1.25,50.0,74
circle_EE_EI_time,followup,up3__circle,2511,847101,TA,local_width_ms_median,1.0,16.0,22
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847101,TA,local_width_ms_median,1.125,16.0,51
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TA,local_width_ms_median,1.25,16.0,71
circle_EE_EI_time,followup,up3__circle,2511,847102,TA,local_width_ms_median,1.0,16.0,22
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847102,TA,local_width_ms_median,1.125,16.0,49
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TA,local_width_ms_median,1.25,16.0,53
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847101,TA,local_width_ms_median,1.0,16.0,68
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847101,TA,local_width_ms_median,1.125,16.0,79
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847101,TA,local_width_ms_median,1.25,16.0,86
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847102,TA,local_width_ms_median,1.0,16.0,57
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847102,TA,local_width_ms_median,1.125,16.0,66
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847102,TA,local_width_ms_median,1.25,16.0,69
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TA,local_width_ms_median,1.0,16.0,82
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847101,TA,local_width_ms_median,1.125,16.0,90
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847101,TA,local_width_ms_median,1.25,16.0,89
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TA,local_width_ms_median,1.0,16.0,69
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847102,TA,local_width_ms_median,1.125,16.0,73
