epoch,iso,gpu,util_pct,memory_used_mib,memory_total_mib,temp_c,power_w
1788727944,2026-09-07T04:52:24+08:00,1,90,1653,24576,63,188.30
1788727974,2026-09-07T04:52:54+08:00,0,98,1653,24576,56,183.54
1788727974,2026-09-07T04:52:54+08:00,1,99,1653,24576,63,187.59
1788728004,2026-09-07T04:53:24+08:00,0,98,1653,24576,55,184.07
1788728004,2026-09-07T04:53:24+08:00,1,91,1623,24576,63,187.34
1788728035,2026-09-07T04:53:55+08:00,0,98,1653,24576,56,183.89
1788728035,2026-09-07T04:53:55+08:00,1,99,1623,24576,63,186.84
1788728065,2026-09-07T04:54:25+08:00,0,97,1653,24576,56,183.19
1788728065,2026-09-07T04:54:25+08:00,1,13,835,24576,61,152.43
1788728095,2026-09-07T04:54:55+08:00,0,98,1653,24576,56,185.54
1788728095,2026-09-07T04:54:55+08:00,1,13,835,24576,58,134.05
1788728125,2026-09-07T04:55:25+08:00,0,98,1653,24576,55,184.06
1788728125,2026-09-07T04:55:25+08:00,1,9,835,24576,56,133.32
1788728155,2026-09-07T04:55:55+08:00,0,98,1653,24576,55,184.17
1788728155,2026-09-07T04:55:55+08:00,1,98,1619,24576,59,186.10
1788728185,2026-09-07T04:56:25+08:00,0,98,1653,24576,55,184.96
1788728185,2026-09-07T04:56:25+08:00,1,89,1619,24576,61,185.78
1788728215,2026-09-07T04:56:55+08:00,0,98,1653,24576,55,185.40
1788728215,2026-09-07T04:56:55+08:00,1,97,1619,24576,62,188.84
1788728245,2026-09-07T04:57:25+08:00,0,98,1653,24576,55,184.12
1788728245,2026-09-07T04:57:25+08:00,1,98,1619,24576,62,188.65
1788728275,2026-09-07T04:57:55+08:00,0,98,1653,24576,55,185.35
1788728275,2026-09-07T04:57:55+08:00,1,74,1571,24576,62,189.22
1788728305,2026-09-07T04:58:25+08:00,0,66,1645,24576,55,184.75
1788728305,2026-09-07T04:58:25+08:00,1,97,1643,24576,63,189.16
1788728335,2026-09-07T04:58:55+08:00,0,58,1647,24576,55,183.34
1788728335,2026-09-07T04:58:55+08:00,1,13,835,24576,61,135.37
1788728365,2026-09-07T04:59:25+08:00,0,86,1647,24576,55,183.76
1788728365,2026-09-07T04:59:25+08:00,1,99,1611,24576,62,188.67
1788728396,2026-09-07T04:59:56+08:00,0,57,1647,24576,55,181.21
1788728396,2026-09-07T04:59:56+08:00,1,63,1615,24576,62,187.06
1788728426,2026-09-07T05:00:26+08:00,0,97,1647,24576,56,184.27
1788728426,2026-09-07T05:00:26+08:00,1,72,1615,24576,62,187.78
1788728456,2026-09-07T05:00:56+08:00,0,98,1647,24576,56,185.11
1788728456,2026-09-07T05:00:56+08:00,1,84,1653,24576,62,184.78
1788728486,2026-09-07T05:01:26+08:00,0,98,1651,24576,56,185.43
1788728486,2026-09-07T05:01:26+08:00,1,98,1653,24576,62,188.18
1788728516,2026-09-07T05:01:56+08:00,0,98,1651,24576,56,186.16
1788728516,2026-09-07T05:01:56+08:00,1,98,1661,24576,62,187.36
1788728546,2026-09-07T05:02:26+08:00,0,98,1651,24576,56,185.16
1788728546,2026-09-07T05:02:26+08:00,1,71,1661,24576,62,188.51
1788728576,2026-09-07T05:02:56+08:00,0,97,1651,24576,56,184.60
1788728576,2026-09-07T05:02:56+08:00,1,99,1661,24576,62,188.28
1788728606,2026-09-07T05:03:26+08:00,0,98,1651,24576,56,184.77
1788728606,2026-09-07T05:03:26+08:00,1,65,1661,24576,62,187.31
1788728636,2026-09-07T05:03:56+08:00,0,97,1651,24576,56,185.06
1788728636,2026-09-07T05:03:56+08:00,1,93,1661,24576,62,187.49
1788728666,2026-09-07T05:04:26+08:00,0,98,1651,24576,56,186.59
1788728666,2026-09-07T05:04:26+08:00,1,99,1661,24576,62,187.11
1788728696,2026-09-07T05:04:56+08:00,0,71,1651,24576,56,184.98
1788728696,2026-09-07T05:04:56+08:00,1,98,1661,24576,62,185.51
1788728727,2026-09-07T05:05:27+08:00,0,99,1651,24576,56,184.85
1788728727,2026-09-07T05:05:27+08:00,1,99,1661,24576,62,187.91
1788728757,2026-09-07T05:05:57+08:00,0,42,1651,24576,56,184.01
1788728757,2026-09-07T05:05:57+08:00,1,96,1661,24576,62,188.01
1788728787,2026-09-07T05:06:27+08:00,0,97,1651,24576,56,185.31
1788728787,2026-09-07T05:06:27+08:00,1,99,1661,24576,62,187.54
1788728817,2026-09-07T05:06:57+08:00,0,72,1651,24576,56,185.62
1788728817,2026-09-07T05:06:57+08:00,1,96,1661,24576,62,188.71
1788728847,2026-09-07T05:07:27+08:00,0,85,1651,24576,56,185.68
1788728847,2026-09-07T05:07:27+08:00,1,99,1661,24576,62,187.48
1788728877,2026-09-07T05:07:57+08:00,0,99,1651,24576,57,185.47
1788728877,2026-09-07T05:07:57+08:00,1,99,1661,24576,62,188.11
1788728907,2026-09-07T05:08:27+08:00,0,97,1651,24576,57,185.45
1788728907,2026-09-07T05:08:27+08:00,1,99,1661,24576,63,188.01
1788728937,2026-09-07T05:08:57+08:00,0,97,1651,24576,57,185.25
1788728937,2026-09-07T05:08:57+08:00,1,99,1661,24576,63,187.46
1788728967,2026-09-07T05:09:27+08:00,0,97,1651,24576,56,184.96
1788728967,2026-09-07T05:09:27+08:00,1,98,1661,24576,63,187.85
1788728997,2026-09-07T05:09:57+08:00,0,98,1651,24576,57,185.40
1788728997,2026-09-07T05:09:57+08:00,1,98,1661,24576,63,187.50
1788729027,2026-09-07T05:10:27+08:00,0,97,1651,24576,57,186.18
1788729027,2026-09-07T05:10:27+08:00,1,99,1663,24576,63,187.62
1788729058,2026-09-07T05:10:58+08:00,0,72,1653,24576,57,185.70
1788729058,2026-09-07T05:10:58+08:00,1,99,1665,24576,63,188.69
1788729088,2026-09-07T05:11:28+08:00,0,98,1653,24576,57,185.62
1788729088,2026-09-07T05:11:28+08:00,1,99,1665,24576,63,187.62
1788729118,2026-09-07T05:11:58+08:00,0,99,1653,24576,57,185.41
1788729118,2026-09-07T05:11:58+08:00,1,99,1665,24576,63,188.35
1788729148,2026-09-07T05:12:28+08:00,0,98,1653,24576,57,186.62
1788729148,2026-09-07T05:12:28+08:00,1,99,1665,24576,63,189.09
1788729178,2026-09-07T05:12:58+08:00,0,89,1653,24576,57,185.43
1788729178,2026-09-07T05:12:58+08:00,1,98,1665,24576,63,187.90
1788729208,2026-09-07T05:13:28+08:00,0,99,1645,24576,57,186.12
