comparison,descriptive_hour_block_ci_high,descriptive_hour_block_ci_low,gain,horizon,n_hour_blocks,n_targets,protocol,seed,units,view
P_marks_state_over_P_stats_state,0.009214148625309424,-0.021914001203868654,-0.005354552241096719,1,14,14,S-ID,20260906,1026.0,morphology
P_marks_state_over_marked_history,0.03351532837752623,-0.02526707249847381,0.0008685007894713047,1,14,14,S-ID,20260906,1026.0,morphology
P_marks_state_over_P_stats_state,0.019705860529627087,-0.0736679562500545,-0.025447794369288852,1,14,14,S-ID,20260906,14.0,load
P_marks_state_over_marked_history,0.06253704865063925,-0.1413202858396939,-0.03423384257725307,1,14,14,S-ID,20260906,14.0,load
P_marks_state_over_P_stats_state,0.07331246957182881,-0.06865597118933996,0.0068994661172231036,5,24,24,S-ID,20260906,24.0,count
P_marks_state_over_marked_history,0.14031002819538102,-0.0761175033946832,0.03447905679543813,5,24,24,S-ID,20260906,24.0,count
P_marks_state_over_P_stats_state,0.1373122300420488,-0.10427636333874293,0.0007071154458182198,5,14,14,S-ID,20260906,14.0,spatial
P_marks_state_over_marked_history,0.3469386858599523,-0.0900791083063398,0.11609574726649693,5,14,14,S-ID,20260906,14.0,spatial
P_marks_state_over_P_stats_state,0.008916138502073456,-0.022899011794041624,-0.005432680103978683,5,14,14,S-ID,20260906,1026.0,morphology
P_marks_state_over_marked_history,0.02844588800725299,-0.026726523374325517,-0.0009157736631397151,5,14,14,S-ID,20260906,1026.0,morphology
P_marks_state_over_P_stats_state,0.03404709867068698,-0.07879118834223066,-0.01923506600516183,5,14,14,S-ID,20260906,14.0,load
P_marks_state_over_marked_history,0.05417689766202654,-0.14237005316785406,-0.042719240699495585,5,14,14,S-ID,20260906,14.0,load
P_marks_state_over_P_stats_state,0.07565487995743751,-0.06743787899613381,0.008991777896881104,30,24,24,S-ID,20260906,24.0,count
