subject,dataset,condition,seed,n_events,n_contacts,whole_participation_mae,whole_rank_wasserstein,whole_precedence_mae,whole_precedence_correlation,whole_participant_count_mean_error,whole_event_length_mean_error,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,event_length_wasserstein,stop_hazard_mae,sink_distribution_mae,source_sink_distance_wasserstein,generated_zero_suffix_fraction,mode_prevalence_error,mode_margin_error,template_error,template_correlation,transition_mae,transition_correlation,signed_axis_wasserstein,axis_concentration_error,axis_side_prevalence_error,generated_axis_concentration,generated_axis_positive_fraction,generated_direction_support,mode_readback_reliable,axis_readback_reliable,axis_side_support,global_readback_eligible,suffix_participation_mae__within_empirical,suffix_rank_wasserstein__within_empirical,suffix_precedence_mae__within_empirical,n_local_endpoints_within_empirical,template_within_empirical,axis_within_empirical
yuquan_pengzihang,yuquan,static_only,20260726.0,4525.0,12.0,0.1575322283609576,0.1182340256638589,0.1628490084609067,0.38824339690216,0.669613259668508,0.669613259668508,0.1575322283609576,0.1447349293192287,0.2037853271319355,-0.0526005638089938,0.6696132596685089,0.6696132596685089,0.0562062615101289,0.0589867051228942,0.0533701657458563,0.0514831937325745,0.0002209944751381,0.027845303867403304,0.04112601135059743,0.325174825174825,0.674825174825175,0.034454897139097024,0.7352136917172476,0.08865857467586785,0.09573771658693286,0.09933301092760038,0.5245676689928909,0.4818744473916888,True,True,True,True,True,False,False,False,0,False,False
yuquan_pengzihang,yuquan,static_shuffle,20260726.0,4525.0,12.0,0.1324493554327808,0.1216750364663478,0.1737113499861095,0.2791644518136217,0.669613259668508,0.669613259668508,0.1324493554327808,0.1582095664723153,0.2334991896204342,-0.0820549109310039,0.6696132596685089,0.6696132596685089,0.0562062615101289,0.0589867051228942,0.0543646408839779,0.0558272197875162,0.0002209944751381,0.009502762430939227,0.03743862365684256,0.423076923076923,0.576923076923077,0.040567578645450464,0.6015833840211133,0.09278231325388084,0.09607717227562729,0.09966850828729285,0.5249071246815853,0.48220994475138124,True,True,True,True,True,False,False,False,0,False,False
yuquan_songzishuo,yuquan,constant_stop,20260726.0,90.0,38.0,0.1269005847953216,0.1259367772765406,0.1869485578150869,0.4854592372597291,-4.422222222222224,-4.422222222222224,0.1269005847953216,0.1357389724875956,0.1990114573393704,0.4251761309895676,-4.422222222222224,-4.422222222222224,0.260233918128655,0.1364308876358468,0.0257309941520467,0.1142320730234378,0.0555555555555555,0.4444444444444445,0.004831382262042855,0.5243462085567349,0.47565379144326514,0.026897086784267468,0.10504917409705827,0.060197408900584885,0.03746554215577269,0.14993757802746566,0.6242301153953023,0.4943820224719101,True,True,True,True,True,False,False,False,0,False,False
yuquan_songzishuo,yuquan,full_constructive,20260726.0,90.0,38.0,0.1429824561403508,0.1294494583813179,0.1905050852696043,0.4142401764016644,-1.3555555555555578,-1.3555555555555578,0.1429824561403508,0.1405254628229885,0.2062204962861158,0.2951039151438759,-1.3555555555555578,-1.3555555555555578,0.0387301587301587,0.0613197181378029,0.0286549707602339,0.0927266340819712,0.0,0.4222222222222223,0.02759080030770892,0.5671298829193567,0.4328701170806433,0.02730255634200993,0.09772602824958489,0.07441924597528907,0.00967211465219786,0.15555555555555556,0.5964366878917274,0.5,True,True,True,True,True,False,False,False,0,False,False
yuquan_songzishuo,yuquan,history_h1,20260726.0,90.0,38.0,0.1096491228070175,0.1341603473336727,0.1962367323373043,0.3284785309721166,-1.3555555555555578,-1.3555555555555578,0.1096491228070175,0.1441777124071372,0.2129979464136661,0.2318005965622743,-1.3555555555555578,-1.3555555555555578,0.0387301587301587,0.0613197181378029,0.0298245614035087,0.0447921306898399,0.0,0.4555555555555556,0.02432049591539718,0.512856986541197,0.48714301345880295,0.026071600538550108,0.14019108006744102,0.0657469248526871,0.06968406956952622,0.12222222222222223,0.6564486428090558,0.4666666666666667,True,True,True,True,True,False,False,False,0,False,False
yuquan_songzishuo,yuquan,history_h2,20260726.0,90.0,38.0,0.1271929824561403,0.1347825496033451,0.1943546911488027,0.3745610321761525,-1.3555555555555578,-1.3555555555555578,0.1271929824561403,0.1463133045193284,0.2110541596686919,0.2579544162250877,-1.3555555555555578,-1.3555555555555578,0.0387301587301587,0.0613197181378029,0.0309941520467836,0.0606378381509015,0.0,0.4555555555555556,0.026058813382209993,0.550060181639129,0.44993981836087105,0.026749731594709347,0.10480277401681547,0.07317645493217938,0.03628761791720192,0.16666666666666663,0.6230521911567315,0.5111111111111111,True,True,True,True,True,False,False,False,0,False,False
yuquan_songzishuo,yuquan,no_termination,20260726.0,90.0,38.0,0.372514619883041,0.1348115359256564,0.1904291784796528,0.4897320657748485,14.155555555555557,14.155555555555557,0.372514619883041,0.1400712801782285,0.1995132299487394,0.4487486419957479,14.155555555555557,14.155555555555557,0.3725146198830409,0.1293122215476821,0.0327485380116959,0.0342122130879214,0.0,0.38888888888888895,0.047859735872805995,0.5509355509355509,0.44906444906444903,0.024248903381679867,0.1586872043855989,0.11498778631816506,0.07285834679832293,0.23333333333333328,0.6596229200378525,0.5777777777777777,True,True,True,True,True,False,False,False,0,False,False
yuquan_songzishuo,yuquan,static_only,20260726.0,90.0,38.0,0.0850877192982456,0.1402793869300555,0.1995194156437671,0.3257170227893279,-1.3555555555555578,-1.3555555555555578,0.0850877192982456,0.1507245004441858,0.2160614208197932,0.151420473263967,-1.3555555555555578,-1.3555555555555578,0.0387301587301587,0.0613197181378029,0.0286549707602339,0.0432251340301692,0.0,0.4666666666666667,0.022266427276045594,0.5726009410219937,0.42739905897800634,0.02628988617229073,0.0667545787071923,0.07094467816763958,0.08094895771194999,0.15555555555555556,0.6677135309514796,0.5,True,True,True,True,True,False,False,False,0,False,False
yuquan_songzishuo,yuquan,static_shuffle,20260726.0,90.0,38.0,0.1342105263157894,0.1294511675007446,0.1858130734941471,0.4293539791213449,-1.3555555555555578,-1.3555555555555578,0.1342105263157894,0.1375527123084066,0.1999027818980722,0.31055020280607,-1.3555555555555578,-1.3555555555555578,0.0387301587301587,0.0613197181378029,0.0304093567251462,0.0631705002203831,0.0,0.43333333333333335,0.030270792152461853,0.5293795820111611,0.47062041798883897,0.027085548918466748,0.11804849332107223,0.05875668153379988,0.03618241441068537,0.13333333333333336,0.622946987650215,0.4777777777777778,True,True,True,True,True,False,False,False,0,False,False
yuquan_sunyuanxin,yuquan,constant_stop,20260726.0,257.0,12.0,0.1527237354085603,0.1311099730093151,0.2319297102687412,0.2986721729863488,-1.3891050583657591,-1.3891050583657591,0.1527237354085603,0.1707441259639494,0.2692143753337281,0.0357106407094022,-1.3891050583657591,-1.3891050583657591,0.2110894941634241,0.2266875394328535,0.0577172503242542,,0.1206225680933852,0.3190661478599222,0.07369492160758673,0.5419580419580419,0.45804195804195813,0.05699591569692489,0.36361401121490783,,,,,,False,True,False,False,False,True,False,False,1,False,False
