z,alpha_G,w_ee_mult,ratio,rE_khz,rI_khz,rE_hz,rI_hz,residual_inf,stability,branch_class,leading_real_per_ms,leading_imag_per_ms,leading_frequency_hz,S_G,divisor,lut_clip_at_root,jacobian_dimension
0.89,4.0,1.1,1.0,0.00111884199760017,0.006036242538963975,1.11884199760017,6.0362425389639744,2.970193535567489e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.89,4.0,1.1,1.0,0.00451171044450264,0.009877281643845189,4.51171044450264,9.877281643845189,7.245955571666407e-12,unstable,low_root,0.06914960998892546,0.0,0.0,0.0,1.0,False,9
0.89,4.0,1.1,1.0,0.005935572530858186,0.01148260599559248,5.9355725308581855,11.482605995592479,2.4738891490905246e-14,unstable,finite_high_root,0.06203653508723429,0.0,0.0,0.003875129224620793,1.0155005168984832,False,9
0.88,4.0,1.1,1.0,0.0014332769641995505,0.0063909039177260105,1.4332769641995506,6.3909039177260105,4.3452069199700905e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.88,4.0,1.1,1.0,0.003016755481674079,0.008186141061157807,3.016755481674079,8.186141061157807,2.3859386688585005e-14,unstable,low_root,0.018377249190907833,0.0,0.0,0.0,1.0,False,9
0.88,4.0,1.1,1.0,0.006378518192535979,0.011980493268233038,6.378518192535979,11.980493268233039,7.971488052982423e-14,unstable,finite_high_root,0.04417972736779981,0.0,0.0,0.008375098240247104,1.0335003929609885,False,9
0.87,4.0,1.1,1.0,0.006690557423745548,0.012330527880730281,6.690557423745548,12.330527880730282,5.72092807155089e-12,unstable,finite_high_root,0.03844206877998138,0.018063317319307534,2.874866240005238,0.01254283193309855,1.0501713277323943,False,9
0.86,4.0,1.1,1.0,0.006947977558521933,0.012619665104266542,6.9479775585219326,12.619665104266542,2.0383000842727483e-16,unstable,finite_high_root,0.03691238487354108,0.02641511018878211,4.204095358861761,0.016585252858731036,1.066341011434924,False,9
0.85,4.0,1.1,1.0,0.007174312421884241,0.012874337380288625,7.174312421884241,12.874337380288624,4.205229914289177e-14,unstable,finite_high_root,0.035604318700781366,0.030374321370328302,4.834223389149542,0.02057930260800338,1.0823172104320136,False,9
0.84,4.0,1.1,1.0,0.007383571638600722,0.013109540345697878,7.383571638600722,13.109540345697878,1.3213735661210535e-12,unstable,finite_high_root,0.05137132835592798,0.018021575352064792,2.868222799584176,0.024628831876081482,1.098515327504326,False,9
0.83,4.0,1.1,1.0,0.007586277562027091,0.01333715321591387,7.5862775620270915,13.337153215913869,8.695899902932958e-13,unstable,finite_high_root,0.04953268085940161,0.025374962388864487,4.038550694958712,0.028869892350222887,1.1154795694008914,False,9
0.82,4.0,1.1,1.0,0.007777514405914633,0.013551693453224252,7.777514405914633,13.551693453224251,4.623541133286224e-13,unstable,finite_high_root,0.04760550222786038,0.030538476999966098,4.860349569042759,0.03315041999965078,1.1326016799986032,False,9
0.81,4.0,1.1,1.0,0.007960077125155124,0.013756333174535718,7.960077125155124,13.756333174535719,2.625608064299456e-13,unstable,finite_high_root,0.04560456466240982,0.03454676637914926,5.498288637082504,0.03748280073678517,1.1499312029471407,False,9
