id,topology,noise,mode,centroid_order,n,denominator,fraction
t2711_n847401,2711.0,847401.0,ALL,SCL8>SCL7>SCL9>SCL6,12,131,0.0916030534351145
t2711_n847401,2711.0,847401.0,ALL,SCL8>SCL7>SCL6>SCL9,4,131,0.030534351145038167
t2711_n847401,2711.0,847401.0,ALL,SCL8>SCL6>SCL9>SCL7,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL8>SCL6>SCL7>SCL9,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL7>SCL9>SCL8>SCL6,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL7>SCL9>SCL6>SCL8,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL7>SCL8>SCL9>SCL6,1,131,0.007633587786259542
t2711_n847401,2711.0,847401.0,ALL,SCL7>SCL8>SCL6>SCL9,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL7>SCL6>SCL9>SCL8,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL7>SCL6>SCL8>SCL9,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL6>SCL9>SCL8>SCL7,1,131,0.007633587786259542
t2711_n847401,2711.0,847401.0,ALL,SCL6>SCL9>SCL7>SCL8,2,131,0.015267175572519083
t2711_n847401,2711.0,847401.0,ALL,SCL6>SCL8>SCL9>SCL7,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL6>SCL8>SCL7>SCL9,1,131,0.007633587786259542
t2711_n847401,2711.0,847401.0,ALL,SCL6>SCL7>SCL9>SCL8,2,131,0.015267175572519083
t2711_n847401,2711.0,847401.0,ALL,SCL6>SCL7>SCL8>SCL9,43,131,0.3282442748091603
t2711_n847401,2711.0,847401.0,TA,SCL9>SCL8>SCL7>SCL6,51,69,0.7391304347826086
t2711_n847401,2711.0,847401.0,TA,SCL9>SCL8>SCL6>SCL7,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL9>SCL7>SCL8>SCL6,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL9>SCL7>SCL6>SCL8,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL9>SCL6>SCL8>SCL7,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL9>SCL6>SCL7>SCL8,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL8>SCL9>SCL7>SCL6,4,69,0.057971014492753624
t2711_n847401,2711.0,847401.0,TA,SCL8>SCL9>SCL6>SCL7,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL8>SCL7>SCL9>SCL6,11,69,0.15942028985507245
t2711_n847401,2711.0,847401.0,TA,SCL8>SCL7>SCL6>SCL9,1,69,0.014492753623188406
t2711_n847401,2711.0,847401.0,TA,SCL8>SCL6>SCL9>SCL7,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL8>SCL6>SCL7>SCL9,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL7>SCL9>SCL8>SCL6,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL7>SCL9>SCL6>SCL8,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL7>SCL8>SCL9>SCL6,1,69,0.014492753623188406
t2711_n847401,2711.0,847401.0,TA,SCL7>SCL8>SCL6>SCL9,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL7>SCL6>SCL9>SCL8,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL7>SCL6>SCL8>SCL9,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL6>SCL9>SCL8>SCL7,1,69,0.014492753623188406
t2711_n847401,2711.0,847401.0,TA,SCL6>SCL9>SCL7>SCL8,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL6>SCL8>SCL9>SCL7,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL6>SCL8>SCL7>SCL9,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL6>SCL7>SCL9>SCL8,0,69,0.0
t2711_n847401,2711.0,847401.0,TA,SCL6>SCL7>SCL8>SCL9,0,69,0.0
t2711_n847401,2711.0,847401.0,TB,SCL9>SCL8>SCL7>SCL6,8,62,0.12903225806451613
t2711_n847401,2711.0,847401.0,TB,SCL9>SCL8>SCL6>SCL7,1,62,0.016129032258064516
t2711_n847401,2711.0,847401.0,TB,SCL9>SCL7>SCL8>SCL6,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL9>SCL7>SCL6>SCL8,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL9>SCL6>SCL8>SCL7,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL9>SCL6>SCL7>SCL8,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL8>SCL9>SCL7>SCL6,1,62,0.016129032258064516
t2711_n847401,2711.0,847401.0,TB,SCL8>SCL9>SCL6>SCL7,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL8>SCL7>SCL9>SCL6,1,62,0.016129032258064516
t2711_n847401,2711.0,847401.0,TB,SCL8>SCL7>SCL6>SCL9,3,62,0.04838709677419355
t2711_n847401,2711.0,847401.0,TB,SCL8>SCL6>SCL9>SCL7,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL8>SCL6>SCL7>SCL9,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL7>SCL9>SCL8>SCL6,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL7>SCL9>SCL6>SCL8,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL7>SCL8>SCL9>SCL6,0,62,0.0
t2711_n847401,2711.0,847401.0,TB,SCL7>SCL8>SCL6>SCL9,0,62,0.0
