id,topology,noise,mode,scope,earlier_test,later_test,p_i_before_j,n,mean,median,variance,q05,q95
t2511_n847401,2511.0,847401.0,ALL,complete4,SCL8,SCL6,0.2727272727272727,66,-5.754040809656596,-12.917660471256568,98.08341700954608,-13.904605573312665,10.40158764262651
t2511_n847401,2511.0,847401.0,ALL,pairwise_coparticipating,SCL7,SCL6,0.4090909090909091,88,-2.6069996433768923,-8.251588650914073,73.54233636231983,-13.140142622662097,8.192476723129834
t2511_n847401,2511.0,847401.0,ALL,complete4,SCL7,SCL6,0.22727272727272727,66,-5.801394558032729,-8.376311147007755,53.41396750872699,-14.143740378470284,7.199557170743901
t2511_n847401,2511.0,847401.0,TA,pairwise_coparticipating,SCL9,SCL8,0.9512195121951219,41,5.8099782347588675,5.864670008479152,10.534826211581331,1.6784377549283818,10.61603175833443
t2511_n847401,2511.0,847401.0,TA,complete4,SCL9,SCL8,0.9230769230769231,26,4.879393595910782,4.857648176536713,9.158653230565832,-0.26923747238970464,8.821635953334408
t2511_n847401,2511.0,847401.0,TA,pairwise_coparticipating,SCL9,SCL7,0.8333333333333334,30,9.625299422847108,11.12300570229445,42.792390499289176,-2.0890780210582305,17.097575091265387
t2511_n847401,2511.0,847401.0,TA,complete4,SCL9,SCL7,0.9230769230769231,26,10.857432454875047,11.777807858741653,29.73574116898486,1.2692245590446873,17.149040449383392
t2511_n847401,2511.0,847401.0,TA,pairwise_coparticipating,SCL9,SCL6,0.84375,64,5.082275173404433,3.9499263684197103,26.04195694578794,-1.5534671089240417,13.79176859282188
t2511_n847401,2511.0,847401.0,TA,complete4,SCL9,SCL6,0.9230769230769231,26,8.01035378137859,5.8060159737069625,40.06667791699257,-0.30054552430556214,19.809652410594936
t2511_n847401,2511.0,847401.0,TA,pairwise_coparticipating,SCL8,SCL7,1.0,32,5.509428489631077,5.12997337268007,8.127204234532098,1.6202437334202842,9.598594417188906
t2511_n847401,2511.0,847401.0,TA,complete4,SCL8,SCL7,1.0,26,5.978038858964265,6.308784277429368,8.325132508680454,1.4031911094880343,9.660860855971805
t2511_n847401,2511.0,847401.0,TA,pairwise_coparticipating,SCL8,SCL6,0.5333333333333333,45,1.3062508149576286,1.4424882455678016,72.06667560185795,-11.123916018946328,13.209247445948124
t2511_n847401,2511.0,847401.0,TA,complete4,SCL8,SCL6,0.5769230769230769,26,3.130960185467809,4.266824132688271,65.36241789057448,-8.983017778366047,14.44169253990708
t2511_n847401,2511.0,847401.0,TA,pairwise_coparticipating,SCL7,SCL6,0.717391304347826,46,1.735878499506577,7.085987498498071,87.56267519958315,-15.550219197249135,8.560601784620303
t2511_n847401,2511.0,847401.0,TA,complete4,SCL7,SCL6,0.5,26,-2.8470786734964557,-2.661792030896322,107.2467006190056,-16.81643637385605,9.273298895256858
t2511_n847401,2511.0,847401.0,TB,pairwise_coparticipating,SCL9,SCL8,0.23255813953488372,43,-4.721692472768541,-8.180609069164348,45.04888909170277,-8.29353589985185,10.047063090821757
t2511_n847401,2511.0,847401.0,TB,complete4,SCL9,SCL8,0.175,40,-5.752034363448485,-8.186721169329758,32.50886259837692,-8.306984333358708,7.851880333816001
t2511_n847401,2511.0,847401.0,TB,pairwise_coparticipating,SCL9,SCL7,0.15,40,-9.559625936954637,-13.281801944476683,75.8011054058676,-13.67411343997544,12.371737193589704
t2511_n847401,2511.0,847401.0,TB,complete4,SCL9,SCL7,0.15,40,-9.559625936954637,-13.281801944476683,75.8011054058676,-13.67411343997544,12.371737193589704
