subject,dataset,mode,condition,objective,seed,cycles,updates_per_patient,offset_cycles,hidden_size,learning_rate,optimizer,weight_decay,n_contacts,n_train_events,n_eval_events,n_parameters,rollout_condition,likelihood_n_events,likelihood_n_decisions,likelihood_n_nonterminal_decisions,likelihood_event_total_nll,likelihood_contact_choice_nll,likelihood_stop_contribution_nll,whole_participation_mae,whole_rank_wasserstein,whole_precedence_mae,whole_precedence_correlation,whole_participant_count_mean_error,whole_event_length_mean_error,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,transition_mae,transition_correlation,event_length_wasserstein,stop_hazard_mae,generated_zero_suffix_fraction,uniforms_sha256
epilepsiae_384,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,9,17196,4299,5870,none,4299,29205,24906,1.6609998941421509,1.6577948331832886,0.2517551481723785,,,,,,,,,,,,,,,,,,
epilepsiae_384,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,9,17196,4299,5870,full_constructive,4299,29205,24906,1.6609998941421509,1.6577948331832886,0.2517551481723785,0.1882866816572329,0.1126818400515402,0.1577727433108379,0.5441272467069299,0.0500116306117703,0.0500116306117703,0.1882866816572329,0.1412896726967041,0.1951822630238537,0.6127824989157148,0.0500116306117703,0.0500116306117703,0.0553455892429118,0.504025327905925,0.0055568478457522,0.0175041508713315,0.0,d313e46e83ec314197967552195f5bd166adef365b950032a2af03aba160a5ce
epilepsiae_384,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,9,17196,4299,5870,static_only,4299,29205,24906,1.6609998941421509,1.6577948331832886,0.2517551481723785,0.1656974490191517,0.109275954275934,0.1471678851947896,0.5894143193284699,0.0500116306117703,0.0500116306117703,0.1656974490191517,0.1514494132696066,0.210847644537602,0.4639963345257231,0.0500116306117703,0.0500116306117703,0.0528034969142283,0.7658116565684158,0.0055568478457522,0.0175041508713315,0.0,d313e46e83ec314197967552195f5bd166adef365b950032a2af03aba160a5ce
epilepsiae_384,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,9,17196,4299,5870,native_model,4299,29205,24906,1.6609998941421509,1.6577948331832886,0.2517551481723785,0.1233878679796334,0.12222987051727,0.1794193844267445,0.3428302717771075,-0.6061874854617351,-0.6061874854617351,0.1233878679796335,0.1711708121854461,0.2412244365888653,0.164947598340238,-0.6061874854617351,-0.6061874854617351,0.0446600363727827,0.7289616065336226,0.075521439094363,0.0839791877185261,0.0097697138869504,d313e46e83ec314197967552195f5bd166adef365b950032a2af03aba160a5ce
epilepsiae_442,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,15,2133,534,5870,none,534,5766,5232,2.1631019115448,2.150536298751831,0.2189939171075821,,,,,,,,,,,,,,,,,,
epilepsiae_442,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,15,2133,534,5870,full_constructive,534,5766,5232,2.1631019115448,2.150536298751831,0.2189939171075821,0.0883895131086142,0.0584453494129142,0.1137952329897478,0.5260925909060085,1.026217228464418,1.026217228464418,0.0883895131086142,0.0714435682876282,0.1343890944885116,0.4239734191051995,1.026217228464418,1.026217228464418,0.0333369860920354,0.5435397458501372,0.0699126092384519,0.0546376375027401,0.0,ae6fc16c2e16593c8150fb52598b9a97ce8847f1fa6005cb668f3556d0adc465
epilepsiae_442,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,15,2133,534,5870,static_only,534,5766,5232,2.1631019115448,2.150536298751831,0.2189939171075821,0.1023720349563046,0.0697710869307622,0.1226059199173597,0.4227578625249055,1.026217228464418,1.026217228464418,0.1023720349563046,0.0850837065349835,0.1465451827547375,0.180410645990996,1.026217228464418,1.026217228464418,0.0369732377072372,0.3303531649963676,0.0699126092384519,0.0546376375027401,0.0,ae6fc16c2e16593c8150fb52598b9a97ce8847f1fa6005cb668f3556d0adc465
epilepsiae_442,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,15,2133,534,5870,native_model,534,5766,5232,2.1631019115448,2.150536298751831,0.2189939171075821,0.1203495630461922,0.0583560414254542,0.1080058399425846,0.5966722476058312,-1.7940074906367052,-1.7940074906367052,0.1203495630461922,0.0666212086665207,0.1227282831327967,0.5504639889451476,-1.7940074906367052,-1.7940074906367052,0.0344828690955558,0.5373900548809033,0.1196004993757802,0.1009482837076433,0.0,ae6fc16c2e16593c8150fb52598b9a97ce8847f1fa6005cb668f3556d0adc465
epilepsiae_548,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,12,5585,1397,5870,none,1397,12024,10627,1.9910032749176023,1.990502119064331,0.2426900863647461,,,,,,,,,,,,,,,,,,
epilepsiae_548,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,12,5585,1397,5870,full_constructive,1397,12024,10627,1.9910032749176023,1.990502119064331,0.2426900863647461,0.085063230732522,0.0852206818231905,0.1597932878114609,0.7453468786110823,0.3249821045096634,0.3249821045096634,0.085063230732522,0.109742593897339,0.2084457332476829,0.2388023100377948,0.3249821045096634,0.3249821045096634,0.0389438714179299,0.6607106952463606,0.0270818420424719,0.0289181878380107,0.0,65285ff5148feb75642a63c2573d576c124c80a6ba88d01e5c8379a64f1c915e
epilepsiae_548,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,12,5585,1397,5870,static_only,1397,12024,10627,1.9910032749176023,1.990502119064331,0.2426900863647461,0.0470054879503698,0.0967512471259011,0.1728166355224248,0.6406568695865656,0.3249821045096634,0.3249821045096634,0.0470054879503698,0.1209670469279273,0.2147451470487029,-0.1341401147987704,0.3249821045096634,0.3249821045096634,0.0486007206925281,0.2050550981775056,0.0270818420424719,0.0289181878380107,0.0,65285ff5148feb75642a63c2573d576c124c80a6ba88d01e5c8379a64f1c915e
epilepsiae_548,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,12,5585,1397,5870,native_model,1397,12024,10627,1.9910032749176023,1.990502119064331,0.2426900863647461,0.1048675733715103,0.0800398308030315,0.1393179281323455,0.84715536997266,-1.181102362204724,-1.181102362204724,0.1048675733715103,0.0963703746062956,0.1704991151329438,0.7684816100774179,-1.181102362204724,-1.181102362204724,0.038619505185731,0.6204389762315041,0.0984251968503937,0.1012810122110925,0.0050107372942018,65285ff5148feb75642a63c2573d576c124c80a6ba88d01e5c8379a64f1c915e
epilepsiae_583,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,7,6262,1566,5870,none,1566,8685,7119,1.4986140727996826,1.5516711473464966,0.2335462272167205,,,,,,,,,,,,,,,,,,
epilepsiae_583,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,7,6262,1566,5870,full_constructive,1566,8685,7119,1.4986140727996826,1.5516711473464966,0.2335462272167205,0.0554643313264003,0.0874880053356155,0.1462345887923461,0.6298794998352865,0.0945083014048524,0.0945083014048524,0.0554643313264003,0.1583461300278639,0.2265450344231767,-0.2643133356625132,0.0945083014048533,0.0945083014048533,0.0670871319122879,0.6767294310274252,0.0145958766648421,0.030229448689275,0.0,e5a5f5b77494c3defdc7f630ce52e40f5cdd69d4dae91bf87e14a65f7a9e66fb
epilepsiae_583,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,7,6262,1566,5870,static_only,1566,8685,7119,1.4986140727996826,1.5516711473464966,0.2335462272167205,0.0859332238642583,0.0879518603373867,0.1449384376239806,0.6890930497457912,0.0945083014048524,0.0945083014048524,0.0859332238642583,0.1362333665781433,0.1928193399184654,-0.1923924200349489,0.0945083014048533,0.0945083014048533,0.0706516827862307,0.6154318460908719,0.0145958766648421,0.030229448689275,0.0,e5a5f5b77494c3defdc7f630ce52e40f5cdd69d4dae91bf87e14a65f7a9e66fb
epilepsiae_583,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,7,6262,1566,5870,native_model,1566,8685,7119,1.4986140727996826,1.5516711473464966,0.2335462272167205,0.09861339171684,0.0737761497713362,0.120085952534345,0.8021565814830321,-0.3097062579821203,-0.3097062579821203,0.0986133917168399,0.1223760082057127,0.1715705102601714,0.2739637618493902,-0.3097062579821199,-0.3097062579821199,0.0669154949660365,0.647462136717151,0.0630359423462871,0.0796121060507082,0.0159642401021711,e5a5f5b77494c3defdc7f630ce52e40f5cdd69d4dae91bf87e14a65f7a9e66fb
epilepsiae_590,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,16,3985,997,5870,none,997,10105,9108,2.410215377807617,2.426143884658813,0.2280862033367157,,,,,,,,,,,,,,,,,,
