subject,seed_left,seed_right,lag,contact_kernel_cosine,stop_kernel_cosine
epilepsiae_442,20260725,20260727,4,0.5863650965049859,0.574623074020008
epilepsiae_442,20260725,20260727,5,0.5613946873191739,0.5473703317849308
epilepsiae_442,20260726,20260727,0,0.5923400596733531,0.9818971034072767
epilepsiae_442,20260726,20260727,1,0.5669035802973298,0.9900573292955499
epilepsiae_442,20260726,20260727,2,0.5399174345873357,0.9933844145407565
epilepsiae_442,20260726,20260727,3,0.5116804867027183,0.993336704695867
epilepsiae_442,20260726,20260727,4,0.48264621492064047,0.9909975608227565
epilepsiae_442,20260726,20260727,5,0.45344198908933264,0.9871419085933033
epilepsiae_548,20260725,20260726,0,0.7299906011122155,0.5975722961904325
epilepsiae_548,20260725,20260726,1,0.718859753806761,0.6038873686138697
epilepsiae_548,20260725,20260726,2,0.7077186527101297,0.6100583038947904
epilepsiae_548,20260725,20260726,3,0.696680477428782,0.6160952207693515
epilepsiae_548,20260725,20260726,4,0.685876512155802,0.62200592771937
epilepsiae_548,20260725,20260726,5,0.6754554259171864,0.6277965598695217
epilepsiae_548,20260725,20260727,0,0.711026638161912,0.5944995856118794
epilepsiae_548,20260725,20260727,1,0.6974257845219752,0.5725717262244916
epilepsiae_548,20260725,20260727,2,0.6827540602539018,0.5517856407502292
epilepsiae_548,20260725,20260727,3,0.6670174723759211,0.5321599162427665
epilepsiae_548,20260725,20260727,4,0.6502540014172715,0.5136867718406105
epilepsiae_548,20260725,20260727,5,0.6325383697763488,0.4963388351162915
epilepsiae_548,20260726,20260727,0,0.4583745853983342,0.9918492074260717
epilepsiae_548,20260726,20260727,1,0.42642736470171755,0.9912164590650089
epilepsiae_548,20260726,20260727,2,0.39234914989766173,0.9893643731723217
epilepsiae_548,20260726,20260727,3,0.356270672742373,0.9865197013838546
epilepsiae_548,20260726,20260727,4,0.31841174323706417,0.9828764739935866
epilepsiae_548,20260726,20260727,5,0.27909373565443873,0.9785986146541911
epilepsiae_583,20260725,20260726,0,0.8786786848347532,0.7901356015063343
epilepsiae_583,20260725,20260726,1,0.8723859669481001,0.7976135662748821
epilepsiae_583,20260725,20260726,2,0.8655590038827393,0.8045374750458
epilepsiae_583,20260725,20260726,3,0.8581678362606838,0.8109474866341694
epilepsiae_583,20260725,20260726,4,0.8501882661879552,0.8168796293015561
epilepsiae_583,20260725,20260726,5,0.8416047920752462,0.8223667255465715
epilepsiae_583,20260725,20260727,0,0.7180215286174866,0.7341039123444546
epilepsiae_583,20260725,20260727,1,0.7092219263714552,0.7367043425759106
epilepsiae_583,20260725,20260727,2,0.7001326311471785,0.7388487162534967
epilepsiae_583,20260725,20260727,3,0.6908068636581882,0.7405894004389291
epilepsiae_583,20260725,20260727,4,0.6813136301766862,0.7419716872029775
epilepsiae_583,20260725,20260727,5,0.6717388223621111,0.7430348805551134
epilepsiae_583,20260726,20260727,0,0.7419103352211198,0.9855778014904509
epilepsiae_583,20260726,20260727,1,0.7320857210550816,0.9861979127562209
epilepsiae_583,20260726,20260727,2,0.7217241229461984,0.9864603771846933
epilepsiae_583,20260726,20260727,3,0.7108602082154061,0.986425537929443
epilepsiae_583,20260726,20260727,4,0.6995474130558041,0.9861443959410262
epilepsiae_583,20260726,20260727,5,0.687860850328544,0.9856600599664462
epilepsiae_590,20260725,20260726,0,0.7369492310981405,0.7773556312835574
epilepsiae_590,20260725,20260726,1,0.7261525743517026,0.7805887330904561
epilepsiae_590,20260725,20260726,2,0.7149492044541244,0.7837593204279466
epilepsiae_590,20260725,20260726,3,0.7033659485578933,0.7868698071112172
epilepsiae_590,20260725,20260726,4,0.6914393246732804,0.7899220363448951
epilepsiae_590,20260725,20260726,5,0.6792167519224372,0.792917706543895
epilepsiae_590,20260725,20260727,0,0.4783680928022098,0.7741036448541192
epilepsiae_590,20260725,20260727,1,0.4615211960803435,0.7671180323973729
epilepsiae_590,20260725,20260727,2,0.44439329981295334,0.7604253678039784
epilepsiae_590,20260725,20260727,3,0.42709483840824364,0.754036007263504
