comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
history3_minus_history2,event_terminal_stop_nll,yuquan,16,0.07617208361625671,0.10989308728735302,16,3.0517578125e-05,3.0517578125e-05,0.03239023685455322,0.11817121505737305
history3_minus_history2,event_total_nll,all,34,0.011492013931274636,0.016579471508476797,28,0.00019512558355927467,2.205371856689453e-06,0.006746292114257368,0.02040684223175049
history3_minus_history2,event_total_nll,epilepsiae,18,0.011224746704101785,0.016193886405242382,14,0.0308837890625,0.0028076171875,0.005312502384185791,0.025978028774261364
history3_minus_history2,event_total_nll,yuquan,16,0.011492013931274636,0.016579471508476797,14,0.004180908203125,0.00030517578125,0.006746292114257368,0.018959999084472656
history3_minus_rank_shuffle,event_contact_choice_nll,all,34,0.029544711112976296,0.04262400820718795,30,6.16488978266716e-06,0.00019341206643730402,0.021105170249938743,0.04489624500274658
history3_minus_rank_shuffle,event_contact_choice_nll,epilepsiae,18,0.0337584614753722,0.0487031649585606,14,0.0308837890625,0.06653594970703125,0.014610826969146729,0.050033509731292725
history3_minus_rank_shuffle,event_contact_choice_nll,yuquan,16,0.029544711112976296,0.04262400820718795,16,3.0517578125e-05,3.0517578125e-05,0.019560813903808594,0.04860115051269531
history3_minus_rank_shuffle,event_contact_contribution_nll,all,34,0.026640892028808816,0.03843468281482079,30,6.16488978266716e-06,0.0001502245431765914,0.01818752288818315,0.037840425968170166
history3_minus_rank_shuffle,event_contact_contribution_nll,epilepsiae,18,0.029547572135925515,0.04262813579080866,14,0.0308837890625,0.0736846923828125,0.012710213661193737,0.041993021965026966
history3_minus_rank_shuffle,event_contact_contribution_nll,yuquan,16,0.026640892028808816,0.03843468281482079,16,3.0517578125e-05,3.0517578125e-05,0.01796698570251465,0.04223322868347168
history3_minus_rank_shuffle,event_continue_nll,all,34,-0.005545986816287096,-0.008001167676692964,14,0.39152830513194203,0.07811522763222456,-0.01185030909255145,0.0022654235363006037
history3_minus_rank_shuffle,event_continue_nll,epilepsiae,18,-0.006204435601830496,-0.008951108474275788,8,0.8145294189453125,0.15404510498046875,-0.0201709829270839,0.004645045846700703
history3_minus_rank_shuffle,event_continue_nll,yuquan,16,-0.004695363342762049,-0.006773977409774634,6,0.454498291015625,0.348388671875,-0.013170754536986348,0.0028291512280702
history3_minus_rank_shuffle,event_stop_contribution_nll,all,34,-0.0030823200941085954,-0.004446847914202873,11,0.05761267291381955,0.001916260807774961,-0.011040002107620184,-0.0012237131595612127
history3_minus_rank_shuffle,event_stop_contribution_nll,epilepsiae,18,-0.006703771650791196,-0.009671498115848479,4,0.0308837890625,0.0047454833984375,-0.016178324818611145,-0.0014926195144653043
history3_minus_rank_shuffle,event_stop_contribution_nll,yuquan,16,-0.0013690963387489596,-0.0019751884984123605,7,0.803619384765625,0.19281005859375,-0.011040002107620184,0.0017033666372299056
history3_minus_rank_shuffle,event_terminal_stop_nll,all,34,-0.038643479347229004,-0.05575075601694236,15,0.6075913612730801,0.2415325870970264,-0.10073709487915039,0.03143453598022439
history3_minus_rank_shuffle,event_terminal_stop_nll,epilepsiae,18,-0.015460044145584106,-0.022304129020758644,9,1.0,0.4171142578125,-0.10577920079231251,0.04847195744514449
history3_minus_rank_shuffle,event_terminal_stop_nll,yuquan,16,-0.040286123752593994,-0.05812059095450643,6,0.454498291015625,0.40374755859375,-0.12527304887771618,0.04586935043334961
history3_minus_rank_shuffle,event_total_nll,all,34,0.024150192737579124,0.03484136329901806,26,0.0029350556433200836,0.00281744496896863,0.01175069808959961,0.03340303897857699
history3_minus_rank_shuffle,event_total_nll,epilepsiae,18,0.01304483413696289,0.018819717518615425,12,0.237884521484375,0.19638824462890625,-0.002923309803009033,0.0378209352493285
history3_minus_rank_shuffle,event_total_nll,yuquan,16,0.02909010648727428,0.04196815236812247,14,0.004180908203125,0.001007080078125,0.01798844337463379,0.03925171792507164
lag0_contribution,event_contact_choice_nll,all,34,0.03890752792358376,0.05613169758860316,30,6.16488978266716e-06,8.870847523212433e-08,0.028135657310485396,0.054003238677978516
lag0_contribution,event_contact_choice_nll,epilepsiae,18,0.05048191547393788,0.072830009108826,14,0.0308837890625,0.0005340576171875,0.023657560348510742,0.06721848249435414
lag0_contribution,event_contact_choice_nll,yuquan,16,0.03685849905014038,0.053175573794248095,16,3.0517578125e-05,3.0517578125e-05,0.024560093879699485,0.047423839569091575
lag0_contribution,event_contact_contribution_nll,all,34,0.036740660667419656,0.05300556894387053,30,6.16488978266716e-06,5.203764885663986e-08,0.023031711578369585,0.04715883731842041
lag0_contribution,event_contact_contribution_nll,epilepsiae,18,0.04420232772827137,0.06377047900932584,14,0.0308837890625,0.0005340576171875,0.01801079511642467,0.06008005142211914
lag0_contribution,event_contact_contribution_nll,yuquan,16,0.03334528207778931,0.04810707309067026,16,3.0517578125e-05,3.0517578125e-05,0.020716547966003418,0.042650461196899636
lag0_contribution,event_continue_nll,all,34,0.022120587527751902,0.03191326192783792,32,6.938353180885315e-08,5.203764885663986e-08,0.0126537531614304,0.025531269609928103
lag0_contribution,event_continue_nll,epilepsiae,18,0.010644588619470603,0.015356895213613338,16,0.001312255859375,0.00128936767578125,0.005053684115409837,0.023022346198558787
lag0_contribution,event_continue_nll,yuquan,16,0.025720508769154552,0.03710685045040037,16,3.0517578125e-05,3.0517578125e-05,0.017362616956233902,0.028509281575679696
lag0_contribution,event_stop_contribution_nll,all,34,0.0019382834434509139,0.002796351911703817,21,0.22948101302608848,0.12930773710832,-0.00045093894004816226,0.004707485437393244
lag0_contribution,event_stop_contribution_nll,epilepsiae,18,0.005502283573150635,0.007938117224549226,13,0.09625244140625,0.01203155517578125,0.0003443583846092779,0.011106006801128401
lag0_contribution,event_stop_contribution_nll,yuquan,16,0.0004891231656074455,0.0007056555654057728,8,1.0,0.596588134765625,-0.003940179944038391,0.002351701259613037
lag0_contribution,event_terminal_stop_nll,all,34,-0.12908321619033802,-0.18622771585979864,6,0.00019512558355927467,1.318054273724556e-06,-0.19705897569656372,-0.05710220336914085
lag0_contribution,event_terminal_stop_nll,epilepsiae,18,-0.03357240557670593,-0.04843474303622663,6,0.237884521484375,0.0599365234375,-0.07035186886787415,0.016624778509140015
lag0_contribution,event_terminal_stop_nll,yuquan,16,-0.22516041994094882,-0.32483782125328337,0,3.0517578125e-05,3.0517578125e-05,-0.3247481584548949,-0.18441641330718972
lag0_contribution,event_total_nll,all,34,0.034683287143707386,0.05003740636395459,31,7.660128176212311e-07,5.203764885663986e-08,0.024645805358886497,0.04581427574157715
lag0_contribution,event_total_nll,epilepsiae,18,0.04304623603820823,0.06210259126125879,15,0.007537841796875,0.00041961669921875,0.021970033645629883,0.06332385540008523
lag0_contribution,event_total_nll,yuquan,16,0.028816938400268666,0.041574054123670344,16,3.0517578125e-05,3.0517578125e-05,0.022357940673828125,0.04412484169006303
lag1_contribution,event_contact_choice_nll,all,34,0.00684267282485973,0.009871890150850807,24,0.024306510109454393,0.03742745553608984,0.0038576126098632812,0.01371145248413086
