subject,seed,condition,decision_contract_sha256,n_decisions
epilepsiae_548,20260725,lag1_removed,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,lag2_removed,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,lag3plus_removed,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,linear_state,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,linear_state_rank_shuffle,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,unordered_prefix,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_583,20260725,full_history,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,history_1,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,history_2,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,history_3,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,history_3_rank_shuffle,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,lag0_removed,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,lag1_removed,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,lag2_removed,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,lag3plus_removed,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,linear_state,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,linear_state_rank_shuffle,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_583,20260725,unordered_prefix,09b8c4b8216485afcf4c53daa210be41889b2893d3b363867323ed66a673011c,8685
epilepsiae_590,20260725,full_history,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,history_1,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
epilepsiae_590,20260725,history_2,e98b7a6337c54eb2e16e38de2ad6fef81c22b8e9bfb35b2fbc449b86606a256c,10105
