subject,dataset,tolerance_ms,condition,component,gain_nats,gain_bits
epilepsiae_1125,epilepsiae,2.0,linear_state,event_total_nll,-0.019061088562011497,-0.027499337942359328
epilepsiae_1125,epilepsiae,5.0,history_3,event_contact_choice_nll,0.003470897674560547,0.005007446862521536
epilepsiae_1125,epilepsiae,5.0,history_3,event_contact_contribution_nll,-0.0005908310413360596,-0.0008523890133387953
epilepsiae_1125,epilepsiae,5.0,history_3,event_stop_contribution_nll,-0.21477299928665167,-0.30985194098770125
epilepsiae_1125,epilepsiae,5.0,history_3,event_total_nll,-0.2230244278907776,-0.32175623611512305
epilepsiae_1125,epilepsiae,5.0,linear_state,event_contact_choice_nll,0.003674745559692383,0.005301537195496939
epilepsiae_1125,epilepsiae,5.0,linear_state,event_contact_contribution_nll,0.00420185923576355,0.006062001481949564
epilepsiae_1125,epilepsiae,5.0,linear_state,event_stop_contribution_nll,-0.12917634844779968,-0.18636207730578536
epilepsiae_1125,epilepsiae,5.0,linear_state,event_total_nll,-0.13796883821487438,-0.19904695868981098
epilepsiae_1125,epilepsiae,10.0,history_3,event_contact_choice_nll,-0.004975259304046631,-0.00717778192508475
epilepsiae_1125,epilepsiae,10.0,history_3,event_contact_contribution_nll,-0.0047927200794219416,-0.0069144334909509945
epilepsiae_1125,epilepsiae,10.0,history_3,event_stop_contribution_nll,-0.5239702761173248,-0.7559293189276854
epilepsiae_1125,epilepsiae,10.0,history_3,event_total_nll,-0.5287629961967468,-0.7628437524186364
epilepsiae_1125,epilepsiae,10.0,linear_state,event_contact_choice_nll,-0.013830602169036865,-0.019953341161777625
epilepsiae_1125,epilepsiae,10.0,linear_state,event_contact_contribution_nll,-0.007425993680953924,-0.010713444257185005
epilepsiae_1125,epilepsiae,10.0,linear_state,event_stop_contribution_nll,-0.4475018680095673,-0.6456087257659503
epilepsiae_1125,epilepsiae,10.0,linear_state,event_total_nll,-0.45492786169052124,-0.6563221700231352
epilepsiae_1146,epilepsiae,0.0,history_3,event_contact_choice_nll,0.03962373733520508,0.05716496935498724
epilepsiae_1146,epilepsiae,0.0,history_3,event_contact_contribution_nll,0.03635038435459137,0.052442519242776736
epilepsiae_1146,epilepsiae,0.0,history_3,event_stop_contribution_nll,0.0044374018907547,0.006401817702223115
epilepsiae_1146,epilepsiae,0.0,history_3,event_total_nll,0.09696435928344727,0.1398900002812051
epilepsiae_1146,epilepsiae,0.0,linear_state,event_contact_choice_nll,0.05623507499694824,0.08113006382211617
epilepsiae_1146,epilepsiae,0.0,linear_state,event_contact_contribution_nll,0.05166025459766388,0.07452999311911095
epilepsiae_1146,epilepsiae,0.0,linear_state,event_stop_contribution_nll,0.013558641076088007,0.019560984241665566
epilepsiae_1146,epilepsiae,0.0,linear_state,event_total_nll,0.10264062881469727,0.1480791261846886
epilepsiae_1146,epilepsiae,1.0,history_3,event_contact_choice_nll,0.03987193107605047,0.05752303723408456
epilepsiae_1146,epilepsiae,1.0,history_3,event_contact_contribution_nll,0.03573630750179291,0.05155659361251969
epilepsiae_1146,epilepsiae,1.0,history_3,event_stop_contribution_nll,0.0025138556957244873,0.003626727145732193
epilepsiae_1146,epilepsiae,1.0,history_3,event_total_nll,0.09190797805786133,0.1325951841622082
epilepsiae_1146,epilepsiae,1.0,linear_state,event_contact_choice_nll,0.053941488265991655,0.07782111761951638
epilepsiae_1146,epilepsiae,1.0,linear_state,event_contact_contribution_nll,0.04857917129993439,0.0700849295249108
epilepsiae_1146,epilepsiae,1.0,linear_state,event_stop_contribution_nll,0.012807041406631497,0.018476655125806877
epilepsiae_1146,epilepsiae,1.0,linear_state,event_total_nll,0.0978158712387085,0.14111847235631814
epilepsiae_1146,epilepsiae,2.0,history_3,event_contact_choice_nll,0.039332151412963645,0.05674429979097649
epilepsiae_1146,epilepsiae,2.0,history_3,event_contact_contribution_nll,0.034365236759186235,0.049578556651453096
epilepsiae_1146,epilepsiae,2.0,history_3,event_stop_contribution_nll,0.0004402846097946167,0.0006351964231304259
epilepsiae_1146,epilepsiae,2.0,history_3,event_total_nll,0.08235025405883789,0.11880630314663165
epilepsiae_1146,epilepsiae,2.0,linear_state,event_contact_choice_nll,0.05077493190765359,0.07325274246464662
epilepsiae_1146,epilepsiae,2.0,linear_state,event_contact_contribution_nll,0.0447221100330355,0.06452036636275088
epilepsiae_1146,epilepsiae,2.0,linear_state,event_stop_contribution_nll,0.010271191596984919,0.014818197180990535
epilepsiae_1146,epilepsiae,2.0,linear_state,event_total_nll,0.08743178844451927,0.12613740760496092
epilepsiae_1146,epilepsiae,5.0,history_3,event_contact_choice_nll,0.03292202949523926,0.04749644868878186
epilepsiae_1146,epilepsiae,5.0,history_3,event_contact_contribution_nll,0.02608218789100647,0.037628643125889205
epilepsiae_1146,epilepsiae,5.0,history_3,event_stop_contribution_nll,-0.0477707982063294,-0.06891869367157882
epilepsiae_1146,epilepsiae,5.0,history_3,event_total_nll,0.0025606155395507812,0.0036941873405331297
epilepsiae_1146,epilepsiae,5.0,linear_state,event_contact_choice_nll,0.039172053337096946,0.05651332709086774
epilepsiae_1146,epilepsiae,5.0,linear_state,event_contact_contribution_nll,0.03175610303878784,0.045814372372018165
epilepsiae_1146,epilepsiae,5.0,linear_state,event_stop_contribution_nll,-0.02559632062911993,-0.036927684836635194
epilepsiae_1146,epilepsiae,5.0,linear_state,event_total_nll,-0.018294215202331543,-0.0263929735493592
epilepsiae_1146,epilepsiae,10.0,history_3,event_contact_choice_nll,0.01595914363861084,0.023024177384258507
epilepsiae_1146,epilepsiae,10.0,history_3,event_contact_contribution_nll,0.01302829384803772,0.01879585492580821
epilepsiae_1146,epilepsiae,10.0,history_3,event_stop_contribution_nll,-0.34009754657745367,-0.4906570438657957
epilepsiae_1146,epilepsiae,10.0,history_3,event_total_nll,-0.3665306568145752,-0.5287919609201622
epilepsiae_1146,epilepsiae,10.0,linear_state,event_contact_choice_nll,0.004589557647705078,0.006621332058218132
epilepsiae_1146,epilepsiae,10.0,linear_state,event_contact_contribution_nll,0.004816681146621926,0.006949002003774819
epilepsiae_1146,epilepsiae,10.0,linear_state,event_stop_contribution_nll,-0.3032856285572052,-0.43754867229237215
epilepsiae_1146,epilepsiae,10.0,linear_state,event_total_nll,-0.2984689474105833,-0.4305996702885973
epilepsiae_1150,epilepsiae,0.0,history_3,event_contact_choice_nll,0.036977410316467285,0.05334712648848375
epilepsiae_1150,epilepsiae,0.0,history_3,event_contact_contribution_nll,0.03131112456321716,0.04517240413201001
epilepsiae_1150,epilepsiae,0.0,history_3,event_stop_contribution_nll,-0.015284508466720609,-0.022050884567363198
epilepsiae_1150,epilepsiae,0.0,history_3,event_total_nll,0.016026616096496582,0.023121519564646857
epilepsiae_1150,epilepsiae,0.0,linear_state,event_contact_choice_nll,0.019180655479431374,0.027671836541175367
epilepsiae_1150,epilepsiae,0.0,linear_state,event_contact_contribution_nll,0.016497358679771423,0.02380065755507273
epilepsiae_1150,epilepsiae,0.0,linear_state,event_stop_contribution_nll,0.010485216975212097,0.01512697053278327
epilepsiae_1150,epilepsiae,0.0,linear_state,event_total_nll,0.018344521522521973,0.026465550228023306
epilepsiae_1150,epilepsiae,1.0,history_3,event_contact_choice_nll,0.03563666343688965,0.05141283761422974
epilepsiae_1150,epilepsiae,1.0,history_3,event_contact_contribution_nll,0.030020833015441895,0.04331090691473369
