absolute_detector_margin,absolute_detector_threshold_mean_plus_5sd,available_neurons_in_fixed_radius,baseline_lfp_mean,baseline_lfp_sd,baseline_window_ms,contact_index,contact_name,forced_spike_collision_count,integrated_positive_lfp_excess,lfp_kernel,lfp_peak_snr,local_neuron_count,local_positive_spike_excess_per_cell,local_signed_spike_excess_per_cell,packet_max_distance_mm,packet_n_E,packet_positive_respike_excess_per_cell,packet_radius_mm,packet_signed_respike_excess_per_cell,peak_lfp_excess,peak_lfp_excess_per_packet_cell,pretrigger_lfp_bit_identical,pretrigger_spikes_bit_identical,response_window_ms,seed,shaft_id,sheet_xy_mm
1437.3097978431504,18.045950721456403,268,13.577967419391165,0.8935966604130479,"[20.0, 90.0]",5,ICL9,0,37810.10268597883,"{'neuron_count': 19, 'raw_kernel_mass': 27.711720080574747, 'normalized_weight_ess': 13.565199838077945, 'nearest_distance_mm': 0.0738468336711266}",1613.5690687615056,268,4.992537313432836,4.9888059701492535,0.7535889246845451,160,5.06875,1.0,5.0625,1441.879931191073,9.011749569944206,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[5.1000022680145864, 5.367238776530522]"
1330.0461572323056,16.747015818602566,240,13.162730664428093,0.7168570308348945,"[20.0, 90.0]",6,ICL8,0,35417.08249982331,"{'neuron_count': 24, 'raw_kernel_mass': 43.0640941026514, 'normalized_weight_ess': 18.711546310737294, 'nearest_distance_mm': 0.082156391741955}",1860.274424360683,240,4.554166666666666,4.554166666666666,0.8124109134419921,160,4.675,1.0,4.675,1333.5508003852917,8.334692502408073,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[6.989911342143938, 5.301573151054602]"
1370.9966025697822,19.15534331851761,245,13.390859496866968,1.152896764330128,"[20.0, 90.0]",7,SCL6,0,36396.30596690792,"{'neuron_count': 16, 'raw_kernel_mass': 26.81774209698353, 'normalized_weight_ess': 12.344925838518979, 'nearest_distance_mm': 0.10016104806439438}",1194.1249453233168,245,4.844897959183673,4.844897959183673,0.8066454078864292,160,4.93125,1.0,4.93125,1376.702785669143,8.604392410432144,True,True,"[100.10000000000001, 180.0]",1005,SCL,"[10.537009350237868, 13.677423877294546]"
1535.4525290194476,20.578151645801043,248,13.251070369858411,1.4654162551885266,"[20.0, 90.0]",8,ICL7,0,40327.71505967084,"{'neuron_count': 11, 'raw_kernel_mass': 15.057275099896898, 'normalized_weight_ess': 8.363105185361963, 'nearest_distance_mm': 0.10439499205576575}",1053.416937360667,248,5.314516129032258,5.310483870967742,0.8516061374227797,160,5.425,1.0,5.41875,1543.6943034992353,9.64808939687022,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[8.447697779165201, 4.8114535578832225]"
1608.5045957752914,18.195129590268486,281,13.430063070199163,0.9530133040138649,"[20.0, 90.0]",9,ICL6,0,42329.831160617294,"{'neuron_count': 24, 'raw_kernel_mass': 44.12656272697323, 'normalized_weight_ess': 16.79918399467522, 'nearest_distance_mm': 0.04718171610279963}",1693.5556731697652,281,5.829181494661921,5.822064056939502,0.7437867328423495,160,5.9125,1.0,5.9,1613.981087618943,10.087381797618395,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[10.089913610158524, 4.846373468665954]"
1483.4326504770943,19.81272672418006,252,12.875984763451306,1.3873483921457506,"[20.0, 90.0]",10,ICL5,0,38871.72894788153,"{'neuron_count': 15, 'raw_kernel_mass': 36.1286177060207, 'normalized_weight_ess': 9.38635474099723, 'nearest_distance_mm': 0.024871860778103945}",1074.9632843667266,252,5.373015873015873,5.373015873015873,0.7985034931449304,160,5.4875,1.0,5.4875,1491.3485841818936,9.320928651136835,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[11.5523022208348, 4.813958075536949]"
1100.6089322583819,20.367330666011604,220,13.526672927920009,1.368131547618319,"[20.0, 90.0]",11,ICL4,0,29233.512602956587,"{'neuron_count': 18, 'raw_kernel_mass': 37.12577667179133, 'normalized_weight_ess': 10.8579574736656, 'nearest_distance_mm': 0.015740155066071095}",810.2389641218673,220,3.581818181818182,3.577272727272727,0.8310305583436984,160,3.6625,1.0,3.65625,1108.513487924714,6.9282092995294615,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[13.010088657856063, 4.323838482365569]"
1316.5173716349561,18.7838220112924,263,12.911833913789913,1.174397619500498,"[20.0, 90.0]",12,ICL3,0,34345.36740253012,"{'neuron_count': 19, 'raw_kernel_mass': 31.23271040883517, 'normalized_weight_ess': 13.308540131101475, 'nearest_distance_mm': 0.051064419291849614}",1126.2477602102572,263,4.604562737642586,4.596958174904943,0.7978058638313309,160,4.75,1.0,4.7375,1322.6626885586936,8.266641803491835,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[14.899997731985414, 4.25817285688965]"
1397.6750268588764,18.906008203514585,265,13.417026842384663,1.0977962722259844,"[20.0, 90.0]",13,ICL2,0,37035.359771119925,"{'neuron_count': 20, 'raw_kernel_mass': 28.97716428523185, 'normalized_weight_ess': 15.219643354574758, 'nearest_distance_mm': 0.07937189996358446}",1278.0996543596927,265,4.871698113207547,4.867924528301887,0.7791497094838005,160,5.0,1.0,5.0,1403.09303608939,8.769331475558687,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[16.537611389323725, 3.835388567630007]"
1524.1760973701842,21.96379850084145,249,13.760366148698385,1.640686470428613,"[20.0, 90.0]",14,ICL1,0,38571.54193138797,"{'neuron_count': 13, 'raw_kernel_mass': 32.924160449616764, 'normalized_weight_ess': 6.342488037553652, 'nearest_distance_mm': 0.010246710913533148}",934.0250586922318,249,5.409638554216867,5.397590361445783,0.7970629752604043,160,5.5625,1.0,5.55,1532.442276837636,9.577764230235225,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[18.0, 3.802973174501002]"
1494.1297185689878,19.947100219379614,272,14.075381361689717,1.1743437715379794,"[20.0, 90.0]",0,SCL9,0,39773.36198295004,"{'neuron_count': 28, 'raw_kernel_mass': 35.55720441541961, 'normalized_weight_ess': 21.815458808651464, 'nearest_distance_mm': 0.1108381369245796}",1278.2522627573571,272,5.602941176470588,5.599264705882353,0.7343231546163497,160,5.74375,1.0,5.7375,1501.107583223431,9.381922395146443,True,True,"[100.10000000000001, 180.0]",1006,SCL,"[5.497640679895003, 16.197026825498998]"
1787.38855818566,19.166353535277025,258,13.685416895844417,1.0961873278865213,"[20.0, 90.0]",1,ICL11,0,46376.856970106484,"{'neuron_count': 21, 'raw_kernel_mass': 51.00891277679929, 'normalized_weight_ess': 14.275310825858037, 'nearest_distance_mm': 0.01699264995915755}",1634.4387592111943,258,6.709302325581396,6.705426356589148,0.7529502266959863,160,6.825,1.0,6.825,1791.6510560538804,11.197819100336753,True,True,"[100.10000000000001, 180.0]",1006,ICL,"[2.0, 5.822438458919169]"
1383.614214921227,19.144307836483108,235,13.518330709110934,1.1251954254744347,"[20.0, 90.0]",2,SCL8,0,36644.056735238904,"{'neuron_count': 17, 'raw_kernel_mass': 26.912607727265588, 'normalized_weight_ess': 12.38191561878839, 'nearest_distance_mm': 0.05874581221219726}",1235.0922123026648,235,4.808510638297872,4.804255319148936,0.8377589809962959,160,4.875,1.0,4.86875,1389.7201073220579,8.685750670762861,True,True,"[100.10000000000001, 180.0]",1006,SCL,"[7.378345406714329, 15.215952799938329]"
1556.71297306501,20.691280841175633,246,13.954054919193757,1.347445184396375,"[20.0, 90.0]",3,ICL10,0,41231.02981109717,"{'neuron_count': 17, 'raw_kernel_mass': 26.46941300792508, 'normalized_weight_ess': 11.403375180776761, 'nearest_distance_mm': 0.05689062009480511}",1161.1953852769716,246,5.788617886178862,5.788617886178862,0.8499458444487142,160,5.9,1.0,5.9,1564.6471300347487,9.779044562717178,True,True,"[100.10000000000001, 180.0]",1006,ICL,"[3.4623886106762756, 5.790023065790164]"
1451.7204317729863,19.741070029977152,245,13.433932404049527,1.2614275251855247,"[20.0, 90.0]",4,SCL7,0,38808.09132144093,"{'neuron_count': 16, 'raw_kernel_mass': 24.28910760967265, 'normalized_weight_ess': 11.148060584399145, 'nearest_distance_mm': 0.07551789669277481}",1155.075987908657,245,5.257142857142857,5.253061224489796,0.8184113831233014,160,5.40625,1.0,5.40625,1457.0446448288424,9.106529030180265,True,True,"[100.10000000000001, 180.0]",1006,SCL,"[8.656304623418542, 14.658497902855213]"
1320.2476393809256,21.282934080874895,235,14.017034268108922,1.453179962553195,"[20.0, 90.0]",5,ICL9,0,34726.11657877677,"{'neuron_count': 13, 'raw_kernel_mass': 21.239486951199993, 'normalized_weight_ess': 9.480098437609428, 'nearest_distance_mm': 0.08076756490388848}",913.4769170402215,235,4.595744680851064,4.595744680851064,0.8237716304927732,160,4.71875,1.0,4.71875,1327.446352097717,8.296539700610731,True,True,"[100.10000000000001, 180.0]",1006,ICL,"[5.1000022680145864, 5.367238776530522]"
1373.0490037519503,19.405117042125728,239,13.474959390731248,1.1860315302788957,"[20.0, 90.0]",6,ICL8,0,35338.54488908245,"{'neuron_count': 27, 'raw_kernel_mass': 62.37839644289453, 'normalized_weight_ess': 21.563135165408518, 'nearest_distance_mm': 0.04582494866982929}",1163.020800143014,239,4.7364016736401675,4.7154811715481175,0.8058683681011795,160,4.8,1.0,4.775,1379.3793393398046,8.621120870873778,True,True,"[100.10000000000001, 180.0]",1006,ICL,"[6.989911342143938, 5.301573151054602]"
1231.9271988860953,20.164664832710425,248,13.85956241653755,1.2610204832345753,"[20.0, 90.0]",7,SCL6,0,31933.87386965247,"{'neuron_count': 22, 'raw_kernel_mass': 43.93676745090424, 'normalized_weight_ess': 14.167671445680277, 'nearest_distance_mm': 0.02693234896056231}",982.3377623724272,248,4.306451612903226,4.30241935483871,0.7874870326205184,160,4.4875,1.0,4.4875,1238.7480398064495,7.742175248790309,True,True,"[100.10000000000001, 180.0]",1006,SCL,"[10.537009350237868, 13.677423877294546]"
