q,phase,additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.8525,0.0,0.075909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,132.2222501039505,2.3539531975984573,False,0,0,[],L,1,,,85.81040054559708,1.7695709830150008,False,0,0,[7.062767570315816],L,0,,,7.545181084424257,0.8478183881379664,False,0,0,[]
0.8525,0.0,0.100909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,132.03881680965424,2.071643713861704,False,0,0,[],L,1,,,85.6359675526619,1.6187181463465095,False,0,0,[7.067581514095717],L,0,,,7.500285282731056,0.8416356868110597,False,0,0,[]
0.8525,0.0,0.150909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,131.66989386081696,1.7179074930027127,False,0,0,[],L,1,,,85.28563380241394,1.4181507285684347,False,0,0,[7.077261752908804],L,0,,,7.410998456180096,0.8336316095665097,False,0,0,[]
0.8525,0.0,0.250909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,130.92370331287384,1.3000170001760125,False,0,0,[],L,1,,,84.57908034324646,1.159119070507586,False,0,0,[7.096834412203756],L,0,,,7.234465330839157,0.8236599387601018,False,0,0,[]
0.8525,0.25,0.0,bounded_CCO,True,False,5.908988494071461e-06,0.0022763977353268774,2.984614011220229e-05,C,15,775.44059304321,7.747983390718843e-08,132.7972114086151,7.179929748778892,False,0,0,"[775.4401731697045, 1550.880901028671, 2326.321315821945, 3101.762007695878, 3877.202462215048, 4652.643118056861, 5428.0836123555, 6203.524232119311, 6978.964766250836, 7754.405349893447, 8529.845923909463, 9305.286471387488, 10080.727085331873, 10856.16759660166, 11631.608250517118]",C,16,775.4405752563367,2.8147449032075925e-08,86.35152131319046,4.572862965805816,False,0,0,"[7.04826303550465, 782.488703447235, 1557.929178034282, 2333.3698675324704, 3108.810314718111, 3884.251024883472, 4659.691454205972, 5435.132137434976, 6210.572596506286, 6986.013252752163, 7761.453741630005, 8536.894370844046, 9312.334889586073, 10087.775491711775, 10863.21604037541, 11638.656615355083]",O_unresolved,0,,,7.69237894564867,0.8897978512471739,False,0,0,[]
0.8525,0.25,0.050909912931,LLL,False,False,,,1.1612697694077245e-09,L,0,,,132.40478932857513,3.144283114398965,False,0,0,[],L,1,,,85.98414063453674,2.160820364580302,False,0,0,[7.05797780023818],L,0,,,7.590157445520163,0.8644923642593735,False,0,0,[]
0.8525,0.25,0.060909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,132.33177363872528,2.6283615734428167,False,0,0,[],L,1,,,85.91461181640625,1.909955171868205,False,0,0,[7.059894393902559],L,0,,,7.5721126049757,0.8536961977370083,False,0,0,[]
0.8525,0.25,0.075909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,132.2220414876938,2.3539531975984573,False,0,0,[],L,1,,,85.81018447875977,1.7695709830150008,False,0,0,[7.062774464981748],L,0,,,7.545094937086105,0.8478183881379664,False,0,0,[]
0.8525,0.25,0.100909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,132.03860819339752,2.071643713861704,False,0,0,[],L,1,,,85.63574403524399,1.6187181463465095,False,0,0,[7.067588450106384],L,0,,,7.500199601054192,0.8416356868110597,False,0,0,[]
0.8525,0.25,0.150909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,131.66968524456024,1.7179074930027127,False,0,0,[],L,1,,,85.28541028499603,1.4181507285684347,False,0,0,[7.077268772358921],L,0,,,7.410913240164518,0.8336316095665097,False,0,0,[]
0.8525,0.25,0.250909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,130.92349469661713,1.3000170001760125,False,0,0,[],L,1,,,84.57885682582855,1.159119070507586,False,0,0,[7.096841601586894],L,0,,,7.234381977468729,0.8236599387601018,False,0,0,[]
0.8525,0.5,0.0,bounded_CCO,True,False,5.976377405198375e-06,0.002276962386350198,2.9846195263033483e-05,C,15,775.4405933960425,7.856014540265084e-08,132.7972114086151,7.179929650371927,False,0,0,"[775.4403218684714, 1550.8810488566955, 2326.3214646112892, 3101.7621556132744, 3877.202611095064, 4652.643266063781, 5428.083761326332, 6203.524380215984, 6978.9649153127175, 7754.405498080126, 8529.846073062492, 9305.286619664259, 10080.727234576034, 10856.167744968507, 11631.608399852386]",C,16,775.4405750598556,2.7427043174046006e-08,86.35152131319046,4.572862849506678,False,0,0,"[7.048251356093532, 782.4888526754263, 1557.9293265996698, 2333.3700168298583, 3108.810463351317, 3884.2511728649715, 4659.691602907167, 5435.132285483331, 6210.572745275714, 6986.013400867621, 7761.453890467938, 8536.89451902672, 9312.335038492618, 10087.775639961668, 10863.216189350562, 11638.656763672185]",O_unresolved,0,,,7.692380342632532,0.889797810176499,False,0,0,[]
0.8525,0.5,0.050909912931,LLL,False,False,,,1.1612697992449684e-09,L,0,,,132.4051320552826,3.1442831134695015,False,0,0,[],L,1,,,85.98450571298599,2.160820364580302,False,0,0,[7.057965980879721],L,0,,,7.590301800519228,0.8644923642593735,False,0,0,[]
