condition_index,candidate_id,name,placement,unit,N,observation_loss,R_unsupported,total_loss,node_gain,E_to_E_weight_scale,E_to_I_weight_scale,I_to_E_weight_scale,tau_d_GABA_ms,participation,centroid_structure,local_shape,recruitment,joint_envelope
11,tshape_anchor1_B_minus,Place 1: timing B -,1,topo_6101_dyn_7101,37,0.5209584620024684,0.9005155357849938,0.7788934666892826,0.9326326488216337,1.108470769526528,1.17583302196729,1.1476061074885902,21.712431175535762,0.19993156657918346,0.14489516896934207,1.4194134461709724,0.32243373148597143,0.5181183968068728
11,tshape_anchor1_B_minus,Place 1: timing B -,1,topo_6102_dyn_7101,45,0.4350024735034165,0.8711821421108303,0.6845355031724093,0.9326326488216337,1.108470769526528,1.17583302196729,1.1476061074885902,21.712431175535762,0.10154538715669206,0.22651388600485822,1.3993595298407913,0.20395883928065378,0.2436347252340869
12,tshape_anchor2_B_plus,Place 2: timing B +,2,topo_6101_dyn_7101,21,0.5907907476241181,0.9991342207440435,0.8769731394533937,0.9455987170955774,0.9648809309178472,0.954740753196934,1.0775773408097382,14.598334803653257,0.2572987182411183,0.09177166280818222,1.4371652171181497,0.40679901857259015,0.7609191213805506
12,tshape_anchor2_B_plus,Place 2: timing B +,2,topo_6102_dyn_7101,30,0.7487244537794773,0.9735860629692578,1.0275890771377911,0.9455987170955774,0.9648809309178472,0.954740753196934,1.0775773408097382,14.598334803653257,0.4153276661327908,0.14952832930524096,1.4778490788880212,0.6397045359840097,1.0612126585873236
13,tshape_anchor2_B_minus,Place 2: timing B -,2,topo_6101_dyn_7101,39,0.42205453988742125,0.8328082027087516,0.6605961076146737,1.0544012829044227,1.0351190690821528,1.0452592468030661,0.9224226591902618,21.40166519634674,0.08920763683728183,0.13188606288514101,1.3072604005580843,0.16152306869664462,0.4203955304599543
13,tshape_anchor2_B_minus,Place 2: timing B -,2,topo_6102_dyn_7101,44,0.5131881364088539,0.8483751471528046,0.7561885499067525,1.0544012829044227,1.0351190690821528,1.0452592468030661,0.9224226591902618,21.40166519634674,0.12900866303029845,0.19824395421225197,1.307979099928692,0.2342528233154739,0.6964561415575531
14,tshape_anchor3_B_plus,Place 3: timing B +,3,topo_6101_dyn_7101,9,,0.9999851800669509,,0.7700780362172777,0.9433494549945227,1.0408432244858103,1.0495774958872257,14.564227394616237,,,,,
14,tshape_anchor3_B_plus,Place 3: timing B +,3,topo_6102_dyn_7101,15,,0.9999262473351843,,0.7700780362172777,0.9433494549945227,1.0408432244858103,1.0495774958872257,14.564227394616237,,,,,
15,tshape_anchor3_B_minus,Place 3: timing B -,3,topo_6101_dyn_7101,53,0.34300822300285844,0.8061149808157948,0.5739040411117391,0.6299219637827222,1.0566505450054773,0.9591567755141897,0.9504225041127742,21.43577260538376,0.05839353472911741,0.132403318216341,1.1840591998986192,0.1465373908173961,0.19364767135281846
15,tshape_anchor3_B_minus,Place 3: timing B -,3,topo_6102_dyn_7101,59,0.426638094920987,0.783656689092091,0.651101176057749,0.6299219637827222,1.0566505450054773,0.9591567755141897,0.9504225041127742,21.43577260538376,0.11202222641353995,0.3443704688325199,1.1481504055856155,0.20399611917704819,0.32465125459621125
16,native_reg_anchor1_A_plus,Place 1: native A +,1,topo_6101_dyn_7101,32,0.46130906756407686,0.9007875926839821,0.7193219976111176,0.8372344284578094,1.1148866532030905,1.0767102667856057,1.0637492019027237,16.803479365226586,0.08068498674794253,0.2487756183738334,1.37393408803466,0.22162666149889113,0.38152398316505753
16,native_reg_anchor1_A_plus,Place 1: native A +,1,topo_6102_dyn_7101,43,0.42982703000903816,0.8768908641221891,0.6809952110776922,0.8372344284578094,1.1148866532030905,1.0767102667856057,1.0637492019027237,16.803479365226586,0.08642533833336849,0.1952081494494882,1.3693541585036715,0.18581871678618975,0.3123287869724729
