candidate,comparison,topology,noise,description,L_search,TA,TB,primary,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz
up3__ellipse4__EI_same_core_scale_0.75,up3__ellipse4,2511,847102,椭圆4:1｜离核EE×1，同核EI×0.75,-0.731633406425237,11,34,45,-0.005689655172413793,-8.275862068965518,-0.41568929380850916,3.593732193732194,10.32916349897482,3.3360772874820945
up3__ellipse4__EI_same_core_scale_0.75__radius205,up3__ellipse4__EI_same_core_scale_0.75,2511,847102,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,2.8816052881419125,-17,13,-4,0.0,0.0,0.026256369359398235,-1.3299657447987485,-0.9946091644204849,-0.7168372539653145
up3__circle__EE_core_to_out_scale_1.25__x_minus075,up3__circle__EE_core_to_out_scale_1.25,2511,847102,圆核｜离核EE×1.25，同核EI×1｜x_minus075,-1.5741807602899982,23,-11,12,0.00203448275862069,2.0689655172413794,-0.04504581699648347,-0.8558207457578533,2.031124012256088,0.35862593321876446
up3__ellipse4__EE_core_to_out_scale_1.25,up3__ellipse4,2511,847101,椭圆4:1｜离核EE×1.25，同核EI×1,-1.6952782290791344,19,3,22,-0.0070344827586206905,-10.344827586206895,-0.244175001508935,3.129178537511871,2.1732669845877393,3.0767103672991416
follow_circle_out1.125_EI0.75,follow_circle_out1.125_EI1,2511,847101,圆核｜离核EE×1.125，同核EI×0.75,-1.1394289489596643,39,-7,32,-0.006689655172413793,-9.310344827586206,-0.09540562979219491,8.127113010446344,9.67998249130325,2.842973837276018
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,2612,847302,圆核｜离核EE×1.125，同核EI×0.875,-1.7954984940797782,19,-19,0,-0.020413793103448274,-19.655172413793103,-0.06429487137264833,4.218056263089377,6.0669281554237315,0.6442335055981872
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,2612,847301,圆核｜离核EE×1.125，同核EI×0.875,-2.5892272853139717,32,-3,29,-0.024413793103448274,-27.931034482758623,-0.10112175489978559,4.498715118582668,5.9431207926783145,0.6463636623878308
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,2511,847101,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,1.2285677966481998,-10,11,1,0.0,0.0,-0.260825147341509,-0.1870289540850294,-0.33006197157140527,-0.10935593625719164
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,2511,847101,椭圆4:1｜离核EE×1.25，同核EI×0.875,1.0101238617519304,4,20,24,-0.0009310344827586207,-1.0344827586206897,-0.14487157595317435,1.4419040835707495,6.369686916856728,1.66076453436464
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,2611,847301,圆核｜离核EE×1.125，同核EI×0.875,-1.3070497477033758,8,16,24,-0.003206896551724138,-3.103448275862069,0.03511397536325245,4.287677590988851,6.233799930228502,1.2771712855754735
follow_circle_out1_EI0.875,up3__circle,2511,847102,圆核｜离核EE×1，同核EI×0.875,-3.3318938309484407,35,-16,19,-0.0024482758620689663,-1.0344827586206886,-0.2534081763968362,3.22628205128205,6.087059690833274,1.2378810091168475
follow_ellipse4_out1.125_EI0.875,follow_ellipse4_out1.125_EI1,2511,847102,椭圆4:1｜离核EE×1.125，同核EI×0.875,0.4878562577618304,4,18,22,-0.004793103448275862,-5.172413793103448,-0.30233812255834386,2.1792260208926866,5.839818462459973,1.9955498907624118
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,2511,847102,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,0.8124785760902036,-4,8,4,0.0,0.0,0.09055575566158425,-0.3346621706434778,-0.17729859239293155,-0.10222195737393314
