candidate,stage,topology,noise,comparison,description,physical_status,duration_ms,primary,TA,TB,n_all_detected,n_TA_all,n_TB_all,detection_rate_per_s,detection_interval_median_ms,detection_interval_min_ms,detection_interval_cv,detection_interval_below_250ms_fraction,qualifying_duration_median_ms,excluded_overlapping,excluded_prolonged,excluded_insufficient,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz,allI_rate_hz,L_search,L_off,L_off_A,L_off_B,L_D16,D_mask_off,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns
follow_ellipse4_out1.125_EI0.75,response,2511,847101,follow_ellipse4_out1.125_EI1,椭圆4:1｜离核EE×1.125，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,156,36,120,164,38,126,2.8034188034188032,340.0,238.0,0.242890616837315,0.024539877300613498,90.0,8,0,0,15.552635327635327,15.889142304236643,12.035391522849771,26.084126068376065,7.922978294926866,11.353551457622569,11.409841025972757,0.05628956835019048,11.902374749036923,0.29257342379208173,0.0,0.0,0.7376999868366683
up3__ellipse4,shape_range,2511,847102,up3__circle,椭圆4:1｜离核EE×1，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,112,20,92,159,20,139,2.717948717948718,313.0,208.0,0.46175874123199023,0.17088607594936708,90.0,47,0,0,11.928062678062677,4.969820535858272,8.009429753486339,17.742467948717948,9.55911390834177,16.488048549332355,16.56838214399275,0.0803335946603948,17.05038371195512,0.17129366804318047,0.005689655172413793,8.275862068965518,0.8082122367144072
up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,up3__ellipse4,椭圆4:1｜离核EE×1，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,157,31,126,172,31,141,2.9401709401709404,314.0,234.0,0.24864557002947538,0.04678362573099415,90.0,15,0,0,15.52179487179487,15.298984034833092,11.345507040968434,24.88672435897436,8.827480501916533,13.609631499568156,13.658381132622047,0.048749633053892565,14.087987273909476,0.2634570722347327,0.0,0.0,0.39252294290589806
up3__ellipse4__EI_same_core_scale_0.75__radius205,response,2511,847102,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,COMPLETE_NO_RUNAWAY,60000.0,153,14,139,161,14,147,2.752136752136752,313.0,240.0,0.40317723783106646,0.025,90.0,8,0,0,14.191829126996122,14.304374870412607,10.628669787003119,23.306042735042734,11.709085790058445,19.22885576875954,19.256543861071535,0.027688092311992357,19.49362315149297,0.27283435803270584,0.0,0.0,0.4187793122652963
up3__circle__EE_core_to_out_scale_1.25__x_minus075,response,2511,847102,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,COMPLETE_NO_RUNAWAY,60000.0,142,76,66,195,106,89,3.3333333333333335,285.0,212.0,0.17934654894122076,0.15463917525773196,84.0,53,0,0,8.691662635058861,11.577763955122446,11.483719343530591,25.091688034188035,2.3889822022318197,2.164050818144709,2.2489002279085337,0.08484940976382489,2.9170893297986544,0.17023434550884953,0.003620689655172414,4.137931034482759,0.6704977310956375
up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847101,up3__ellipse4,椭圆4:1｜离核EE×1.25，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,133,35,98,169,37,132,2.888888888888889,330.0,226.0,0.27353025656170404,0.1130952380952381,88.0,36,0,0,13.745322886989554,6.7080194438685,10.514434307151577,22.896974358974358,7.000298498677386,10.424750712331406,10.500609603131855,0.07585889080044994,11.055327742110144,0.23288139866492552,0.0009310344827586207,1.0344827586206897,0.5587241037262207
follow_circle_out1.125_EI0.75,response,2511,847101,follow_circle_out1.125_EI1,圆核｜离核EE×1.125，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,169,90,79,177,94,83,3.0256410256410255,314.0,236.0,0.20954220047115146,0.022727272727272728,86.0,8,0,0,17.31244064577398,17.281913055497963,12.482614626697409,27.195032051282052,3.751962476526181,2.8146609469507005,2.8812149034712324,0.06655395652053209,3.5176371126988206,0.305394100698294,0.0,0.0,0.731841973607824
follow_circle_out1.125_EI0.875,confirmation,2612,847302,follow_circle_out1.125_EI1,圆核｜离核EE×1.125，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,165,71,94,179,75,104,3.0598290598290596,318.0,240.0,0.18608484945458728,0.03932584269662921,80.0,14,0,0,13.649923586347429,17.63789209806909,12.088234518194458,26.339737179487177,3.424748703856104,4.226734824557376,4.302388627525309,0.07565380296793342,5.006914667664189,0.17081064733942808,0.002103448275862069,2.0689655172413794,0.777887827186736
follow_circle_out1.125_EI0.875,confirmation,2612,847301,follow_circle_out1.125_EI1,圆核｜离核EE×1.125，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,173,73,100,184,84,100,3.1452991452991452,304.0,234.0,0.17310179419741978,0.0273224043715847,77.0,11,0,0,14.101771664685572,17.98502382573179,12.287206317612833,26.79834829059829,3.4819935217354523,4.513166023323946,4.584730117070629,0.07156409374668249,5.286952786959951,0.15961274102851808,0.003896551724137931,4.137931034482759,0.6913761114480902
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,COMPLETE_NO_RUNAWAY,60000.0,157,29,128,163,29,134,2.786324786324786,331.0,236.0,0.27028272466057685,0.018518518518518517,88.0,6,0,0,14.619310077254003,14.590619024581288,10.799040664195209,23.71909401709402,8.716474977186335,13.006363826929633,13.057662928433103,0.05129910150347215,13.509736260432451,0.2882868799442687,0.0,0.0,0.4757115587083977
