candidate,reference,axis,shape,EE_out,EI,noise,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
follow_ellipse4_out1.25_EI0.75,follow_circle_out1.25_EI0.75,shape,ellipse4,1.25,0.75,847101,TB,39.0,80,0.0,0.0,0.0,0.0,0.033078231292517024,0.16609280535521975,0.0,0.0,-0.737642456062531,-0.004693478809199403,0.0,0.0,-2.0,0.007079008961503597,0.0
follow_circle_out1.125_EI0.875,follow_circle_out1_EI0.875,EE_out,circle,1.125,0.875,847101,ALL,8.0,156,0.2797842401500938,5.685371539032591e-05,0.0,-0.0515938768002131,-0.16501557395809066,-16.217750952733695,0.0,-4.0,12.50925517845053,0.00586163362414352,0.0,36.0,9.0,0.28247436637393,-0.03972763884524455
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,EI,circle,1.125,0.875,847101,ALL,27.0,137,-0.07851166102901908,0.0008820625697962825,0.0,-0.008460758157419285,-0.16084611209422708,-46.073508110475814,0.0,-32.0,11.473088263619502,0.1356072352176818,0.0,19.0,13.0,0.24538327066733512,0.0035540970226867197
follow_circle_out1.125_EI0.875,follow_circle_out1_EI0.875,EE_out,circle,1.125,0.875,847101,TA,11.0,68,0.535927029039464,0.00037230081906181045,0.0,-0.11049704586676343,-0.08215380180901771,-3.285738330527238,0.0,8.0,-0.9310357688882505,0.008183644803963386,0.0,22.0,8.5,0.1886617748236965,-0.015110735544139442
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,EI,circle,1.125,0.875,847101,TA,28.0,51,-0.09642591213700658,-0.0023014959723820505,0.0,-0.02716371253343003,-0.028776807181996683,-15.497192261100281,0.0,-20.0,-10.012489084729168,0.1453892315804451,0.0,-11.0,11.0,-0.07701582070289081,0.015157247808846974
follow_circle_out1.125_EI0.875,follow_circle_out1_EI0.875,EE_out,circle,1.125,0.875,847101,TB,-3.0,88,0.11022727272727273,0.0,0.0,0.016987475053334283,-0.04025591695636349,-0.7375465659288238,0.0,-4.0,1.5092777141253464,-0.0033966451403348585,1.0,65.0,13.5,0.39462029690596445,-0.05700483091787445
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,EI,circle,1.125,0.875,847101,TB,-1.0,86,-0.006976744186046435,0.003171247357293905,0.0,0.012764231936106651,-0.014010399677466423,-1.1367650420447717,0.0,-11.0,6.159667472773435,0.12662742774429256,1.0,71.5,14.5,0.5441362153993046,-0.05700483091787445
up3__ellipse4__EE_core_to_out_scale_1.25,up3__ellipse4,EE_out,ellipse4,1.25,1.0,847102,ALL,37.0,112,-0.013602588686481343,0.012981565414451501,0.0,0.014664951674198956,-0.10855458271367957,-1.021878401169488,0.0,-8.0,5.070715914456741,0.028685920291858916,1.0,84.0,17.0,0.5862730531767886,-0.05958171206225682
up3__ellipse4__EE_core_to_out_scale_1.25,up3__circle__EE_core_to_out_scale_1.25,shape,ellipse4,1.25,1.0,847102,ALL,19.0,130,0.27911719153329895,-0.0010419111090250732,0.0,-0.02563256315290613,0.09983877441977035,3.4013550842419136,0.0,4.0,-56.965347713647134,0.01664964215354907,0.0,6.0,-1.5,0.06833111007383241,-0.002442138192475296
up3__ellipse4__EE_core_to_out_scale_1.25,up3__ellipse4,EE_out,ellipse4,1.25,1.0,847102,TA,13.0,20,-0.08787878787878789,0.01542699724517893,0.0,-0.0146614646272831,-0.13794970717517324,-114.94921400973362,0.0,-65.0,-11.997721694147913,0.12227896640021053,0.0,-6.0,21.5,-0.4616606398581107,0.01660855332651845
