candidate,comparison,stage,topology,noise,layer,mode,description,n_condition,n_reference,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,n,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
follow_ellipse4_out1.125_EI0.875,follow_ellipse4_out1.125_EI1,response,2511,847102,all_detected,ALL,椭圆4:1｜离核EE×1.125，同核EI×0.875,172,179,0.10677861504482267,-0.0021968417447175703,0.0,0.011696257206894073,-0.060643571111906824,-0.7599654584182645,0.0,-8.0,4.73615288777728,0.11092484419100714,1.0,-7,75.0,12.0,0.5412787645263419,-0.05479692369072753
follow_ellipse4_out1.125_EI0.875,follow_ellipse4_out1.125_EI1,response,2511,847102,all_detected,TA,椭圆4:1｜离核EE×1.125，同核EI×0.875,32,30,0.384375,-0.007954545454545547,0.0,-0.072044509853568,-0.04847198056821972,-3.3120028698410806,0.0,0.0,-6.5425953578256895,0.10598449336829895,0.0,2,26.5,7.0,0.20557615521510364,0.012021385781313287
follow_ellipse4_out1.125_EI0.875,follow_ellipse4_out1.125_EI1,response,2511,847102,all_detected,TB,椭圆4:1｜离核EE×1.125，同核EI×0.875,140,149,0.056615532118887923,-0.0006885731717947152,0.0,0.009728347714924951,-0.004675836484392459,-0.6502755235487712,0.0,-6.0,6.044000237026921,0.11322182747338495,1.0,-9,80.0,12.0,0.624499663533661,-0.058729843753006605
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,primary,ALL,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,161,157,0.035348340388495436,0.004053271569195216,0.0,0.006857353852645992,0.012358344000654498,0.15791610250016674,0.0,0.0,3.0238925174053293,0.002079397049387921,0.0,4,1.0,-1.0,0.011458650172544438,0.001895903155983758
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,primary,TA,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,27,31,0.11947431302270006,0.014662756598240345,0.0,0.003529476002512577,0.0048675276511103704,-2.502896292774494,0.0,-2.0,-3.3489474455163872,0.011282631364911783,0.0,-4,6.0,1.0,0.11854075936960662,-0.021197899007720067
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,primary,TB,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,134,126,0.011904761904761862,0.0014430014430014682,0.0,0.002645502645502673,-0.01875380365672069,0.13287857405202885,1.0,0.0,2.9891591487939877,0.0010816599364636414,0.0,8,0.0,-1.0,0.0006861722481428245,0.0030708498622523672
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,all_detected,ALL,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,169,172,0.031770331636163385,0.0036997885835095,0.0,0.006160267877620307,-0.005168900185032244,0.17467701051464246,0.0,0.0,3.1231214203244235,0.001982876896825081,0.0,-3,0.0,0.0,0.009841495472404205,0.0020732731478898536
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,all_detected,TA,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,29,31,0.12458286985539502,0.014662756598240345,0.0,0.0028483350914866035,0.0035855328296641453,-2.502896292774494,0.0,-2.0,-3.211215028524748,0.011282631364911783,0.0,-2,6.0,1.0,0.1152811164221168,-0.021197899007720067
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,all_detected,TB,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,140,141,0.010638297872340496,0.0012894906511927706,0.0,0.0023640661938534313,-0.018655260510294425,0.13381028869889633,2.0,0.0,2.997653743794217,0.0012156443412103535,0.0,-1,0.0,-1.0,0.00034923241767259583,0.003454389941724645
up3__circle__EE_core_to_out_scale_1.25__radius205,up3__circle__EE_core_to_out_scale_1.25,response,2511,847102,primary,ALL,圆核｜离核EE×1.25，同核EI×1｜radius205,140,130,0.2552197802197802,0.0013986013986013734,0.0,-0.02839046470305953,0.12671125643419345,3.7095539979950445,0.0,4.0,-56.214969293404465,0.005471888769858491,0.0,10,8.5,-1.5,0.09764939147555474,-0.012442585649818372
