count,arm,seed,status,n_returned_readable,n_distribution_events,mode_A_count,mode_B_count,ood_fraction_returned_readable,multishaft_fraction_distribution,scl_recruitment_fraction_distribution,mode_b_fraction,mode_proportion_js,natural_alignment,weak_mode_score,mean_mode_score,recruitment,precedence,profile,event_cloud
6,continuous_free_field,1569,OK,87,47,16,31,0.45977011494252873,0.7659574468085106,0.6808510638297872,0.6595744680851063,3.07995085391835e-07,0.6238095238095238,3.6705241689257506,2.079324395588074,2.0589643700799365,3.1200365212203733,1.4284074122474375,1.7098892788045486
6,continuous_free_field,1570,OK,84,49,17,32,0.4166666666666667,0.7755102040816326,0.6938775510204082,0.6530612244897959,4.068863205882985e-05,0.5323076923076924,1.5612215687896256,1.5609168741965516,1.4340256920192647,2.154898506968842,0.9837507526897079,1.670992545108391
6,continuous_free_field,1571,OK,96,49,24,25,0.4895833333333333,0.7755102040816326,0.6632653061224489,0.5102040816326531,0.01678642165851578,0.6578947368421053,2.0415367157008193,1.4459736874322389,0.8870857031952746,1.79915737504454,1.5714776249185172,1.5261740465706242
6,continuous_free_field,1572,OK,80,43,10,33,0.4625,0.8837209302325582,0.7383720930232558,0.7674418604651163,0.010199711595798466,0.7785714285714285,0.8817796105760715,0.7993897915849777,0.6024348239906232,0.8767416624595301,0.9826900784669843,0.7356926014227736
3,hand_dual_core,1561,OK,90,53,37,16,0.4111111111111111,0.6037735849056604,0.5235849056603774,0.3018867924528302,0.09485331899449961,0.8583333333333334,1.6262925427229264,1.3402330228143613,0.956989075884508,1.4339172512099534,1.5294393543636962,1.4405864097992875
3,hand_dual_core,1562,OK,90,53,28,25,0.4111111111111111,0.6226415094339622,0.5330188679245284,0.4716981132075472,0.026254766562360622,0.5666666666666667,1.6441922377444802,1.2715050842818412,1.0644068928334387,1.4599407369568733,1.1895506587904288,1.3721220485466232
3,hand_dual_core,1563,OK,87,54,29,25,0.3793103448275862,0.5370370370370371,0.4583333333333333,0.46296296296296297,0.028695261333458087,0.6274038461538461,1.770669244295083,1.522643900464384,1.5933924944212075,0.883704029325604,1.5935000739180585,2.019979004192666
3,hand_dual_core,1564,OK,90,61,38,23,0.32222222222222224,0.3770491803278688,0.3155737704918033,0.3770491803278688,0.058716944769862875,0.7916666666666667,3.681169301458257,3.3400026624187964,3.081261036944274,3.054897549408074,3.579663086527626,3.6441889767952107
3,hand_dual_core,1565,OK,89,47,26,21,0.47191011235955055,0.5957446808510638,0.48404255319148937,0.44680851063829785,0.033498070659413945,0.5410256410256411,0.7559063136833534,0.6247855796153152,0.5167496142650808,1.0101305523929631,0.4468868653588539,0.525375286444363
3,hand_dual_core,1566,OK,85,52,35,17,0.38823529411764707,0.40384615384615385,0.30288461538461536,0.3269230769230769,0.08168772235603551,0.7777777777777777,1.544622558587539,1.5302667252507929,1.3093318251227362,0.9980283268531345,1.5340970287504028,2.279609720276899
