name,tau_Z_s,threshold,seed,observed,onset_s,confirmation_s,restricted_time_s,horizon_s,pre_observation_s,pre_E_mean_Hz,pre_quiet_fraction,Z_at_endpoint,adaptation_current_at_endpoint,reference_prefix_qa,source
y4_x4_s9108402,6.2996052494743635,103.4656754177799,9108402,False,,,180.0,180.0,20.0,13.027965625,0.653,0.8422162384464595,0.5759183763045617,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x4_s9108402/result.json
y4_x4_s9108403,6.2996052494743635,103.4656754177799,9108403,False,,,180.0,180.0,20.0,13.6973828125,0.6435,0.8320340739789559,0.6487141991949035,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x4_s9108403/result.json
y4_x5_s9108401,7.937005259841,103.4656754177799,9108401,False,,,180.0,180.0,20.0,12.8945859375,0.6795,0.8488993188705883,0.5601991748993086,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x5_s9108401/result.json
y4_x5_s9108402,7.937005259841,103.4656754177799,9108402,False,,,180.0,180.0,20.0,13.383362499999999,0.6375,0.8396924443963242,0.5905420364217444,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x5_s9108402/result.json
y4_x5_s9108403,7.937005259841,103.4656754177799,9108403,False,,,180.0,180.0,20.0,13.461990625,0.6365,0.8414336236427675,0.5623726506254009,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x5_s9108403/result.json
y4_x6_s9108401,10.0,103.4656754177799,9108401,False,,,180.0,180.0,20.0,13.451314062499998,0.6745,0.8456071603619766,0.5387167789381591,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x6_s9108401/result.json
y4_x6_s9108402,10.0,103.4656754177799,9108402,False,,,180.0,180.0,20.0,13.21324375,0.6445,0.8441522286147508,0.576516795421303,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x6_s9108402/result.json
y4_x6_s9108403,10.0,103.4656754177799,9108403,False,,,180.0,180.0,20.0,14.232503125,0.6315,0.8380270135670814,0.6207017973344131,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x6_s9108403/result.json
y5_x0_s9108401,2.5,111.73283770888996,9108401,False,,,180.0,180.0,20.0,12.797240624999999,0.652,0.8489454966247129,0.5351525979195103,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y5_x0_s9108401/result.json
y5_x0_s9108402,2.5,111.73283770888996,9108402,False,,,180.0,180.0,20.0,12.936471874999999,0.628,0.8316893993100251,0.590832914757678,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y5_x0_s9108402/result.json
