horizon_seconds,arm,endpoint,n_subjects,n_positive,median_gain,p_sign,n_dropped_not_estimable,n_dropped_missing,seed_spread_median
300.0,B+shift7(S(P_slow_seed1)),count,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed1)),participation,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed1)),continuous,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed1)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed1)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed1)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed1)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed1)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed2)),count,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed2)),participation,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed2)),continuous,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed2)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed2)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed2)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed2)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed2)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed3)),count,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed3)),participation,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed3)),continuous,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed3)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed3)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed3)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed3)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_slow_seed3)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B_clock_only,count,22,10,-0.0057109069078178365,0.8318119049072266,5,0,
300.0,B_clock_only,participation,27,1,-0.028330118885007027,4.172325134277344e-07,0,0,
300.0,B_clock_only,continuous,27,0,-0.048252555992796875,1.4901161193847656e-08,0,0,
300.0,B_clock_only,continuous:size,27,1,-0.030265308322192652,4.172325134277344e-07,0,0,
300.0,B_clock_only,continuous:span,27,3,-0.018072806199528335,4.9233436584472656e-05,0,0,
300.0,B_clock_only,continuous:band_energy,25,1,-0.10026251426037058,1.5497207641601562e-06,2,0,
300.0,B_clock_only,continuous:band_peak,27,6,-0.004255378741716331,0.005924612283706665,0,0,
300.0,B_clock_only,continuous:embedding,27,0,-0.03228332945128276,1.4901161193847656e-08,0,0,
300.0,B_multiscale_mlp,count,25,16,2.031700407911785e-08,0.2295229434967041,2,0,
300.0,B_multiscale_mlp,participation,27,12,-3.194436071218831e-08,0.7011080384254456,0,0,
300.0,B_multiscale_mlp,continuous,27,15,1.619052358847739e-08,0.7011080384254456,0,0,
300.0,B_multiscale_mlp,continuous:size,27,13,-9.341054374445434e-09,1.0,0,0,
300.0,B_multiscale_mlp,continuous:span,27,14,2.1832273766619892e-08,1.0,0,0,
300.0,B_multiscale_mlp,continuous:band_energy,26,11,-3.338946008568655e-08,0.557197093963623,1,0,
300.0,B_multiscale_mlp,continuous:band_peak,27,18,3.1896108643181265e-08,0.12207812070846558,0,0,
300.0,B_multiscale_mlp,continuous:embedding,27,16,1.8824749092871684e-08,0.44206833839416504,0,0,
300.0,S(P_local_seed1),count,25,19,0.07681371173221674,0.01463329792022705,2,0,
300.0,S(P_local_seed1),participation,27,1,-0.012220560323592922,4.172325134277344e-07,0,0,
300.0,S(P_local_seed1),continuous,27,1,-0.02187680905977163,4.172325134277344e-07,0,0,
300.0,S(P_local_seed1),continuous:size,27,4,-0.008770429719974215,0.000310748815536499,0,0,
300.0,S(P_local_seed1),continuous:span,27,6,-0.007297028663937111,0.005924612283706665,0,0,
300.0,S(P_local_seed1),continuous:band_energy,25,3,-0.03525734814531689,0.00015652179718017578,2,0,
300.0,S(P_local_seed1),continuous:band_peak,27,9,-0.0008387442886470531,0.12207812070846558,0,0,
300.0,S(P_local_seed1),continuous:embedding,27,1,-0.017896583860912862,4.172325134277344e-07,0,0,
300.0,S(P_memoryless_seed1),count,25,15,0.030129849970792932,0.42435622215270996,2,0,
300.0,S(P_memoryless_seed1),participation,27,1,-0.01840714094075868,4.172325134277344e-07,0,0,
300.0,S(P_memoryless_seed1),continuous,27,0,-0.03447040696686843,1.4901161193847656e-08,0,0,
300.0,S(P_memoryless_seed1),continuous:size,27,3,-0.011404701074465784,4.9233436584472656e-05,0,0,
300.0,S(P_memoryless_seed1),continuous:span,27,6,-0.016322491920917503,0.005924612283706665,0,0,
300.0,S(P_memoryless_seed1),continuous:band_energy,24,1,-0.06541667573431442,2.9802322387695312e-06,3,0,
300.0,S(P_memoryless_seed1),continuous:band_peak,27,9,-0.002350250325885206,0.12207812070846558,0,0,
300.0,S(P_memoryless_seed1),continuous:embedding,27,0,-0.03097112473429786,1.4901161193847656e-08,0,0,
300.0,S(P_slow_seed1),count,23,15,0.043286091367711776,0.21003961563110352,4,0,
300.0,S(P_slow_seed1),participation,27,1,-0.019159003086428483,4.172325134277344e-07,0,0,
300.0,S(P_slow_seed1),continuous,27,2,-0.030939487946284094,5.647540092468262e-06,0,0,
300.0,S(P_slow_seed1),continuous:size,26,4,-0.00893119014411059,0.0005335211753845215,1,0,
300.0,S(P_slow_seed1),continuous:span,26,5,-0.01714588993137367,0.002493917942047119,1,0,
300.0,S(P_slow_seed1),continuous:band_energy,23,3,-0.0625012124722657,0.00048828125,4,0,
300.0,S(P_slow_seed1),continuous:band_peak,27,6,-0.0050761313776543915,0.005924612283706665,0,0,
300.0,S(P_slow_seed1),continuous:embedding,27,1,-0.028027180703650068,4.172325134277344e-07,0,0,
1800.0,B+S(P_local_seed1),count,27,15,3.3463955317003524e-05,0.7011080384254456,0,0,
1800.0,B+S(P_local_seed1),participation,27,12,-1.3197850463053662e-05,0.7011080384254456,0,0,
1800.0,B+S(P_local_seed1),continuous,27,14,2.1817300465576395e-05,1.0,0,0,
1800.0,B+S(P_local_seed1),continuous:size,27,14,0.0002824298765400357,1.0,0,0,
1800.0,B+S(P_local_seed1),continuous:span,27,11,-0.0005341738099209348,0.44206833839416504,0,0,
1800.0,B+S(P_local_seed1),continuous:band_energy,25,13,0.0006167159800929412,1.0,2,0,
1800.0,B+S(P_local_seed1),continuous:band_peak,27,10,-0.00029538902431958114,0.24778856337070465,0,0,
1800.0,B+S(P_local_seed1),continuous:embedding,27,11,-0.0005327917189459352,0.44206833839416504,0,0,
1800.0,B+S(P_local_seed2),count,27,17,0.00014798481422495513,0.24778856337070465,0,0,
1800.0,B+S(P_local_seed2),participation,27,10,-0.0004712978357073183,0.24778856337070465,0,0,
1800.0,B+S(P_local_seed2),continuous,27,9,-0.0008601993058201529,0.12207812070846558,0,0,
1800.0,B+S(P_local_seed2),continuous:size,26,13,-0.0001863210727315323,1.0,1,0,
1800.0,B+S(P_local_seed2),continuous:span,27,14,3.0182038769810404e-05,1.0,0,0,
1800.0,B+S(P_local_seed2),continuous:band_energy,24,13,0.00012525498485560504,0.8388197422027588,3,0,
1800.0,B+S(P_local_seed2),continuous:band_peak,27,12,-0.0001813979341038774,0.7011080384254456,0,0,
1800.0,B+S(P_local_seed2),continuous:embedding,27,9,-0.0014515537022863345,0.12207812070846558,0,0,
1800.0,B+S(P_local_seed3),count,27,14,4.541864069729229e-06,1.0,0,0,
1800.0,B+S(P_local_seed3),participation,27,7,-0.0011271243303020428,0.0191572904586792,0,0,
1800.0,B+S(P_local_seed3),continuous,27,6,-0.0011803849062741456,0.005924612283706665,0,0,
1800.0,B+S(P_local_seed3),continuous:size,27,13,-8.99779757501662e-05,1.0,0,0,
