relpath,size_bytes,mtime,md5
inv/pat_108402/adm_1084102/rec_108401102/108401102_0018.head,668,1618046122.0,65d94c3ce4016c322950e82f7f5d11d5
inv/pat_108402/adm_1084102/rec_108401102/108401102_0018_gpu.npz,210606,1618837649.16,d81578e25849635d7910d86e693dda3a
inv/pat_108402/adm_1084102/rec_108401102/108401102_0019.head,668,1618046326.0,15e0569abb1c7569ba0e138b3f2bff26
inv/pat_108402/adm_1084102/rec_108401102/108401102_0019_gpu.npz,299503,1618837749.15,0e96fa0aaa8a6f42d4d90351c88aba84
inv/pat_108402/adm_1084102/rec_108401102/108401102_0020.head,668,1618046580.0,248859b3760c97c70651e958ac195298
inv/pat_108402/adm_1084102/rec_108401102/108401102_0020_gpu.npz,268665,1618837850.19,bf00a74c3217f5ba7abd4e46b122868f
inv/pat_108402/adm_1084102/rec_108401102/108401102_0021.head,668,1618047032.0,5ba4be8a969d13196c8dfb0a14c5ba94
inv/pat_108402/adm_1084102/rec_108401102/108401102_0021_gpu.npz,269886,1618837946.26,3cd9ffc5bdafc5ac6771e19ed99de5a9
inv/pat_108402/adm_1084102/rec_108401102/108401102_0022.head,668,1618047266.0,5d593b5a8b03132e19492aa36eded72d
inv/pat_108402/adm_1084102/rec_108401102/108401102_0022_gpu.npz,267027,1618838041.44,39a09916c7d48a7fe0846ab102fbc2e2
inv/pat_108402/adm_1084102/rec_108401102/108401102_0023.head,668,1618047464.0,161145efcc8ad74be8a4ea718520500a
inv/pat_108402/adm_1084102/rec_108401102/108401102_0023_gpu.npz,342600,1618838143.49,4562bea6e3980fa4a83157493b64c5af
inv/pat_108402/adm_1084102/rec_108401102/108401102_0024.head,668,1618047658.0,c4b34f62b5a477fa8fde336d85dc6b4b
inv/pat_108402/adm_1084102/rec_108401102/108401102_0024_gpu.npz,239337,1618838246.6,a7b5ed8487833e1b6d6dbe761a8247dd
inv/pat_108402/adm_1084102/rec_108401102/108401102_0025.head,668,1618047858.0,6ba6d9bbbefa2838a25ebcd3dcbe0ded
inv/pat_108402/adm_1084102/rec_108401102/108401102_0025_gpu.npz,364347,1618838352.64,8be22abe073d4cf37604d38d99ba9d12
inv/pat_108402/adm_1084102/rec_108401102/108401102_0026.head,668,1618048096.0,64d2a14ce07fd49b299ec082f8dd9a30
inv/pat_108402/adm_1084102/rec_108401102/108401102_0026_gpu.npz,428731,1618838456.72,7f81569a9b0ac8bcd75413d7e4f10cc0
inv/pat_108402/adm_1084102/rec_108401102/108401102_0027.head,668,1618048392.0,a9e9b5a756cec3b6529a7a322aa13299
inv/pat_108402/adm_1084102/rec_108401102/108401102_0027_gpu.npz,382968,1618838562.88,64e486e5f471ea79a76e8bcca46198bd
inv/pat_108402/adm_1084102/rec_108401102/108401102_0028.head,668,1618048578.0,f2b84a35107fe1aea8fc850c3c4b27a7
inv/pat_108402/adm_1084102/rec_108401102/108401102_0028_gpu.npz,232346,1618838640.18,5eea68cb97a838931e496dd5e955659d
