candidate,stage,topology,noise,comparison,description,layer,mode,contact_i,contact_j,model_joint_n,patient_joint_n,model_i_precedes_j,patient_i_precedes_j,absolute_probability_error,lag_n,lag_mean,lag_median,lag_variance,lag_q05,lag_q95
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,ICL7,50,13095,0.52,0.603245513554792,0.08324551355479193,50,-0.7657131877211714,3.116733283047779,39.92148256428635,-7.347566464986448,7.35533214337006
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,ICL6,50,9736,0.38,0.666752259654889,0.28675225965488904,50,-3.2803755986314944,-6.604360060692784,100.65419914889297,-13.550489351963051,8.835850801358264
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,ICL5,50,11993,0.4,0.6898607521053948,0.28986075210539475,50,-5.250685028454168,-7.4289338268895335,227.13371054211174,-20.8093720578152,13.605962761546072
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,ICL4,50,15851,0.48,0.6914390259289634,0.21143902592896346,50,-5.906631650707855,-13.998740181054927,449.5509693212044,-27.939422226508395,19.57729705515418
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,ICL3,50,15993,0.46,0.6992434189958107,0.23924341899581064,50,-9.56815579543164,-21.646469293946666,774.4814941048691,-38.589989298491176,24.830182073515356
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,ICL2,49,14362,0.42857142857142855,0.7074223645731792,0.27885093600175065,49,-15.654844424640807,-32.17298898895751,1047.6774599971623,-50.25332737334138,30.44225395760368
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,ICL1,50,13075,0.48,0.6726577437858509,0.19265774378585088,50,-5.401849818740539,-19.006897798185946,928.2795123160721,-37.81368088652889,37.194404013904204
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL6,ICL7,50,12127,0.62,0.6304527088315329,0.01045270883153293,50,-3.6721643525731404,8.101351128724446,588.9102286637799,-39.97061209623789,28.919173916239505
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL6,ICL6,50,9293,0.6,0.6960615517055848,0.09606155170558484,50,-6.186826763483464,11.442498444858302,706.3128113687435,-46.0729947556526,19.83823810919616
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL6,ICL5,50,11318,0.56,0.7460240325145785,0.18602403251457844,50,-8.157136193306137,14.909974268989117,962.4919370675993,-53.44420316055876,19.698932797925497
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL6,ICL4,50,14494,0.52,0.7537601766248103,0.2337601766248103,50,-8.813082815559824,8.340167914823724,1334.6718612058237,-60.31949193751207,26.099271567324852
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL6,ICL3,50,14609,0.5,0.767643233623109,0.26764323362310904,50,-12.474606960283609,0.6924388019319849,1817.9234403891967,-71.28557427140713,30.90435617469375
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL6,ICL2,49,13209,0.4897959183673469,0.7744719509425392,0.28467603257519225,49,-19.075102057707056,-9.7652385748479,2201.421491679264,-80.5033242702826,36.580863239113114
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL6,ICL1,50,12045,0.5,0.7436280614362806,0.24362806143628057,50,-8.308300983592508,1.8280013585540473,2029.376263591972,-68.34229350024125,43.39676061238261
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL7,ICL6,50,9855,0.42,0.6401319127346524,0.22013191273465244,50,-2.514662410910323,-5.9088899270682305,33.603413564503896,-10.353225569873938,4.152722860405128
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL7,ICL5,50,10788,0.38,0.6759362254356692,0.2959362254356692,50,-4.484971840732997,-12.497932710735768,109.60702522932559,-13.894254188538161,8.85111981317932
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL7,ICL4,50,12871,0.42,0.6793566933416207,0.25935669334162076,50,-5.140918462986683,-19.08778470101788,273.70432306691714,-20.820334642032048,15.060128838084722
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL7,ICL3,50,12923,0.42,0.6942273465913488,0.2742273465913488,50,-8.802442607710468,-26.491027521272372,539.1714900490342,-31.619432251268382,20.47258988260137
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL7,ICL2,49,11727,0.42857142857142855,0.7179159205252835,0.289344491953855,49,-14.725532468195636,-36.43623386289619,769.5424098502758,-43.451100648192,26.057896950142094
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL7,ICL1,50,10755,0.44,0.6776847977684798,0.23768479776847978,50,-4.636136631019367,-23.100025939966145,671.1846861759971,-30.583107900316737,32.757941565486725
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL6,ICL5,50,9600,0.44,0.6455208333333333,0.20552083333333332,50,-1.9703094298226733,-5.871911649071535,34.896752266266496,-7.687053304822166,4.8583654322517305
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL6,ICL4,50,10108,0.46,0.6506727344677483,0.1906727344677483,50,-2.62625605207636,-11.425916328080802,150.8552761753212,-14.531962517153989,11.450434087699898
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL6,ICL3,50,10075,0.46,0.6849627791563275,0.2249627791563275,50,-6.287780196800145,-19.012514049365564,368.7835877617623,-25.477184899161237,17.10638840707377
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL6,ICL2,49,9425,0.3673469387755102,0.7239257294429708,0.3565787906674606,49,-12.373349328030294,-30.2528614806688,579.7685464619971,-37.12401713287473,22.246526823052044
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL6,ICL1,50,8818,0.46,0.6858698117486959,0.22586981174869586,50,-2.121474220109044,-15.971497950979938,487.17355968011253,-24.405723707449077,29.415526238930305
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL5,ICL4,50,13166,0.46,0.5762190490657755,0.11621904906577546,50,-0.6559466222536866,-6.4650429835492105,42.47650087789171,-7.300385467923934,6.972541545139756
