tau_recovery_s,q_hold,phase,source_dt_ms,q_min,q_max,q_mean,q_mean_minus_hold,per_return_multiplier,closure_error,periodic_pass
50.0,0.84,0.0,0.0625,0.8397626671903031,0.8402377834278983,0.839999389734126,-6.102658739459699e-07,0.6944390874197144,0.0,True
50.0,0.84,0.25,0.0625,0.8397626657228454,0.8402377853295737,0.8399993882462314,-6.117537685312868e-07,0.6944388718673837,1.1102230246251565e-16,True
50.0,0.84,0.5,0.0625,0.8397627077917006,0.8402378175126217,0.8399994127009611,-5.87299038845579e-07,0.6944424021037156,0.0,True
50.0,0.84,0.75,0.0625,0.8397626673641362,0.840237783298185,0.8399993898888098,-6.101111901246625e-07,0.694439109807231,0.0,True
50.0,0.8425,0.0,0.125,0.8422596910221928,0.8427416277436793,0.8424999999999999,-1.1102230246251565e-16,0.6674461602990713,0.0,True
50.0,0.8425,0.25,0.125,0.8422596909010495,0.8427416275907125,0.8424999999457992,-5.420086601759522e-11,0.6674461491463033,0.0,True
50.0,0.8425,0.5,0.125,0.8422596897720088,0.8427416269439953,0.8424999980307079,-1.9692921737757274e-09,0.6674458297909845,0.0,True
50.0,0.8425,0.75,0.125,0.8422596911425846,0.8427416281219601,0.8425000003933906,3.9339054236364746e-10,0.6674462423444004,0.0,True
50.0,0.8425,0.0,0.0625,0.8422595457065893,0.8427410311953357,0.8424996154683132,-3.8453168682561767e-07,0.6676529719089787,0.0,True
50.0,0.8425,0.25,0.0625,0.8422595456550236,0.842741031048847,0.8424996156748346,-3.8432516547004525e-07,0.6676530089132648,1.1102230246251565e-16,True
50.0,0.8425,0.5,0.0625,0.8422595440184593,0.8427410294935984,0.8424996142724169,-3.857275830965179e-07,0.6676527666500748,0.0,True
50.0,0.8425,0.75,0.0625,0.8422595464619475,0.842741031073739,0.8424996150201948,-3.849798052568687e-07,0.6676528956130133,1.1102230246251565e-16,True
50.0,0.845,0.0,0.125,0.8447544025741841,0.845246518079967,0.8450000000000009,8.881784197001252e-16,0.6337991396585626,0.0,True
50.0,0.845,0.25,0.125,0.8447544030145308,0.8452465181565274,0.8449999999857276,-1.4272361070766237e-11,0.6337991386466274,0.0,True
50.0,0.845,0.5,0.125,0.8447544033312362,0.8452465164349943,0.8449999987503218,-1.2496781387483225e-09,0.6337988862573158,0.0,True
50.0,0.845,0.75,0.125,0.8447544023806813,0.8452465181658748,0.8449999994529365,-5.470635056070705e-10,0.6337990279755533,0.0,True
50.0,0.845,0.0,0.0625,0.844754471476475,0.8452461973051938,0.8449998608502174,-1.3914978258533495e-07,0.6340253600831084,0.0,True
50.0,0.845,0.25,0.0625,0.8447544716106377,0.8452461974703533,0.8449998609766673,-1.3902333262372224e-07,0.6340253854485771,0.0,True
50.0,0.845,0.5,0.0625,0.8447544653664149,0.845246185628604,0.8449998551032275,-1.448967724693162e-07,0.6340241798952642,1.1102230246251565e-16,True
50.0,0.845,0.75,0.0625,0.8447544768915488,0.8452462001505214,0.844999864144737,-1.3585526292825278e-07,0.6340260405611016,2.220446049250313e-16,True
60.0,0.84,0.0,0.125,0.839802497528495,0.8401988651617458,0.8400000000000002,2.220446049250313e-16,0.7000724457120509,1.1102230246251565e-16,True
60.0,0.84,0.25,0.125,0.8398024975285661,0.8401988649336531,0.8399999995358295,-4.641704798302726e-10,0.7000723621294376,1.1102230246251565e-16,True
60.0,0.84,0.5,0.125,0.8398024994602012,0.8401988669234932,0.8400000031210819,3.12108194844285e-09,0.7000729785716336,1.1102230246251565e-16,True
60.0,0.84,0.75,0.125,0.8398024976609627,0.8401988653882617,0.8400000004957648,4.957648735981479e-10,0.7000725377355128,1.1102230246251565e-16,True
60.0,0.84,0.0,0.0625,0.8398022028229928,0.8401981357917898,0.839999480323076,-5.196769239379506e-07,0.700258800027453,0.0,True
60.0,0.84,0.25,0.0625,0.8398022014747711,0.8401981374970157,0.8399994790537211,-5.209462788924313e-07,0.7002585867257054,1.1102230246251565e-16,True
60.0,0.84,0.5,0.0625,0.8398022358483618,0.8401981658266546,0.8399994999135487,-5.000864512494374e-07,0.7002620801024195,1.1102230246251565e-16,True
60.0,0.84,0.75,0.0625,0.8398022029742584,0.8401981356757849,0.8399994804550387,-5.195449612749314e-07,0.700258822181215,1.1102230246251565e-16,True
60.0,0.8425,0.0,0.125,0.842299730035258,0.842701350085347,0.8425000000000005,4.440892098500626e-16,0.6739660028381814,1.1102230246251565e-16,True
60.0,0.8425,0.25,0.125,0.8422997300280852,0.8427013499839342,0.8424999999537083,-4.6291748212468065e-11,0.6739659918103147,0.0,True
60.0,0.8425,0.5,0.125,0.8422997288983134,0.8427013493675813,0.8424999983180551,-1.6819449166760592e-09,0.6739656757869147,0.0,True
60.0,0.8425,0.75,0.125,0.8422997303824628,0.8427013501146503,0.842500000336025,3.3602498561435823e-10,0.6739660839610997,0.0,True
60.0,0.8425,0.0,0.0625,0.842299602217504,0.8427008452819452,0.8424996725516145,-3.2744838551757027e-07,0.6741695691512105,0.0,True
60.0,0.8425,0.25,0.0625,0.8422996020958919,0.8427008452442454,0.8424996727280226,-3.272719774072286e-07,0.6741696057589848,1.1102230246251565e-16,True
60.0,0.8425,0.5,0.0625,0.8422996008093259,0.8427008439868937,0.8424996715302002,-3.284697998040542e-07,0.6741693660589739,0.0,True
60.0,0.8425,0.75,0.0625,0.8422996028558702,0.8427008450428664,0.8424996721688495,-3.2783115055945444e-07,0.6741694936576841,0.0,True
60.0,0.845,0.0,0.125,0.8447953176190766,0.8452054213312076,0.8449999999999999,-1.1102230246251565e-16,0.6412635416250978,1.1102230246251565e-16,True
60.0,0.845,0.25,0.125,0.8447953180665306,0.8452054213182338,0.8449999999877994,-1.2200573884513233e-11,0.6412635406169875,1.1102230246251565e-16,True
60.0,0.845,0.5,0.125,0.8447953177622424,0.8452054199371742,0.844999998930809,-1.0691909579918502e-09,0.6412632908788178,0.0,True
60.0,0.845,0.75,0.125,0.8447953172803159,0.8452054215577528,0.8449999995319621,-4.680378307142519e-10,0.6412634311153207,0.0,True
