tau_recovery_s,q_hold,substeps,outcome,entered,entry_event_index,first_crossing_ms,minimum_q_before_last,minimum_q_after_last,minimum_q_full,final_q,pre_last_margin_pass,last_event_crosses_fold,last_event_target_reached,entry_pass
90.0,0.845,1,target_entry_event_6,True,6,10994.0,0.8572718412890258,0.854992546895247,0.854992546895247,0.8550000000945929,True,True,True,True
90.0,0.845,2,target_entry_event_6,True,6,10993.5,0.8572718412890141,0.8549925468952171,0.8549925468952171,0.8550000000945631,True,True,True,True
100.0,0.84,1,target_entry_event_6,True,6,10996.0,0.8579890559398972,0.8549933490815357,0.8549933490815357,0.8550000000019481,True,True,True,True
100.0,0.84,2,target_entry_event_6,True,6,10996.0,0.8579890559398881,0.854993349081519,0.854993349081519,0.8550000000019314,True,True,True,True
100.0,0.8425,1,target_entry_event_6,True,6,10995.0,0.8577080380312287,0.8549933411350349,0.8549933411350349,0.8549999994345574,True,True,True,True
100.0,0.8425,2,target_entry_event_6,True,6,10995.0,0.8577080380312264,0.8549933411350216,0.8549933411350216,0.8549999994345441,True,True,True,True
100.0,0.845,1,target_entry_event_6,True,6,10993.0,0.8573719557886366,0.8549933326887332,0.8549933326887332,0.8549999996922689,True,True,True,True
100.0,0.845,2,target_entry_event_6,True,6,10993.0,0.8573719557886323,0.8549933326887196,0.8549933326887196,0.8549999996922553,True,True,True,True
120.0,0.84,1,target_entry_event_6,True,6,10996.0,0.8581396875486347,0.854994472774513,0.854994472774513,0.8550000003666256,True,True,True,True
120.0,0.84,2,target_entry_event_6,True,6,10996.0,0.8581396875486326,0.8549944727745026,0.8549944727745026,0.8550000003666156,True,True,True,True
120.0,0.8425,1,target_entry_event_6,True,6,10995.0,0.8578588314565465,0.8549944646431678,0.8549944646431678,0.8549999996097477,True,True,True,True
120.0,0.8425,2,target_entry_event_6,True,6,10994.5,0.8578588314565382,0.8549944646431613,0.8549944646431613,0.8549999996097412,True,True,True,True
120.0,0.845,1,target_entry_event_6,True,6,10993.0,0.8575227245314123,0.8549944561266272,0.8549944561266272,0.8549999997927804,True,True,True,True
120.0,0.845,2,target_entry_event_6,True,6,10993.0,0.8575227245314089,0.8549944561266243,0.8549944561266243,0.8549999997927775,True,True,True,True
160.0,0.84,1,target_entry_event_6,True,6,10996.0,0.8583285884086636,0.8549958757765507,0.8549958757765507,0.8549999992304219,True,True,True,True
160.0,0.84,2,target_entry_event_6,True,6,10995.5,0.8583285884086581,0.8549958757765445,0.8549958757765445,0.854999999230416,True,True,True,True
160.0,0.8425,1,target_entry_event_6,True,6,10994.0,0.858048075500538,0.8549958693911637,0.8549958693911637,0.8550000002124739,True,True,True,True
160.0,0.8425,2,target_entry_event_6,True,6,10994.0,0.8580480755005351,0.8549958693911531,0.8549958693911531,0.8550000002124636,True,True,True,True
160.0,0.845,1,target_entry_event_6,True,6,10993.0,0.8577121401327321,0.8549958596151425,0.8549958596151425,0.8549999991291395,True,True,True,True
160.0,0.845,2,target_entry_event_6,True,6,10992.5,0.8577121401327278,0.8549958596151311,0.8549958596151311,0.8549999991291278,True,True,True,True
