family,candidate,reference,mode,metric,metric_zh,paired_runs,topologies,positive,negative,zero,median_change,min_change,max_change,minimum_support
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,local_width_ms_median,接触点局部宽度 (ms),6,3,4,0,2,1.5,0.0,2.0,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),6,3,0,6,0,-12.0,-14.0,-8.0,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,B_minus_A_t10_ms_median,右−左核 t10 (ms),6,3,6,0,0,6.633833569821718,3.4236054550810877,10.079710606551998,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,first_10pct_mass_core_share_median,早期10%活动的核内份额,6,3,6,0,0,0.20234660924453843,0.1373713795167758,0.2261348983933498,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,peak_active_components_median,峰值并行连通域数,6,3,2,2,2,0.0,-1.0,1.0,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,n,本类合格事件数,6,3,6,0,0,51.0,12.0,53.0,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,union_active_area_mm2_median,窗口内活动并集面积 (mm²),6,3,4,2,0,67.5,-16.0,91.0,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,peak_active_area_mm2_median,峰值活动面积 (mm²),6,3,5,1,0,18.5,-1.0,22.0,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,native_spatial_rms_mm_median,累计活动空间离散度 (mm),6,3,6,0,0,0.5108810497330616,0.09216991645508266,0.8091329008315498,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,peak_largest_component_fraction_median,峰值最大连通域活动份额,6,3,2,2,2,0.0,-0.06817634304986753,0.062137967351237444,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,SCL_upper_participation,SCL9/8 参与概率,6,3,4,2,0,0.10193452380952378,-0.2889610389610391,0.5,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,ICL_contact_participation,ICL 平均参与概率,6,3,5,1,0,0.06994184266911552,-0.021645021645021578,0.25454545454545463,3
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,TA,both_rods,两杆共同参与概率,6,3,0,0,6,0.0,0.0,0.0,3
