family,candidate,reference,topology,noise,layer,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847401,all_detected,TB,-25,148,0.057432432432432456,0.04520485008289887,0.0,0.06197905222295469,-0.030769536822255972,-0.9689619685705111,2.0,-10.0,7.104965700928915,0.2109677901674999,0.0,88.5,22.0,0.7473336925366088,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847402,primary,ALL,53,105,0.08571428571428563,0.07678776919283248,0.00952380952380949,0.06067261756126746,-0.18124463501775695,-1.820557135796662,2.0,-12.0,6.300816860213217,0.21688876046215078,0.0,64.0,21.5,0.4998254954296497,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847402,primary,TA,30,9,0.5,0.21911421911421936,0.0,-0.16592086199378264,-0.1576149412367969,-4.5174904683426576,0.0,-72.0,-9.092873457042515,0.17171464327629324,0.0,31.0,22.0,-0.13198193449254703,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847402,primary,TB,23,96,0.046875,0.06741787624140572,0.01041666666666663,0.07936744013780134,-0.01257749576936762,-1.3906153236202954,2.0,-10.0,6.019924447778067,0.2202404555446432,0.0,77.0,21.5,0.5513398937845713,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847402,all_detected,ALL,-1,180,0.050000000000000044,0.049952034309576177,0.005555555555555536,0.060094651496555546,-0.20220993895363365,-1.6540581072258647,2.0,-12.0,6.859110442309429,0.21229049255481192,0.0,85.0,22.0,0.6886345143073163,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847402,all_detected,TA,34,9,0.5,0.20859760394644122,0.0,-0.16849687249849768,-0.15666029538710394,-4.602478155748031,0.0,-72.0,-9.09117439811962,0.17171464327629324,0.0,31.0,22.0,-0.13198193449254703,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847402,all_detected,TB,-35,171,0.026315789473684292,0.048241704975450994,0.005847953216374324,0.05837919963306962,-0.024630409551723242,-1.0892257115956454,2.0,-10.0,6.382601127234011,0.2161692525738581,0.0,86.5,22.0,0.7001627628305389,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847401,primary,ALL,12,138,-0.10072463768115947,0.014361001317523048,0.0,0.004761217772499715,-0.09574607072061297,-1.6919384405264282,2.0,-8.0,3.713101048999306,0.14639606250613377,-1.0,-13.0,1.0,0.09588874415555981,0.060015460097997186
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847401,primary,TA,11,27,-0.24951267056530213,0.05723905723905731,0.0,-0.04498620621407645,-0.136775087524501,-121.06768446210481,0.0,-80.0,-5.515607068713507,0.15670272796233609,0.0,13.0,13.0,-0.17269033660997568,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847401,primary,TB,1,111,-0.044481981981981944,0.01644582894582891,0.0,0.015138352638352642,-0.01903021666371152,-1.1722236373889245,2.0,-8.0,4.026743290871309,0.136123782521779,-1.0,-19.0,0.0,0.1400653541254835,0.0720317933432687
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847401,all_detected,ALL,-2,156,-0.10102397602397606,0.008680713226167813,0.0,0.010396268711898415,-0.10078604821032744,-1.5843885906961077,2.0,-8.0,3.7863639919946763,0.1473907629546009,-1.0,-13.0,1.0,0.11556107897976275,0.05931608350056927
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847401,all_detected,TA,11,27,-0.24951267056530213,0.05723905723905731,0.0,-0.04498620621407645,-0.136775087524501,-121.06768446210481,0.0,-80.0,-5.515607068713507,0.15670272796233609,0.0,13.0,13.0,-0.17269033660997568,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847401,all_detected,TB,-13,129,-0.044840951617214575,0.014088357512575644,0.0,0.012104606611423041,-0.01962687182802164,-1.1202966379269128,2.0,-8.0,4.0081780896107375,0.13637466516243643,-1.0,-18.0,0.0,0.15844838016362583,0.06860226104830425
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847402,primary,ALL,16,141,-0.07180286398337621,0.019744812264123723,0.0,0.006985828284247042,-0.06709431623229323,-1.4087114731955808,2.0,-8.0,3.4236054550810877,0.1373713795167758,-1.0,-16.0,-1.0,0.09216991645508266,0.062137967351237444
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2712,847402,primary,TA,6,22,-0.2889610389610391,0.08264462809917372,0.0,-0.058319202003212556,-0.24625526501565537,-121.61519072393276,0.0,-80.0,-4.952978688540725,0.1765657721271095,0.0,-0.5,15.0,-0.2795205769354139,0.0
