subject,model,intervention,metric,nll_cost_vs_ordered
epilepsiae_1096,selected_ordered,drop_earliest,step2_prefix_balanced_nll,-0.02445220186174546
epilepsiae_1096,selected_ordered,drop_earliest,step3_prefix_balanced_nll,-0.04692422193527501
epilepsiae_1096,selected_ordered,drop_earliest,step4plus_prefix_balanced_nll,0.00895844530894152
epilepsiae_1096,selected_ordered,reset_after_rank_0,heldout_event_balanced_nll,0.003893256187438965
epilepsiae_1096,selected_ordered,reset_after_rank_0,step0_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,reset_after_rank_0,step1_prefix_balanced_nll,0.06601474039470001
epilepsiae_1096,selected_ordered,reset_after_rank_0,step2_prefix_balanced_nll,-0.02445220186174546
epilepsiae_1096,selected_ordered,reset_after_rank_0,step3_prefix_balanced_nll,-0.04692422193527501
epilepsiae_1096,selected_ordered,reset_after_rank_0,step4plus_prefix_balanced_nll,0.00895844530894152
epilepsiae_1096,selected_ordered,reset_after_rank_1,heldout_event_balanced_nll,0.03292489051818848
epilepsiae_1096,selected_ordered,reset_after_rank_1,step0_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,reset_after_rank_1,step1_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,reset_after_rank_1,step2_prefix_balanced_nll,0.022378647244178707
epilepsiae_1096,selected_ordered,reset_after_rank_1,step3_prefix_balanced_nll,-0.06898239764185976
epilepsiae_1096,selected_ordered,reset_after_rank_1,step4plus_prefix_balanced_nll,0.0954266267815902
epilepsiae_1096,selected_ordered,reset_after_rank_2,heldout_event_balanced_nll,0.15079355239868164
epilepsiae_1096,selected_ordered,reset_after_rank_2,step0_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,reset_after_rank_2,step1_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,reset_after_rank_2,step2_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,reset_after_rank_2,step3_prefix_balanced_nll,0.025137016945488533
