name,ee,depth,seed,topology,noise,family,duration_ms,group,observed_s,n_neurons,onset_threshold,mean_rate_hz,max_fraction_10ms,label,n_bursts,iei_median_s,cv,cv2,lag1_log_iei_r,half_median_ratio,burst_duty,max_burst_s,acf_peak,spectral_peak_hz,threshold_stable,median_peak_active_fraction_2ms,ordering_p,ordering_peak_hz,ordering_peak_score,v1_label,measurement_version,actual_duration_ms
ee0.5_d1_n1_t2511_s848101,0.5,1.0,848101,2511,True,grid,20000.0,allE,18.0,32000,0.1,0.03109722222222222,0.002125,background,0,,,,,,0.0,0.0,,2.5,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848101,0.5,1.0,848101,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,1.8192270468123503e-06,3.274608684262231e-05,background,0,,,,,,0.0,0.0,,3.0,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848102,0.5,1.0,848102,2511,True,grid,20000.0,coreAE,18.0,720,0.1,0.6624228395061729,0.07777777777777778,background,0,,,,,,0.0,0.0,,0.5,False,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848102,0.5,1.0,848102,2511,True,grid,20000.0,coreBE,18.0,742,0.1,0.5586253369272237,0.09164420485175202,background,0,,,,,,0.0,0.0,,1.0,False,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848102,0.5,1.0,848102,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,0.6097431220550235,0.049247606019151846,background,0,,,,,,0.0,0.0,,0.25,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848102,0.5,1.0,848102,2511,True,grid,20000.0,allE,18.0,32000,0.1,0.02785763888888889,0.00225,background,0,,,,,,0.0,0.0,,0.25,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848102,0.5,1.0,848102,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,0.0,0.0,background,0,,,,,,0.0,0.0,,,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848101,1.2,0.0,848101,2511,True,grid,20000.0,coreAE,18.0,720,0.1,0.867361111111111,1.0,sparse_bursts,2,,,,,,0.0044444444444444444,0.04,,1.25,True,0.8006944444444444,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848101,1.2,0.0,848101,2511,True,grid,20000.0,coreBE,18.0,742,0.1,0.8814016172506739,1.0,sparse_bursts,2,,,,,,0.0044444444444444444,0.05,,0.25,True,0.807277628032345,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d0_n1_t2511_s848101,1.2,0.0,848101,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,0.8744870041039671,0.5075239398084815,sparse_bursts,4,0.07000000000000028,1.7002482014409663,1.975368016659486,,75.35714285714255,0.007777777777777778,0.04,0.481915102115132,0.5,True,0.40321477428180574,,,,sparse_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
