run,ee,seed,group,arm,contrast,context,lo_s,hi_s,burst_rate_hz,label,n_bursts,mean_rate_hz,cv,cv2,median_peak_active_fraction_2ms,iei_median_s
ee1_s848101_ou_off,1.0,848101,coreAE,ou_off,ou_removed,baseline,8.0,20.0,3.4166666666666665,regular_bursts,41,18.933564814814815,0.14061221864598947,0.15372656428241926,0.6833333333333333,0.2800000000000007
ee1_s848101_ou_off,1.0,848101,coreAE,ou_off,ou_removed,intervention,8.0,20.0,3.3333333333333335,regular_bursts,40,17.711342592592594,0.07642287543331812,0.09559433760174105,0.6597222222222222,0.2999999999999998
ee1_s848101_ou_off,1.0,848101,coreBE,ou_off,ou_removed,baseline,8.0,20.0,3.4166666666666665,regular_bursts,41,18.333782569631627,0.1266759753391903,0.15274433943825558,0.6778975741239892,0.28999999999999915
ee1_s848101_ou_off,1.0,848101,coreBE,ou_off,ou_removed,intervention,8.0,20.0,3.3333333333333335,regular_bursts,40,18.215970350404312,0.06594345177670961,0.08930775659780062,0.6799191374663073,0.2999999999999998
ee1_s848102_all_off_probe,1.0,848102,coreAE,all_off_probe,all_removed,baseline,8.0,12.0,3.25,regular_bursts,13,16.758333333333333,0.14551189247720778,0.16007012677596916,0.6736111111111112,0.2999999999999998
ee1_s848102_all_off_probe,1.0,848102,coreAE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee1_s848102_all_off_probe,1.0,848102,coreBE,all_off_probe,all_removed,baseline,8.0,12.0,3.25,regular_bursts,13,17.182951482479783,0.16063477521852687,0.19095867269710032,0.6752021563342318,0.30499999999999994
ee1_s848102_all_off_probe,1.0,848102,coreBE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee1_s848102_all_off_probe,1.0,848102,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,3.3333333333333335,regular_bursts,20,17.374074074074073,0.12413698515545134,0.1017367879191511,0.66875,0.29000000000000004
ee1_s848102_all_off_probe,1.0,848102,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee1_s848102_all_off_probe,1.0,848102,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,3.3333333333333335,regular_bursts,20,18.126460017969453,0.10001569674953945,0.09581495175988046,0.6650943396226414,0.2999999999999998
ee1_s848102_all_off_probe,1.0,848102,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee1_s848102_ou_off,1.0,848102,coreAE,ou_off,ou_removed,baseline,8.0,20.0,3.25,regular_bursts,39,16.803587962962965,0.12668524506253576,0.12103697078874452,0.6666666666666666,0.2999999999999998
ee1_s848102_ou_off,1.0,848102,coreAE,ou_off,ou_removed,intervention,8.0,20.0,3.3333333333333335,regular_bursts,40,18.00787037037037,0.08863359470300763,0.1035622488949196,0.6625,0.29999999999999893
ee1_s848102_ou_off,1.0,848102,coreBE,ou_off,ou_removed,baseline,8.0,20.0,3.25,regular_bursts,39,17.664420485175203,0.1251798721418468,0.128889306441508,0.6725067385444744,0.2999999999999995
ee1_s848102_ou_off,1.0,848102,coreBE,ou_off,ou_removed,intervention,8.0,20.0,3.3333333333333335,regular_bursts,40,18.1912623539982,0.08534422048819912,0.09603494249831114,0.667789757412399,0.2999999999999998
