fork_index,z,alpha_G,initial_kind,initial_label,primary_classification,phase,transfer_audit_status,fine_classification,extra_fine_classification,fine_tail_mean_hz,extra_fine_tail_mean_hz,fine_tail_peak_hz,extra_fine_tail_peak_hz,fine_frequency_hz,extra_fine_frequency_hz,extra_fine_support_violation_step_count,extra_fine_over_100hz_tail_step_count,direct_exact_error_pass,fine_direct_exact_max_abs_error_hz,extra_fine_direct_exact_max_abs_error_hz,fine_direct_exact_p99_relative_error,extra_fine_direct_exact_p99_relative_error,final_status,confirm_status,confirm_extra_fine_classification,confirm_extra_fine_tail_mean_hz,confirm_extra_fine_tail_peak_hz,confirm_extra_fine_frequency_hz,dt_half_classification,dt_half_tail_mean_hz,dt_half_tail_peak_hz,dt_half_vs_confirm_rate_abs_difference_hz,dt_half_vs_confirm_frequency_abs_difference_hz,dt_half_direct_exact_pass
50,0.81,16.0,root_perturbation,root_0_plus,audit_invalid_candidate,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.622412102163834,6.596626259343942,93.74351799488068,93.8393771648407,2.079002079002123,2.079002079002123,0,0,True,0.009460904784500124,0.00251878294740826,0.003766351315920414,0.00116154389238568,numerical_unresolved,,,,,,,,,,,
51,0.84,24.0,on_manifold_probe,probe_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.429854092351306,5.419870627837802,86.94305270910263,86.48455142974854,1.6632016632016986,1.6632016632016986,0,0,True,0.011686656589002253,0.0029887823972118976,0.00483467877991149,0.0013473916385615355,numerical_unresolved,,,,,,,,,,,
52,0.84,24.0,on_manifold_probe,probe_rest,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.440653983446461,5.4305023225721385,87.03674376010895,87.00333535671234,1.6632016632016986,1.6632016632016986,0,0,True,0.014176476113673953,0.0031477976472210623,0.0051765512099606744,0.001226521964171325,numerical_unresolved,,,,,,,,,,,
53,0.84,24.0,on_manifold_probe,probe_5hz,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.430391103161398,5.420341279857217,86.91570907831192,86.36406064033508,1.6632016632016986,1.6632016632016986,0,0,True,0.008179600123757631,0.0021229065215603096,0.004834192727229631,0.0013012646021839077,numerical_unresolved,,,,,,,,,,,
54,0.84,24.0,on_manifold_probe,probe_20hz,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.323399580035382,5.322985567034875,87.02006936073303,86.36028319597244,1.6632016632016986,1.6632016632016986,0,0,True,0.008283535519473806,0.00208347124547488,0.005179303834151299,0.0010994139009205838,numerical_unresolved,,,,,,,,,,,
55,0.84,24.0,on_manifold_probe,probe_boundary,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.653607854902795,5.630013878068068,86.75134181976318,86.87497675418854,1.6632016632016986,1.6632016632016986,0,0,True,0.008218004041640227,0.0022155464471061703,0.0066592727829351715,0.0014143896126877086,numerical_unresolved,,,,,,,,,,,
56,0.84,24.0,on_manifold_probe,probe_high,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.239183849254294,6.217875763199828,86.71871572732925,86.98864281177521,1.6632016632016986,1.6632016632016986,0,0,True,0.008248992179835449,0.0020746365549471207,0.004715205351741564,0.0010735119321211616,numerical_unresolved,,,,,,,,,,,
57,0.84,24.0,on_manifold_probe,probe_ceiling,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,bounded_oscillatory_candidate,6.266892897514549,6.2792057549874265,86.959607899189,86.97103708982468,1.6632016632016986,1.6632016632016986,0,0,True,0.008120862943786222,0.0027751054692964905,0.005796579757715272,0.0008741837848860381,numerical_unresolved,,,,,,,,,,,
58,0.84,24.0,stage0b_off_manifold_probe,e_synapse_loaded_i_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.402368365527032,5.394266635613233,87.04507350921631,86.87618374824524,1.6632016632016986,1.6632016632016986,0,0,True,0.008545138354477608,0.0019635241932693115,0.005543664774834426,0.0012109294729242207,numerical_unresolved,,,,,,,,,,,
59,0.84,24.0,stage0b_off_manifold_probe,i_synapse_loaded_e_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.294814892754098,6.290983812210175,86.92353218793869,86.71333640813828,1.6632016632016986,1.6632016632016986,0,0,True,0.011266794667220276,0.0027457821663474935,0.005206234923338821,0.0010708932002180054,numerical_unresolved,,,,,,,,,,,
