subject,control,direction_type,direction_index,n_contacts,median_cross_seed_spearman,median_heldout_half_spearman
epilepsiae_635,full_history_gru,pca,1,10,0.7939393939393938,0.9636363636363635
epilepsiae_635,full_history_gru,pca,2,10,0.7575757575757575,0.9636363636363635
epilepsiae_635,rank_shuffle_gru,output_coupled,1,10,0.9878787878787878,0.9636363636363635
epilepsiae_635,rank_shuffle_gru,output_coupled,2,10,-0.29696969696969694,0.9757575757575757
epilepsiae_635,rank_shuffle_gru,pca,1,10,0.9878787878787878,0.9636363636363635
epilepsiae_635,rank_shuffle_gru,pca,2,10,0.7454545454545454,0.9393939393939393
epilepsiae_922,full_history_gru,output_coupled,1,8,-0.4285714285714286,1.0
epilepsiae_922,full_history_gru,output_coupled,2,8,0.7619047619047621,1.0
epilepsiae_922,full_history_gru,pca,1,8,0.5714285714285715,0.9761904761904763
epilepsiae_922,full_history_gru,pca,2,8,-0.5952380952380953,0.9761904761904763
epilepsiae_922,rank_shuffle_gru,output_coupled,1,8,0.880952380952381,0.9761904761904763
epilepsiae_922,rank_shuffle_gru,output_coupled,2,8,-0.5714285714285715,1.0
epilepsiae_922,rank_shuffle_gru,pca,1,8,0.8095238095238096,0.9761904761904763
epilepsiae_922,rank_shuffle_gru,pca,2,8,0.30952380952380953,1.0
epilepsiae_958,full_history_gru,output_coupled,1,16,0.8558823529411764,0.9941176470588234
epilepsiae_958,full_history_gru,output_coupled,2,16,0.18235294117647058,0.9911764705882352
epilepsiae_958,full_history_gru,pca,1,16,-0.07941176470588236,0.9823529411764707
epilepsiae_958,full_history_gru,pca,2,16,0.8088235294117646,0.9970588235294118
epilepsiae_958,rank_shuffle_gru,output_coupled,1,16,0.15,0.9911764705882352
epilepsiae_958,rank_shuffle_gru,output_coupled,2,16,0.26176470588235295,0.988235294117647
epilepsiae_958,rank_shuffle_gru,pca,1,16,0.40294117647058825,0.9823529411764707
epilepsiae_958,rank_shuffle_gru,pca,2,16,-0.3029411764705882,0.9852941176470588
yuquan_chengshuai,full_history_gru,output_coupled,1,8,0.4761904761904762,1.0
yuquan_chengshuai,full_history_gru,output_coupled,2,8,-0.14285714285714288,1.0
yuquan_chengshuai,full_history_gru,pca,1,8,0.6190476190476191,1.0
yuquan_chengshuai,full_history_gru,pca,2,8,0.1666666666666667,1.0
yuquan_chengshuai,rank_shuffle_gru,output_coupled,1,8,0.9761904761904763,0.9761904761904763
yuquan_chengshuai,rank_shuffle_gru,output_coupled,2,8,0.8571428571428572,1.0
yuquan_chengshuai,rank_shuffle_gru,pca,1,8,0.7857142857142858,0.9523809523809524
yuquan_chengshuai,rank_shuffle_gru,pca,2,8,0.8571428571428572,0.9761904761904763
yuquan_chenziyang,full_history_gru,output_coupled,1,10,0.8545454545454544,0.9999999999999999
yuquan_chenziyang,full_history_gru,output_coupled,2,10,-0.7818181818181817,0.9999999999999999
yuquan_chenziyang,full_history_gru,pca,1,10,0.5515151515151515,0.9999999999999999
yuquan_chenziyang,full_history_gru,pca,2,10,0.4424242424242424,0.9999999999999999
yuquan_chenziyang,rank_shuffle_gru,output_coupled,1,10,0.7818181818181817,0.9999999999999999
yuquan_chenziyang,rank_shuffle_gru,output_coupled,2,10,-0.6242424242424242,0.9878787878787878
yuquan_chenziyang,rank_shuffle_gru,pca,1,10,0.9757575757575757,0.9878787878787878
yuquan_chenziyang,rank_shuffle_gru,pca,2,10,0.6363636363636362,0.9999999999999999
yuquan_gaolan,full_history_gru,output_coupled,1,12,0.8391608391608393,0.9860139860139862
yuquan_gaolan,full_history_gru,output_coupled,2,12,-0.9440559440559443,0.9930069930069931
yuquan_gaolan,full_history_gru,pca,1,12,0.3916083916083916,0.965034965034965
yuquan_gaolan,full_history_gru,pca,2,12,0.7412587412587414,0.9860139860139862
yuquan_gaolan,rank_shuffle_gru,output_coupled,1,12,0.6223776223776225,0.9930069930069931
yuquan_gaolan,rank_shuffle_gru,output_coupled,2,12,-0.7972027972027973,0.965034965034965
yuquan_gaolan,rank_shuffle_gru,pca,1,12,0.8671328671328673,0.9580419580419581
yuquan_gaolan,rank_shuffle_gru,pca,2,12,-0.6083916083916086,0.9790209790209792
yuquan_hanyuxuan,full_history_gru,output_coupled,1,22,0.9277244494635801,0.9966120835686054
yuquan_hanyuxuan,full_history_gru,output_coupled,2,22,0.8870694522868439,0.9977413890457371
yuquan_hanyuxuan,full_history_gru,pca,1,22,0.557312252964427,0.9909655561829477
yuquan_hanyuxuan,full_history_gru,pca,2,22,0.7876905702992661,0.9977413890457371
yuquan_hanyuxuan,rank_shuffle_gru,output_coupled,1,22,-0.639751552795031,0.9943534726143423
yuquan_hanyuxuan,rank_shuffle_gru,output_coupled,2,22,0.723320158102767,0.9966120835686054
yuquan_hanyuxuan,rank_shuffle_gru,pca,1,22,0.9525691699604744,0.9457933370976851
yuquan_hanyuxuan,rank_shuffle_gru,pca,2,22,-0.33709768492377196,0.9932241671372107
yuquan_huanghanwen,full_history_gru,output_coupled,1,10,0.33333333333333326,0.9878787878787878
yuquan_huanghanwen,full_history_gru,output_coupled,2,10,-0.09090909090909088,0.9878787878787878
yuquan_huanghanwen,full_history_gru,pca,1,10,0.32121212121212117,0.9878787878787878
yuquan_huanghanwen,full_history_gru,pca,2,10,0.29696969696969694,0.9878787878787878
yuquan_huanghanwen,rank_shuffle_gru,output_coupled,1,10,0.8060606060606059,0.9999999999999999
yuquan_huanghanwen,rank_shuffle_gru,output_coupled,2,10,-0.7939393939393938,0.9999999999999999
yuquan_huanghanwen,rank_shuffle_gru,pca,1,10,0.8666666666666665,0.9030303030303028
yuquan_huanghanwen,rank_shuffle_gru,pca,2,10,0.5878787878787878,0.9999999999999999
yuquan_litengsheng,full_history_gru,output_coupled,1,24,0.7956521739130433,0.9808695652173912
yuquan_litengsheng,full_history_gru,output_coupled,2,24,0.5008695652173912,0.9939130434782607
yuquan_litengsheng,full_history_gru,pca,1,24,-0.4408695652173913,0.9773913043478261
yuquan_litengsheng,full_history_gru,pca,2,24,0.8339130434782607,0.9852173913043477
yuquan_litengsheng,rank_shuffle_gru,output_coupled,1,24,0.17391304347826084,0.9921739130434782
yuquan_litengsheng,rank_shuffle_gru,output_coupled,2,24,0.8034782608695652,0.9930434782608695
yuquan_litengsheng,rank_shuffle_gru,pca,1,24,0.6339130434782608,0.8939130434782607
yuquan_litengsheng,rank_shuffle_gru,pca,2,24,0.7695652173913042,0.9939130434782607
yuquan_liyouran,full_history_gru,output_coupled,1,17,-0.45098039215686275,0.982843137254902
yuquan_liyouran,full_history_gru,output_coupled,2,17,0.019607843137254905,0.9926470588235295
yuquan_liyouran,full_history_gru,pca,1,17,0.32107843137254904,0.9411764705882353
yuquan_liyouran,full_history_gru,pca,2,17,-0.5318627450980392,0.985294117647059
yuquan_liyouran,rank_shuffle_gru,output_coupled,1,17,0.5196078431372549,0.9901960784313727
yuquan_liyouran,rank_shuffle_gru,output_coupled,2,17,-0.06617647058823531,0.9877450980392157
yuquan_liyouran,rank_shuffle_gru,pca,1,17,0.7132352941176472,0.9534313725490198
yuquan_liyouran,rank_shuffle_gru,pca,2,17,0.5465686274509804,0.9803921568627453
yuquan_pengzihang,full_history_gru,output_coupled,1,12,-0.06293706293706294,0.9930069930069931
yuquan_pengzihang,full_history_gru,output_coupled,2,12,0.7622377622377624,0.9930069930069931
yuquan_pengzihang,full_history_gru,pca,1,12,0.6923076923076924,1.0
yuquan_pengzihang,full_history_gru,pca,2,12,0.31468531468531474,1.0
yuquan_pengzihang,rank_shuffle_gru,output_coupled,1,12,0.8601398601398602,1.0
yuquan_pengzihang,rank_shuffle_gru,output_coupled,2,12,0.4125874125874127,0.9930069930069931
yuquan_pengzihang,rank_shuffle_gru,pca,1,12,0.8811188811188813,0.9930069930069931
yuquan_pengzihang,rank_shuffle_gru,pca,2,12,0.9230769230769231,0.9930069930069931
yuquan_songzishuo,full_history_gru,output_coupled,1,38,0.28832476200897256,0.9870883028777766
yuquan_songzishuo,full_history_gru,output_coupled,2,38,-0.09968267863004705,0.9884013568224096
yuquan_songzishuo,full_history_gru,pca,1,38,0.8120144435933909,0.9789911368858737
yuquan_songzishuo,full_history_gru,pca,2,38,-0.14607725134040922,0.987744829850093
yuquan_songzishuo,rank_shuffle_gru,output_coupled,1,38,0.8253638253638254,0.9925593609804136
yuquan_songzishuo,rank_shuffle_gru,output_coupled,2,38,-0.5620965094649304,0.9908086223875697
yuquan_songzishuo,rank_shuffle_gru,pca,1,38,0.7183499288762447,0.8444031075610022
yuquan_songzishuo,rank_shuffle_gru,pca,2,38,0.7194441404967721,0.9929970456286245
yuquan_sunyuanxin,full_history_gru,output_coupled,1,12,0.8951048951048951,0.9930069930069931
yuquan_sunyuanxin,full_history_gru,output_coupled,2,12,-0.9720279720279721,1.0
yuquan_sunyuanxin,full_history_gru,pca,1,12,0.8111888111888113,0.9580419580419581
yuquan_sunyuanxin,full_history_gru,pca,2,12,0.8391608391608393,0.9580419580419581
yuquan_sunyuanxin,rank_shuffle_gru,output_coupled,1,12,0.8951048951048951,0.9790209790209792
yuquan_sunyuanxin,rank_shuffle_gru,output_coupled,2,12,-0.8951048951048951,1.0
yuquan_sunyuanxin,rank_shuffle_gru,pca,1,12,0.8181818181818183,0.9160839160839163
yuquan_sunyuanxin,rank_shuffle_gru,pca,2,12,-0.3846153846153847,0.9930069930069931
yuquan_wangyiyang,full_history_gru,output_coupled,1,22,0.89158667419537,0.9943534726143423
yuquan_wangyiyang,full_history_gru,output_coupled,2,22,0.7899491812535292,0.9909655561829477
yuquan_wangyiyang,full_history_gru,pca,1,22,0.6047430830039526,0.9740259740259741
yuquan_wangyiyang,full_history_gru,pca,2,22,0.6228119706380577,0.9943534726143423
