subject,seed_dir,control,k,random_index,random_variance_fidelity,pca_variance_fidelity,random_nll_loss,pca_nll_loss,pca_advantage_nll
epilepsiae_1073,seed_20260725,full_history_gru,2,6,0.1657410615211557,0.8047741897292108,0.0980142218809869,-0.04683387460862,0.144848096489607
epilepsiae_1073,seed_20260725,full_history_gru,2,7,0.0693453605081311,0.8047741897292108,0.1423449249920807,-0.04683387460862,0.1891787996007008
epilepsiae_1073,seed_20260725,full_history_gru,4,0,0.2312107664758008,0.968752097928682,0.0785918577572115,-0.0056455798149857,0.0842374375721972
epilepsiae_1073,seed_20260725,full_history_gru,4,1,0.062802037564869,0.968752097928682,0.1406367729424218,-0.0056455798149857,0.1462823527574075
epilepsiae_1073,seed_20260725,full_history_gru,4,2,0.0609839283433101,0.968752097928682,0.1240554796719584,-0.0056455798149857,0.1297010594869441
epilepsiae_1073,seed_20260725,full_history_gru,4,3,0.1044973162703633,0.968752097928682,0.1209905639822299,-0.0056455798149857,0.1266361437972156
epilepsiae_1073,seed_20260725,full_history_gru,4,4,0.1704486598459039,0.968752097928682,0.1206352105263726,-0.0056455798149857,0.1262807903413583
epilepsiae_1073,seed_20260725,full_history_gru,4,5,0.1158020263051977,0.968752097928682,0.1339452506659046,-0.0056455798149857,0.1395908304808903
epilepsiae_1073,seed_20260725,full_history_gru,4,6,0.3265412081512084,0.968752097928682,0.0720806936953089,-0.0056455798149857,0.0777262735102946
epilepsiae_1073,seed_20260725,full_history_gru,4,7,0.1162395831086809,0.968752097928682,0.1535350901758647,-0.0056455798149857,0.1591806699908504
epilepsiae_1073,seed_20260725,full_history_gru,8,0,0.4370282250082321,0.9908194672510028,0.0404850318295455,-0.0004481691750699,0.0409332010046155
epilepsiae_1073,seed_20260725,full_history_gru,8,1,0.1734192231191287,0.9908194672510028,0.1342655145606841,-0.0004481691750699,0.1347136837357541
epilepsiae_1073,seed_20260725,full_history_gru,8,2,0.28766380979674,0.9908194672510028,0.1054287440106798,-0.0004481691750699,0.1058769131857497
epilepsiae_1073,seed_20260725,full_history_gru,8,3,0.3147091022369507,0.9908194672510028,0.0773993758506201,-0.0004481691750699,0.0778475450256901
epilepsiae_1073,seed_20260725,full_history_gru,8,4,0.2293936442759013,0.9908194672510028,0.0911666115296179,-0.0004481691750699,0.0916147807046878
epilepsiae_1073,seed_20260725,full_history_gru,8,5,0.2266317535611883,0.9908194672510028,0.0968791654083318,-0.0004481691750699,0.0973273345834018
epilepsiae_1073,seed_20260725,full_history_gru,8,6,0.3081925644406265,0.9908194672510028,0.098378278066507,-0.0004481691750699,0.0988264472415769
epilepsiae_1073,seed_20260725,full_history_gru,8,7,0.2814336694895484,0.9908194672510028,0.1051399071465961,-0.0004481691750699,0.1055880763216661
epilepsiae_1073,seed_20260725,full_history_gru,16,0,0.5736310006192697,0.9994219146624924,0.0022557014633397,-0.0005296067239084,0.0027853081872482
